date,equity
2024-01-02,100000.0
2024-01-03,100165.68214263034
2024-01-04,99984.39165955565
2024-01-05,99992.79630102048
2024-01-08,99875.13718830995
2024-01-09,99714.25979358709
2024-01-10,99617.01279126217
2024-01-11,99642.2228037919
2024-01-12,99752.67919548911
2024-01-16,99516.16100554893
2024-01-17,99435.72230818748
2024-01-18,99435.72230818748
2024-01-19,99435.72230818748
2024-01-22,99435.72230818748
2024-01-23,99435.72230818748
2024-01-24,99435.72230818748
2024-01-25,99435.72230818748
2024-01-26,99590.82483529115
2024-01-29,99560.8020332492
2024-01-30,99778.45257405512
2024-01-31,99380.68559892604
2024-02-01,99378.18522710052
2024-02-02,99408.20395355676
2024-02-05,99355.66761612086
2024-02-06,99423.21433568132
2024-02-07,99465.74511022941
2024-02-08,99680.88509024557
2024-02-09,99355.66761612086
2024-02-12,99585.8240916401
2024-02-13,99373.18040786378
2024-02-14,99353.16928208817
2024-02-15,99933.55713895164
2024-02-16,99921.04712865262
2024-02-20,99725.91827441206
2024-02-21,100123.68117395544
2024-02-22,100161.20509147397
2024-02-23,100018.61053687647
2024-02-26,100093.66448529204
2024-02-27,100001.09774513355
2024-02-28,99958.57308396399
2024-02-29,100063.64168325011
2024-03-01,100313.8113223378
2024-03-04,100081.15243720019
2024-03-05,100241.26182133344
2024-03-06,100308.8085408939
2024-03-07,100493.92979445381
2024-03-08,100571.48003910921
2024-03-11,100799.13818059578
2024-03-12,100764.11259710994
2024-03-13,101119.35083548375
2024-03-14,101352.00768282852
2024-03-15,101419.55236459614
2024-03-18,101498.73895690916
2024-03-19,101761.0191988975
2024-03-20,101728.23314975254
2024-03-21,101866.9334822159
2024-03-22,101816.50014699998
2024-03-25,102033.38040210905
2024-03-26,101851.80490810612
2024-03-27,102068.68720100803
2024-03-28,102323.40111814863
2024-04-01,102499.93103705783
2024-04-02,102835.34155101245
2024-04-03,103001.7884709056
2024-04-04,102986.65785900297
2024-04-05,103248.93402540562
2024-04-08,103092.57621790706
2024-04-09,103100.1425427548
2024-04-10,103175.79764006079
2024-04-11,103158.14424061129
2024-04-12,102757.16162836674
2024-04-15,102530.19633644879
2024-04-16,102320.87425501607
2024-04-17,102252.78548255781
2024-04-18,102179.649097213
2024-04-19,102464.6262759517
2024-04-22,102620.9820456574
2024-04-23,102754.64495419843
2024-04-24,102772.29631585507
2024-04-25,102883.25821206004
2024-04-26,102658.81163210324
2024-04-29,102822.73168886383
2024-04-30,102098.94842481328
2024-05-01,101723.18961245166
2024-05-02,101856.84640761415
2024-05-03,101859.36919516101
2024-05-06,102043.4674767108
2024-05-07,102020.76850216759
2024-05-08,101993.03006590919
2024-05-09,102308.2664306603
2024-05-10,102177.13038525183
2024-05-13,102114.08107450875
2024-05-14,102144.34433610686
2024-05-15,102197.30249666248
2024-05-16,102131.7365117511
2024-05-17,102462.10348840484
2024-05-20,102305.74364311344
2024-05-21,102189.73617181474
2024-05-22,101735.79539901458
2024-05-23,101523.95664341355
2024-05-24,101556.74065476566
2024-05-28,101793.80117245678
2024-05-29,101382.73352340332
2024-05-30,101448.3035839004
2024-05-31,102018.25182799927
2024-06-03,101402.90767260682
2024-06-04,101183.50259215805
2024-06-05,101180.98184240404
2024-06-06,101299.5080256639
2024-06-07,101208.72231645529
2024-06-10,101380.20666027076
2024-06-11,101334.81278677002
2024-06-12,101090.19205760973
2024-06-13,100883.39480151673
2024-06-14,100716.95195720927
2024-06-17,100774.95365506576
2024-06-18,100868.2641896141
2024-06-20,101279.3338764604
2024-06-21,101148.19579325907
2024-06-24,101718.90820967624
2024-06-25,101772.29226893728
2024-06-26,101543.4990768339
2024-06-27,101596.88517388779
2024-06-28,101685.86132304663
2024-07-01,101698.56899925199
2024-07-02,101680.77499209593
2024-07-03,101782.46085525298
2024-07-05,101418.93695115579
2024-07-08,101279.11583262557
2024-07-09,101078.28523399396
2024-07-10,101230.81606652238
2024-07-11,101467.23467946611
2024-07-12,101525.703031885
2024-07-15,101873.98016988719
2024-07-16,101978.20919851959
2024-07-17,102212.08260819511
2024-07-18,102255.29808114044
2024-07-19,101996.0011678828
2024-07-22,101848.55666630507
2024-07-23,101477.40530357468
2024-07-24,101479.94439346432
2024-07-25,101876.52129756968
2024-07-26,101950.24252946212
2024-07-29,101749.41193083051
2024-07-30,102110.3987828309
2024-07-31,102209.5414805126
2024-08-01,101581.63229441423
2024-08-02,100986.76999494547
2024-08-05,100491.05243095124
2024-08-06,100625.78518073792
2024-08-07,100714.76336768962
2024-08-08,101192.68488673492
2024-08-09,101243.52781831345
2024-08-12,101355.38022999336
2024-08-13,101134.21653431604
2024-08-14,101266.40611862736
2024-08-15,101538.41274588321
2024-08-16,101512.99535567964
2024-08-19,101668.06527809773
2024-08-20,101057.94806136255
2024-08-21,101096.08127894287
2024-08-22,101154.54963136175
2024-08-23,101492.65614525537
2024-08-26,101698.56899925199
2024-08-27,101482.48755893967
2024-08-28,101335.03898177625
2024-08-29,101632.47522599276
2024-08-30,101718.90820967624
2024-09-03,101141.83991736354
2024-09-04,100829.15690705203
2024-09-05,100656.28686409934
2024-09-06,100379.19594368564
2024-09-09,100536.81106937192
2024-09-10,100158.03021021547
2024-09-11,99957.20164937672
2024-09-12,100150.40275158227
2024-09-13,100272.42374957788
2024-09-16,100521.55818989837
2024-09-17,100818.98424515063
2024-09-18,100862.2058314745
2024-09-19,101129.13020336533
2024-09-20,101078.28523399396
2024-09-23,101356.90042345859
2024-09-24,101300.50858195267
2024-09-25,100854.52539022722
2024-09-26,100416.22467754189
2024-09-27,100862.21602043873
2024-09-30,101018.5656767659
2024-10-01,101531.19284581977
2024-10-02,101767.00419649454
2024-10-03,102177.10389394479
2024-10-04,102397.53602198938
2024-10-07,102482.11868976612
2024-10-08,102482.11868976612
2024-10-09,102543.8969302738
2024-10-10,102613.53821314505
2024-10-11,102677.56239931363
2024-10-14,102673.06961497164
2024-10-15,102337.22081336126
2024-10-16,102385.52070084297
2024-10-17,102433.8205883247
2024-10-18,102400.12158018931
2024-10-21,102369.79372309567
2024-10-22,102393.38195716628
2024-10-23,102340.5901783627
2024-10-24,102339.46675902218
2024-10-25,102336.09650100059
2024-10-28,102272.072314832
2024-10-29,102119.31139606355
2024-10-30,102141.77621079361
2024-10-31,102203.55355828114
2024-11-01,102140.65279145309
2024-11-04,102313.63347231082
2024-11-05,102381.02613046071
2024-11-06,102761.80724059165
2024-11-07,102713.50556706963
2024-11-08,102783.14774296102
2024-11-11,102842.67914478763
2024-11-12,102786.51800098263
2024-11-13,102868.51421753928
2024-11-14,102908.95106265743
2024-11-15,102893.22587095041
2024-11-18,103034.75527537397
2024-11-19,102966.2365188231
2024-11-20,103074.06780813144
2024-11-21,103161.68022837062
2024-11-22,103178.5297324383
2024-11-25,102962.86715382166
2024-11-26,102948.26448843503
2024-11-27,102937.03208107
2024-11-29,102983.08423685051
2024-12-02,102983.08423685051
2024-12-03,102983.08423685051
2024-12-04,102747.06615510865
2024-12-05,102747.06615510865
2024-12-06,102747.06615510865
2024-12-09,102747.06615510865
2024-12-10,102747.06615510865
2024-12-11,102747.06615510865
2024-12-12,102747.06615510865
2024-12-13,102747.06615510865
2024-12-16,102747.06615510865
2024-12-17,102747.06615510865
2024-12-18,102747.06615510865
2024-12-19,102747.06615510865
2024-12-20,102747.06615510865
2024-12-23,102747.06615510865
2024-12-24,102747.06615510865
2024-12-26,102747.06615510865
2024-12-27,102747.06615510865
2024-12-30,102747.06615510865
2024-12-31,102747.06615510865
2025-01-02,102747.06615510865
2025-01-03,102747.06615510865
2025-01-06,102747.06615510865
2025-01-07,102747.06615510865
2025-01-08,102747.06615510865
2025-01-10,102747.06615510865
2025-01-13,102747.06615510865
2025-01-14,102851.97515675248
2025-01-15,102997.98344442829
2025-01-16,103070.4482443429
2025-01-17,103148.32012697315
2025-01-21,103096.40497007454
2025-01-22,102912.5419870832
2025-01-23,102957.96625711357
2025-01-24,102861.70807618418
2025-01-27,102758.96327197488
2025-01-28,102665.94968176194
2025-01-29,102687.57971805986
2025-01-30,102737.33067752396
2025-01-31,102464.7807937534
2025-02-03,102524.26723080219
2025-02-04,102724.35231465814
2025-02-05,102744.90366310946
2025-02-06,102565.3656641165
2025-02-07,102564.28356539924
2025-02-10,102775.18622555715
2025-02-11,102854.13850146934
2025-02-12,102616.1978695802
2025-02-13,102688.66096405947
2025-02-14,102727.5969053746
2025-02-18,102860.62768290224
2025-02-19,102938.49871281484
2025-02-20,103029.3489583109
2025-02-21,102820.61049558752
2025-02-24,102822.77384030438
2025-02-25,102681.09053662696
2025-02-26,102625.93164172955
2025-02-27,102677.8459459105
2025-02-28,102828.1817757377
2025-03-03,102484.2491907698
2025-03-04,102392.31684655647
2025-03-05,102254.96023231275
2025-03-06,102254.96023231275
2025-03-07,102254.96023231275
2025-03-10,102254.96023231275
2025-03-11,102254.96023231275
2025-03-12,102254.96023231275
2025-03-13,102254.96023231275
2025-03-14,102254.96023231275
2025-03-17,102409.7205585573
2025-03-18,102425.95395037091
2025-03-19,102587.20848660724
2025-03-20,102624.00474356231
2025-03-21,102624.00474356231
2025-03-24,102624.00474356231
2025-03-25,102663.90539741065
2025-03-26,102721.65595466664
2025-03-27,102626.10516707881
2025-03-28,102579.90570700269
2025-03-31,102579.90570700269
2025-04-01,102579.90570700269
2025-04-02,102579.90570700269
2025-04-03,102579.90570700269
2025-04-04,102579.90570700269
2025-04-07,102579.90570700269
2025-04-08,102579.90570700269
2025-04-09,102579.90570700269
2025-04-10,102579.90570700269
2025-04-11,102579.90570700269
2025-04-14,102579.90570700269
2025-04-15,102579.90570700269
2025-04-16,102579.90570700269
2025-04-17,102579.90570700269
2025-04-21,102579.90570700269
2025-04-22,102579.90570700269
2025-04-23,102579.90570700269
2025-04-24,102579.90570700269
2025-04-25,102579.90570700269
2025-04-28,102579.90570700269
2025-04-29,102579.90570700269
2025-04-30,102579.90570700269
2025-05-01,102579.90570700269
2025-05-02,102579.90570700269
2025-05-05,102579.90570700269
2025-05-06,102579.90570700269
2025-05-07,102579.90570700269
2025-05-08,102579.90570700269
2025-05-09,102579.90570700269
2025-05-12,102579.90570700269
2025-05-13,102579.90570700269
2025-05-14,102516.63415334965
2025-05-15,102560.43819566251
2025-05-16,102544.62030724926
2025-05-19,102409.55855738375
2025-05-20,102314.64837117419
2025-05-21,102127.26679216635
2025-05-22,102088.32986566602
2025-05-23,102119.96564249255
2025-05-27,102206.35623423265
2025-05-28,102078.59468213095
2025-05-29,102152.81796029469
2025-05-30,102063.99333469332
2025-06-02,102194.18892065629
2025-06-03,102313.43278210856
2025-06-04,102115.09757477
2025-06-05,102105.36524696491
2025-06-06,102292.74682597276
2025-06-09,102312.21528922292
2025-06-10,102493.51511526258
2025-06-11,102643.17916447572
2025-06-12,102679.68110520479
2025-06-13,102863.41496510571
2025-06-16,102831.7791882792
2025-06-17,102931.55458648129
2025-06-18,102860.98188315444
2025-06-20,102970.49151298162
2025-06-23,102696.69744830375
2025-06-24,102559.31113422656
2025-06-25,102513.92406558937
2025-06-26,102662.35063180694
2025-06-27,102607.15127492495
2025-06-30,102547.04291819056
2025-07-01,102626.77680332455
2025-07-02,102807.09806588772
2025-07-03,102819.36437810372
2025-07-07,102716.32488052335
2025-07-08,103000.91265265249
2025-07-09,102945.7123438605
2025-07-10,103027.90025296569
2025-07-11,103076.96550182968
2025-07-14,102956.7525960009
2025-07-15,102800.96395786972
2025-07-16,102708.96376051975
2025-07-17,102773.97826137653
2025-07-18,102688.11026822455
2025-07-21,102578.93666262616
2025-07-22,102628.00381531015
2025-07-23,102792.37772970053
2025-07-24,102868.43248269771
2025-07-25,102827.95060627292
2025-07-28,102949.3924279073
2025-07-29,103054.88594945888
2025-07-30,102899.09921514771
2025-07-31,102841.44583429451
2025-08-01,102642.72319958736
2025-08-04,102619.41758714095
2025-08-05,102632.91091134255
2025-08-06,102536.00361796017
2025-08-07,102495.52364535538
2025-08-08,102561.76420628777
2025-08-11,102478.35023710698
2025-08-12,102528.64440177658
2025-08-13,102648.85730760536
2025-08-14,102639.04406745055
2025-08-15,102639.04406745055
2025-08-18,102576.48454247497
2025-08-19,102580.16367461176
2025-08-20,102667.25772783934
2025-08-21,102739.63049296974
2025-08-22,102955.5255840153
2025-08-25,102983.73924440409
2025-08-26,102966.5667880657
2025-08-27,103088.00670588008
2025-08-28,103171.41972315086
2025-08-29,103231.52807988525
2025-09-02,103247.47447614805
2025-09-03,102998.4595805913
2025-09-04,103070.83329763167
2025-09-05,102859.84530261852
2025-09-08,102859.84530261852
2025-09-09,102859.84530261852
2025-09-10,102859.84530261852
2025-09-11,102862.03737904783
2025-09-12,102803.91927194655
2025-09-15,102771.02195724123
2025-09-16,102933.31560337712
2025-09-17,102956.34431934379
2025-09-18,102956.34431934379
2025-09-19,102956.34431934379
2025-09-22,102956.34431934379
2025-09-23,102956.34431934379
2025-09-24,103083.56745082201
