date,equity
2026-01-26,99995.79459736464
2026-01-27,100018.32524261757
2026-01-28,100142.99267389883
2026-01-29,100338.25673814924
2026-01-30,100754.31791720091
2026-02-02,100830.92165267837
2026-02-03,100969.10792949388
2026-02-04,101487.30818648632
2026-02-05,102033.56531317279
2026-02-06,102032.98794501025
2026-02-09,101985.35045673851
2026-02-10,101989.5744801784
2026-02-11,102021.61134710487
2026-02-12,102017.31979699666
2026-02-13,102339.14567853425
2026-02-17,102348.08581682779
2026-02-18,102542.96828215019
2026-02-19,102694.94108462543
2026-02-20,102560.8471946637
2026-02-23,102290.06731480826
2026-02-24,102289.58462660818
2026-02-25,102317.741120682
2026-02-26,102338.23596085083
2026-02-27,102305.67411442203
2026-03-02,102330.7658884803
2026-03-03,102293.22394509317
2026-03-04,102344.36525474803
2026-03-05,102326.36038999142
2026-03-06,102295.90550203982
2026-03-09,102332.10666695362
2026-03-10,102304.80253447061
2026-03-11,102303.40416369156
2026-03-12,102170.66975304682
2026-03-13,102149.3667355013
2026-03-16,102247.68867551295
2026-03-17,102302.85781492983
2026-03-18,102212.72985611814
2026-03-19,102194.15774889727
2026-03-20,102089.28129071284
2026-03-23,102185.9641844393
2026-03-24,102081.08772625487
2026-03-25,102130.2486962607
2026-03-26,101991.8552546509
