date,equity
2026-01-26,99998.82619351211
2026-01-27,100001.62078305648
2026-01-28,100025.83913529434
2026-01-29,100116.6599139296
2026-01-30,100139.94709227266
2026-02-02,100115.26244118075
2026-02-03,100231.69904480272
2026-02-04,100257.78045673683
2026-02-05,100331.36846711182
2026-02-06,100228.74265425459
2026-02-09,100227.94200114459
2026-02-10,100211.53238495078
2026-02-11,100252.05337465736
2026-02-12,100335.68255320507
2026-02-13,100335.68255320507
2026-02-17,100335.68255320507
2026-02-18,100334.35039747365
2026-02-19,100335.5037943286
2026-02-20,100451.45963888447
2026-02-23,100601.94312937812
2026-02-24,100600.40596973094
2026-02-25,100519.78004189052
2026-02-26,100437.01350858973
2026-02-27,100505.5098841291
2026-03-02,100470.54802487904
2026-03-03,100434.15936797591
2026-03-04,100380.64641269755
2026-03-05,100300.02048485713
2026-03-06,100283.38810203368
2026-03-09,100281.38894741685
2026-03-10,100324.49676125242
2026-03-11,100326.22115287615
2026-03-12,100365.88018346425
2026-03-13,100378.81279118262
2026-03-16,100434.85321273655
2026-03-17,100394.33165687695
2026-03-18,100395.19418214844
2026-03-19,100371.91522468769
2026-03-20,100475.37509805574
2026-03-23,100391.74539890098
2026-03-24,100557.27974666755
2026-03-25,100532.27738596192
2026-03-26,100540.7324588166
2026-03-27,100539.46460981657
2026-03-30,100541.25032632021
2026-03-31,100653.74070307259
2026-04-01,100681.71458215454
2026-04-02,100742.27480631426
2026-04-06,100741.67817645156
2026-04-07,100712.77957487028
2026-04-08,100701.90932506642
2026-04-08,100701.29963310377
