date,equity
2026-01-26,99996.85427130683
2026-01-27,99993.137205506
2026-01-28,99981.98743801919
2026-01-29,99982.91545329319
2026-01-30,99974.55330641754
2026-02-02,99972.21968403363
2026-02-03,99974.08643894919
2026-02-04,99977.81923382246
2026-02-05,100000.21743297775
2026-02-06,100023.54865211192
2026-02-09,100026.34842700632
2026-02-10,100049.67893118264
2026-02-11,100050.61266611934
2026-02-12,100075.80992521122
2026-02-13,100091.674839641
2026-02-17,100110.34024392303
2026-02-18,100114.07375375413
2026-02-19,100103.80767415534
2026-02-20,100113.14001881744
2026-02-23,100118.73956860627
2026-02-24,100113.14001881744
2026-02-25,100121.53862854284
2026-02-26,100115.93979371185
2026-02-27,100117.41045397751
2026-03-02,100114.26017286422
2026-03-03,100155.15087192558
2026-03-04,100125.41185941096
2026-03-05,100170.95027625676
2026-03-06,100229.49875772909
2026-03-09,100209.98259723831
2026-03-10,100210.9121407952
2026-03-11,100239.72160975292
2026-03-12,100314.06949555644
2026-03-13,100356.81928173157
2026-03-16,100322.4332604665
2026-03-17,100289.9063263152
2026-03-18,100289.9063263152
2026-03-19,100289.9063263152
2026-03-20,100289.9063263152
2026-03-23,100289.9063263152
2026-03-24,100288.04896386326
2026-03-25,100336.18443303168
2026-03-26,100281.25320047769
2026-03-26,100279.4014491859
