date,equity
2026-01-26,99995.77954703876
2026-01-27,99486.01110507015
2026-01-28,99535.34360238905
2026-01-29,100428.80796790567
2026-01-30,100940.16617714905
2026-02-02,100936.1527660991
2026-02-03,100830.88306846061
2026-02-04,100169.1964938152
2026-02-05,100165.00915912968
2026-02-06,101404.22436131617
2026-02-09,101848.63302143266
2026-02-10,101134.75892112327
2026-02-11,101130.48191440247
2026-02-12,100891.95657096442
2026-02-13,101698.00746106595
2026-02-17,101372.87304529101
2026-02-18,101368.63400311438
2026-02-19,101443.44243524548
2026-02-20,101584.74707533815
2026-02-23,100886.53609904432
2026-02-24,100869.91165070525
2026-02-25,102236.82585116135
2026-02-26,102233.16690599272
2026-02-27,102754.90873343969
2026-03-02,102175.30093110545
2026-03-03,102171.0322473242
2026-03-04,103254.68455366866
2026-03-05,102880.74232665502
2026-03-06,102876.44417091511
2026-03-09,103240.15527049129
2026-03-10,103264.95355747247
2026-03-11,103504.67243381942
2026-03-12,103455.07585985705
2026-03-13,103669.99644922283
2026-03-16,105091.77777875817
2026-03-17,105033.91484636097
2026-03-18,104169.4381107403
2026-03-19,104165.03039545009
2026-03-20,104118.63504736744
2026-03-23,104257.82256649688
2026-03-24,104018.11080993405
2026-03-25,104358.34606648952
2026-03-26,103623.74666402781
2026-03-26,103619.57101603573
