date,equity
2026-01-26,100000.0
2026-01-27,99996.16309034787
2026-01-28,99969.03417162047
2026-01-29,100065.92358947976
2026-01-30,99806.25992004859
2026-02-02,99883.77175001905
2026-02-03,99949.65658373166
2026-02-04,100038.79467075238
2026-02-05,99841.14016961453
2026-02-06,99992.28742492858
2026-02-09,100224.82217563238
2026-02-10,100151.1860110812
2026-02-11,100406.9740150931
2026-02-12,100325.50968824005
2026-02-13,100323.69882581702
2026-02-17,100295.29274289586
2026-02-18,100297.06816540685
2026-02-19,100286.415630341
2026-02-20,100227.82804198774
2026-02-23,100272.21258888043
2026-02-24,100249.13277349221
2026-02-25,100146.16063824628
2026-02-26,100149.71148326821
2026-02-27,100158.58825719586
2026-03-02,100186.99434011702
2026-03-03,100336.1264447666
2026-03-04,100289.96647536295
2026-03-05,100421.34469353003
2026-03-06,100471.05550795564
2026-03-09,100376.96014663734
2026-03-10,100360.9816826658
2026-03-11,100352.10490873815
2026-03-12,100455.07704398409
2026-03-13,100533.19394133084
2026-03-16,100408.91707458043
2026-03-17,100403.59098313366
2026-03-18,100401.05985540772
2026-03-19,100468.21228276266
2026-03-20,100220.26482078849
2026-03-23,100424.30494536238
2026-03-24,100287.41724814344
2026-03-25,100349.40399048026
2026-03-26,100186.68885342444
2026-03-26,100184.23518949522
