date,equity
2026-01-26,99995.79643946372
2026-01-27,100226.99034473965
2026-01-28,100374.11291902648
2026-01-29,100463.43776864234
2026-01-30,100284.7880694106
2026-02-02,100212.22523863736
2026-02-03,100208.65662332735
2026-02-04,100265.23765748533
2026-02-05,100191.24656348959
2026-02-06,100321.81869164332
2026-02-09,100369.69552603978
2026-02-10,100339.22875148106
2026-02-11,100395.80978563905
2026-02-12,100191.24656348959
2026-02-13,100112.90295453442
2026-02-17,100234.77088292662
2026-02-18,100291.3519170846
2026-02-19,100300.05694700348
2026-02-20,100378.40055595865
2026-02-23,100383.49278228822
2026-02-24,100379.26600750677
2026-02-25,100424.54884408099
2026-02-26,100419.51731116531
2026-02-27,100248.44999036654
2026-03-02,100384.29754042243
2026-03-03,100600.6486574622
2026-03-04,100701.27739644198
2026-03-05,100781.78000375908
2026-03-06,100771.71693792775
2026-03-09,100786.81153667475
2026-03-10,100697.15136517564
2026-03-11,100695.73773584563
2026-03-12,100614.70866012998
2026-03-13,100594.02062335651
2026-03-16,100639.17262605151
2026-03-17,100638.0283196004
2026-03-18,100589.39666496497
2026-03-19,100615.1428671621
2026-03-20,100542.19538520896
2026-03-23,100550.77736166929
2026-03-24,100572.23271204431
2026-03-25,100642.31944423862
2026-03-26,100577.95393874582
2026-03-26,100576.82401210464
