date,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,99600.15465116767
2024-01-18,99685.8381304853
2024-01-19,99914.31652068238
2024-01-22,99857.19618077061
2024-01-23,99814.35889528677
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100128.51779535148
2024-01-29,100028.56016995589
2024-01-30,100028.56016995589
2024-01-31,99871.47923519854
2024-02-01,100000.0
2024-02-02,100128.51779535148
2024-02-05,99671.55507605738
2024-02-06,99871.47923519854
2024-02-07,100114.23771037355
2024-02-08,99871.47923519854
2024-02-09,99914.31652068238
2024-02-12,100042.84025493382
2024-02-13,99528.75719572796
2024-02-14,99971.43983004412
2024-02-15,100442.68263431618
2024-02-16,100685.45001784114
2024-02-20,100685.45001784114
2024-02-21,100685.45001784114
2024-02-22,100685.45001784114
2024-02-23,100490.96297031714
2024-02-26,100270.55312364784
2024-02-27,100296.48401103
2024-02-28,100050.1405808996
2024-02-29,100050.1405808996
2024-03-01,100244.6222362657
2024-03-04,100127.93324304605
2024-03-05,100076.07146828175
2024-03-06,100503.93111008717
2024-03-07,100659.519130459
2024-03-08,100581.72646831255
2024-03-11,100633.58285091895
2024-03-12,100659.519130459
2024-03-13,100841.03534213403
2024-03-14,100828.06720236399
2024-03-15,100789.17087129077
2024-03-18,100685.45001784114
2024-03-19,100672.48457415008
2024-03-20,100854.00078582509
2024-03-21,100918.82800428045
2024-03-22,100763.24267998758
2024-03-25,100711.37820914434
2024-03-26,100983.65522273583
2024-03-27,101100.34151987653
2024-03-28,100789.17087129077
2024-04-01,100789.17087129079
2024-04-02,100836.15800276387
2024-04-03,100846.59958753567
2024-04-04,100846.59958753567
2024-04-05,100914.32501649356
2024-04-08,100929.95371164655
2024-04-09,101002.88762236056
2024-04-10,100883.06762618755
2024-04-11,100914.32501649356
2024-04-12,100705.94133115865
2024-04-15,100591.32981674177
2024-04-16,100591.32981674177
2024-04-17,100591.32981674177
2024-04-18,100591.32981674177
2024-04-19,100591.32981674177
2024-04-22,102323.09577911299
2024-04-23,104264.77144451874
2024-04-24,104107.32825490645
2024-04-25,104527.14766097549
2024-04-26,104474.69205988967
2024-04-29,104999.44449280317
2024-04-30,103739.98627459603
2024-05-01,103792.47461269106
2024-05-02,105629.18451424316
2024-05-03,106363.87938720039
2024-05-06,106363.87938720039
2024-05-07,105629.18451424316
2024-05-08,105366.8082977864
2024-05-09,106101.48134607082
2024-05-10,105996.52649455356
2024-05-13,106363.87938720039
2024-05-14,107413.427902373
2024-05-15,107675.80411882975
2024-05-16,107938.21307229572
2024-05-17,108882.80673595108
2024-05-20,107938.21307229572
2024-05-21,108148.11186299384
2024-05-22,107518.38275389027
2024-05-23,107255.99562509712
2024-05-24,107885.72473420069
2024-05-28,107780.78079501982
2024-05-29,107151.04077357985
2024-05-30,107938.21307229572
2024-05-31,107675.80411882975
2024-06-03,108148.11186299384
2024-06-04,107885.72473420069
2024-06-05,107833.24730844205
2024-06-06,108043.15701147658
2024-06-07,106626.26651599354
2024-06-10,107151.04077357985
2024-06-11,106675.41567914948
2024-06-12,107637.35995768447
2024-06-13,107316.71186483947
2024-06-14,106515.09163272697
2024-06-17,107156.38781841697
2024-06-18,107530.473622624
2024-06-20,106782.30201420994
2024-06-21,106675.41567914948
2024-06-24,107637.35995768447
2024-06-25,107049.4905710201
2024-06-26,106942.61514829604
2024-06-27,108225.21843201245
2024-06-28,107637.35995768447
2024-07-01,107102.95010705494
2024-07-02,108652.74194758151
2024-07-03,110683.5277520484
2024-07-05,110149.10698908246
2024-07-08,110149.10698908246
2024-07-09,110218.51153045364
2024-07-10,110218.51153045364
2024-07-11,110218.51153045364
2024-07-12,110218.51153045364
