date,equity
2026-01-26,99999.10593461024
2026-01-27,100037.8000033172
2026-01-28,100066.8205548474
2026-01-29,100057.48042294076
2026-01-30,99946.40230427476
2026-02-02,99956.74284648427
2026-02-03,100066.90049931181
2026-02-04,100065.73496305698
2026-02-05,100082.56969927122
2026-02-06,99951.34484389373
2026-02-09,99916.8121952139
2026-02-10,99925.01352226001
2026-02-11,99915.5172661714
2026-02-12,99949.18673859986
2026-02-13,99901.27238804217
2026-02-17,99912.92707875551
2026-02-18,99939.25840038924
2026-02-19,99948.32323301761
2026-02-20,99892.63897887405
2026-02-23,99965.58972202297
2026-02-24,99929.76181496975
2026-02-25,99926.3087806334
2026-02-26,99917.24361867414
2026-02-27,99905.15717516966
2026-03-02,99969.04308569021
2026-03-03,100145.59210420951
2026-03-04,100035.95027775601
2026-03-05,100150.77214971039
2026-03-06,100216.81616552483
2026-03-09,100209.47801473008
2026-03-10,100171.92342584324
2026-03-11,100174.94503671936
2026-03-12,100283.7236869215
2026-03-13,100311.34993759773
2026-03-16,100240.98905253378
2026-03-17,100231.49279644518
2026-03-18,100274.65885429314
2026-03-19,100283.29193413038
2026-03-20,100383.00542237326
2026-03-23,100329.91135564557
2026-03-24,100270.10903323685
2026-03-25,100269.55482722202
2026-03-26,100308.95492161144
2026-03-27,100333.81698317175
2026-03-30,100320.12175116222
2026-03-31,100267.52590784788
2026-04-01,100266.94058906905
2026-04-02,100272.63978306044
2026-04-06,100270.66708162194
2026-04-07,100276.36610837856
2026-04-08,100206.88039268757
2026-04-08,100206.27322769524
