date,equity
2026-01-26,99997.45982028876
2026-01-27,100329.96732385164
2026-01-28,100506.72794627244
2026-01-29,100441.21543290323
2026-01-30,100309.39900806244
2026-02-02,100306.09656611738
2026-02-03,100570.76221499672
2026-02-04,100253.78814958099
2026-02-05,100249.88428748006
2026-02-06,100601.21043331765
2026-02-09,100705.82786203618
2026-02-10,100580.91142255512
2026-02-11,101061.05786997471
2026-02-12,101073.09616938884
2026-02-13,101069.16611398678
2026-02-17,101344.85010815455
2026-02-18,101156.31291185004
2026-02-19,100965.26070994974
2026-02-20,100406.35281922563
2026-02-23,100622.54229108678
2026-02-24,100178.38243003705
2026-02-25,100174.17444329665
2026-02-26,100051.40606026903
2026-02-27,99973.86904225167
2026-03-02,100283.21233839262
2026-03-03,101510.89247138273
2026-03-04,101346.93262456018
2026-03-05,102043.96409185963
2026-03-06,101964.00288662734
2026-03-09,101381.91304415347
2026-03-10,101380.28739929292
2026-03-11,101289.38560224888
2026-03-12,101622.69201009668
2026-03-13,101599.52093712756
2026-03-16,101278.81270581091
2026-03-17,101277.90272249846
2026-03-18,101327.17676140224
2026-03-19,101270.36637388803
2026-03-20,101445.04867392147
2026-03-23,101288.97866501226
2026-03-24,101286.86194455613
2026-03-25,101239.45857022164
2026-03-26,100873.74945110193
2026-03-27,100871.31463140936
2026-03-30,101133.19543318701
2026-03-31,100751.99510461498
2026-04-01,100751.51898347266
2026-04-02,100715.43189858891
2026-04-06,100748.50276128812
2026-04-07,100761.48870532964
2026-04-08,100761.48870532964
