date,equity
2026-01-26,99995.79677601828
2026-01-27,99748.66072998734
2026-01-28,99792.73576480235
2026-01-29,100485.34671448637
2026-01-30,100505.81098133235
2026-02-02,101313.33167164767
2026-02-03,101519.54038494127
2026-02-04,101941.4033196707
2026-02-05,103271.53082504269
2026-02-06,102400.84057754288
2026-02-09,102396.53069283807
2026-02-10,102736.73905429529
2026-02-11,102952.23822191246
2026-02-12,103333.3518139739
2026-02-13,102734.5444635548
2026-02-17,102732.19480875527
2026-02-18,102581.22310367877
2026-02-19,102668.62770666799
2026-02-20,102731.0594422273
2026-02-23,102726.75299245611
2026-02-24,102726.75299245611
2026-02-25,101805.94822150517
2026-02-26,101801.66199226318
2026-02-27,102132.46538577173
2026-03-02,101485.42299893379
2026-03-03,101653.94495830615
2026-03-04,100769.24377413084
2026-03-05,100765.01354558858
2026-03-06,101299.17136582505
2026-03-09,101139.31385083441
2026-03-10,100963.86086162615
2026-03-11,100854.39717478288
2026-03-12,100850.15597218106
2026-03-13,100729.81807867119
2026-03-16,100244.52091356886
2026-03-17,100145.88339463218
2026-03-18,100747.57286218158
2026-03-19,100885.66553920183
2026-03-20,100899.4747316494
2026-03-23,100814.6464051603
2026-03-24,101041.51224718793
2026-03-25,100787.02802026515
2026-03-26,101187.49610633383
2026-03-26,101183.37302794048
