date,equity
2023-08-18,100000.0
2023-08-21,100000.0
2023-08-22,100000.0
2023-08-23,100000.0
2023-08-24,100000.0
2023-08-25,100000.0
2023-08-28,100000.0
2023-08-29,99995.80477726003
2023-08-30,100025.81677886937
2023-08-31,100005.80911700713
2023-09-01,100011.81111027622
2023-09-05,99913.77448301995
2023-09-06,99859.75450833426
2023-09-07,99872.42606143474
2023-09-08,99876.4273902808
2023-09-11,99898.43571656608
2023-09-12,99837.07963311861
2023-09-13,99809.7358624946
2023-09-14,99815.7378557637
2023-09-15,99893.76682115771
2023-09-18,99963.7931288596
2023-09-19,99952.45569125179
2023-09-20,99961.12591550621
2023-09-21,99874.42672585777
2023-09-22,99912.44036752728
2023-09-25,99851.08428407983
2023-09-26,99756.38243673927
2023-09-27,99606.93347353375
2023-09-28,99606.93347353375
2023-09-29,99606.93347353375
2023-10-02,99606.93347353375
2023-10-03,99606.93347353375
2023-10-04,99606.93347353375
2023-10-05,99606.93347353375
2023-10-06,99606.93347353375
2023-10-09,99606.93347353375
2023-10-10,99606.93347353375
2023-10-11,99606.93347353375
2023-10-12,99606.93347353375
2023-10-13,99602.75093385372
2023-10-16,99544.6216121758
2023-10-17,99566.66989179216
2023-10-18,99739.05448729637
2023-10-19,99887.38539460169
2023-10-20,99920.79323823756
2023-10-23,99879.36783837756
2023-10-24,99878.03123916472
2023-10-25,99929.47960383135
2023-10-26,99948.85570454849
2023-10-27,100091.84123452891
2023-10-30,100021.68557851479
2023-10-31,99954.20108187341
2023-11-01,99915.44786091264
2023-11-02,99956.20547092945
2023-11-03,100000.9718590583
2023-11-06,99900.46815085586
2023-11-07,99900.46815085586
2023-11-08,99896.27206121101
2023-11-09,99944.00339765233
2023-11-10,99812.74171666015
2023-11-13,99879.03512710005
2023-11-14,99985.76755837059
2023-11-15,99953.94700459544
2023-11-16,100089.84869830868
2023-11-17,100088.52254686388
2023-11-20,100068.63432142047
2023-11-21,100199.89600241264
2023-11-22,100147.5236416931
2023-11-24,100211.16576080056
2023-11-27,100294.03252385044
2023-11-28,100459.10246844923
2023-11-29,100477.66454244783
2023-11-30,100425.29319328546
2023-12-01,100641.40934715897
2023-12-04,100361.929951587
2023-12-05,100357.71599346552
2023-12-06,100402.10332893133
2023-12-07,100422.04523754088
2023-12-08,100260.57918828282
2023-12-11,100128.70404161105
2023-12-12,100122.27170615534
2023-12-13,100388.59473736388
2023-12-14,100459.35631689495
2023-12-15,100348.06699948876
2023-12-18,100402.74724958735
2023-12-19,100485.0886034769
2023-12-20,100418.8295606062
2023-12-21,100504.38659143043
2023-12-22,100558.42390245937
2023-12-26,100651.70111005136
2023-12-27,100707.66723828929
2023-12-28,100635.61879903253
2023-12-29,100616.31982949264
2024-01-02,100587.371865976
2024-01-03,100480.82969341148
2024-01-04,100476.60902292047
2024-01-05,100478.51896185493
2024-01-08,100384.29077415924
2024-01-09,100388.11065202818
2024-01-10,100360.73421297767
2024-01-11,100384.29077415924
2024-01-12,100501.43920055326
2024-01-16,100386.83800706167
2024-01-17,100255.04639167516
2024-01-18,100352.45716327184
2024-01-19,100388.11065202818
2024-01-22,100342.9074685995
2024-01-23,100389.38426847939
2024-01-24,100290.6998804315
2024-01-25,100337.81397427936
2024-01-26,100329.53692457352
2024-01-29,100413.57812362892
2024-01-30,100430.13125155587
2024-01-31,100421.21787936678
2024-02-01,100546.00606149867
2024-02-02,100431.40486800708
2024-02-05,100365.19138481456
2024-02-06,100427.58499013816
2024-02-07,100424.40143475248
2024-02-08,100413.57812362892
2024-02-09,100367.10132374903
2024-02-12,100335.90403534488
2024-02-13,100171.64248658772
2024-02-14,100160.5326341068
2024-02-15,100160.5326341068
2024-02-16,100160.5326341068
2024-02-20,100160.5326341068
2024-02-21,100160.5326341068
2024-02-22,100160.5326341068
2024-02-23,100156.3281350646
2024-02-26,100129.5743280157
2024-02-27,100116.83455875175
2024-02-28,100138.49226369867
2024-02-29,100200.28116520998
2024-03-01,100428.32663136825
2024-03-04,100627.0697534356
2024-03-05,100702.2360444624
2024-03-06,100805.42943907705
2024-03-07,100877.41054479235
2024-03-08,100985.06339323951
2024-03-11,101008.63201497692
2024-03-12,100867.85498885783
2024-03-13,100957.0353176696
2024-03-14,100903.52770357179
2024-03-15,100858.30681376651
2024-03-18,100854.07280801238
2024-03-19,100840.16157583607
2024-03-20,100984.11463353524
2024-03-21,100971.41335461197
2024-03-22,100873.42836836544
2024-03-25,100912.13856614761
