date,equity
2024-02-29,100000.0
2024-03-01,100000.0
2024-03-02,100000.0
2024-03-03,100000.0
2024-03-04,100000.0
2024-03-05,100000.0
2024-03-06,100000.0
2024-03-07,100000.0
2024-03-08,100000.0
2024-03-09,100000.0
2024-03-10,100000.0
2024-03-11,100000.0
2024-03-12,99951.81002898948
2024-03-13,99583.33609015208
2024-03-14,100476.56704289495
2024-03-15,100418.00575984122
2024-03-16,103096.79323960294
2024-03-17,103047.10048429732
2024-03-18,104486.67951005862
2024-03-19,106706.94458266812
2024-03-20,106655.48700663533
2024-03-21,108686.13076448349
2024-03-22,109013.74234799028
2024-03-23,109210.94366429132
2024-03-24,109158.52958393013
2024-03-25,109582.69210624287
2024-03-26,110949.00539516585
2024-03-27,110949.00539516585
2024-03-28,110895.58655572488
2024-03-29,111541.71236798569
2024-03-30,112593.03331586416
2024-03-31,112593.03331586416
2024-04-01,112593.03331586416
2024-04-02,112593.03331586416
2024-04-03,112593.03331586416
2024-04-04,112593.03331586416
2024-04-05,112593.03331586416
2024-04-06,112538.83013394402
2024-04-07,112623.69757433556
2024-04-08,113063.94540838183
2024-04-09,114739.65275051471
2024-04-10,112883.69576844385
2024-04-11,112471.08433731421
2024-04-12,116085.08720034151
2024-04-13,116085.08720034151
2024-04-14,116085.08720034151
2024-04-15,116085.08720034151
2024-04-16,116085.08720034151
2024-04-17,116085.08720034151
2024-04-18,116085.08720034151
2024-04-19,116085.08720034151
2024-04-20,116085.08720034151
2024-04-21,116085.08720034151
2024-04-22,116085.08720034151
2024-04-23,116085.08720034151
2024-04-24,116085.08720034151
2024-04-25,116029.55840593635
2024-04-26,116552.82477307059
2024-04-27,114306.00234498615
2024-04-28,109561.02686945019
2024-04-29,109561.02686945019
2024-04-30,109561.02686945019
2024-05-01,109508.36229414844
2024-05-02,106943.1466498718
2024-05-03,107747.49887356759
2024-05-04,106768.17904311008
2024-05-05,106957.18445857278
2024-05-06,107870.04602573792
2024-05-07,110168.1193523988
2024-05-08,112317.31310157868
2024-05-09,111096.06613982195
2024-05-10,111439.29293170643
2024-05-11,110774.11925940408
2024-05-12,111131.6881081085
2024-05-13,110953.16678356405
2024-05-14,111960.01857494873
2024-05-15,110393.00360136323
2024-05-16,112028.54173531065
2024-05-17,111123.98963316446
2024-05-18,111735.99220592623
2024-05-19,112437.92503620559
2024-05-20,111073.49442076834
2024-05-21,110575.84674549886
2024-05-22,111977.51782946194
2024-05-23,113641.47573032291
2024-05-24,113547.60770411837
2024-05-25,114212.71653665765
2024-05-26,113927.32182574246
2024-05-27,113794.77937471378
2024-05-28,114202.9781030145
2024-05-29,114933.42546601497
2024-05-30,115318.26068200172
2024-05-31,114640.45946584479
2024-06-01,114356.21191996822
2024-06-02,114631.8083451513
2024-06-03,114084.84504240585
2024-06-04,114516.09680030898
2024-06-05,114560.41976602984
2024-06-06,115427.3261511311
2024-06-07,116257.41976075897
2024-06-08,117370.57883750621
2024-06-09,116613.48607264648
2024-06-10,117244.58395562739
2024-06-11,118010.59966941804
2024-06-12,116032.81357462455
2024-06-13,117930.96397120364
2024-06-14,118189.31800708867
2024-06-15,117725.38950244384
2024-06-16,118035.70886766035
2024-06-17,119400.13698926054
2024-06-18,118132.17048438702
2024-06-19,117926.51870667894
2024-06-20,118349.13056615525
2024-06-21,118043.63802253062
2024-06-22,117748.24427200152
2024-06-23,118542.18347913469
2024-06-24,118924.73309347383
2024-06-25,117890.7919972367
2024-06-26,118122.2749390103
2024-06-27,116761.13743538504
2024-06-28,117208.78492491096
2024-06-29,118502.17360457538
2024-06-30,117852.5564877317
2024-07-01,117481.60570946794
2024-07-02,116225.55895560044
2024-07-03,116225.55895560044
2024-07-04,116169.27207580178
2024-07-05,117128.0565233002
2024-07-06,115475.72899944783
2024-07-07,118155.97574172239
2024-07-08,116902.78870529869
2024-07-09,117251.36466871406
2024-07-10,117419.8697569312
2024-07-11,118010.05186253825
2024-07-12,117357.59322352019
2024-07-13,117013.4465808082
2024-07-14,116301.88971507367
2024-07-15,110757.87694333443
2024-07-16,111076.716953637
2024-07-17,108587.4027606156
2024-07-18,108587.4027606156
2024-07-19,108587.4027606156
2024-07-20,108587.4027606156
2024-07-21,108587.4027606156
2024-07-22,108587.4027606156
2024-07-23,108587.4027606156
2024-07-24,108587.4027606156
2024-07-25,108587.4027606156
2024-07-26,108587.4027606156
2024-07-27,108587.4027606156
2024-07-28,108587.4027606156
2024-07-29,108587.4027606156
2024-07-30,108587.4027606156
2024-07-31,108587.4027606156
2024-08-01,108587.4027606156
2024-08-02,108587.4027606156
2024-08-03,108587.4027606156
2024-08-04,108587.4027606156
2024-08-05,108587.4027606156
2024-08-06,108587.4027606156
2024-08-07,108587.4027606156
2024-08-08,108587.4027606156
2024-08-09,108587.4027606156
2024-08-10,108587.4027606156
2024-08-11,108587.4027606156
2024-08-12,108587.4027606156
2024-08-13,108587.4027606156
2024-08-14,108587.4027606156
2024-08-15,108587.4027606156
2024-08-16,108587.4027606156
2024-08-17,108587.4027606156
2024-08-18,108587.4027606156
2024-08-19,108587.4027606156
2024-08-20,108587.4027606156
2024-08-21,108587.4027606156
2024-08-22,108587.4027606156
2024-08-23,108587.4027606156
2024-08-24,108587.4027606156
2024-08-25,108587.4027606156
2024-08-26,108587.4027606156
2024-08-27,108587.4027606156
2024-08-28,108587.4027606156
2024-08-29,108587.4027606156
2024-08-30,108587.4027606156
2024-08-31,108587.4027606156
2024-09-01,108587.4027606156
2024-09-02,108587.4027606156
2024-09-03,108587.4027606156
2024-09-04,108587.4027606156
2024-09-05,108587.4027606156
2024-09-06,108587.4027606156
2024-09-07,108587.4027606156
2024-09-08,108587.4027606156
2024-09-09,108587.4027606156
2024-09-10,108587.4027606156
2024-09-11,108587.4027606156
2024-09-12,108587.4027606156
2024-09-13,108587.4027606156
2024-09-14,108587.4027606156
2024-09-15,108587.4027606156
2024-09-16,108587.4027606156
2024-09-17,108587.4027606156
2024-09-18,108587.4027606156
2024-09-19,108587.4027606156
2024-09-20,108587.4027606156
2024-09-21,108587.4027606156
2024-09-22,108587.4027606156
2024-09-23,108587.4027606156
2024-09-24,108587.4027606156
2024-09-25,108587.4027606156
2024-09-26,108587.4027606156
2024-09-27,108587.4027606156
2024-09-28,108587.4027606156
2024-09-29,108587.4027606156
2024-09-30,108587.4027606156
2024-10-01,108587.4027606156
2024-10-02,108535.31711558132
