date,equity
2026-01-26,99996.45712531966
2026-01-27,100241.16274859334
2026-01-28,100642.2662939022
2026-01-29,100676.31221601935
2026-01-30,99569.616576591
2026-02-02,99565.44282346126
2026-02-03,100310.16377105679
2026-02-04,100295.16014971735
2026-02-05,99969.17426901025
2026-02-06,100338.80676435461
2026-02-09,100664.79264506171
2026-02-10,100539.30875805675
2026-02-11,100682.52476516325
2026-02-12,100230.7270231588
2026-02-13,100226.51404853398
2026-02-17,99854.70630948422
2026-02-18,100112.30671146058
2026-02-19,100146.56939665557
2026-02-20,100378.78985253455
2026-02-23,100711.25988531578
2026-02-24,100537.41088509595
2026-02-25,100508.22515726638
2026-02-26,100612.28051590083
2026-02-27,100774.70829834035
2026-03-02,100940.942830658
2026-03-03,100370.7196016562
2026-03-04,100366.50912109713
2026-03-05,100225.73757106545
2026-03-06,100407.61944723593
2026-03-09,100382.70366604277
2026-03-10,100516.00000649657
2026-03-11,100478.62776036665
2026-03-12,100241.93306645096
2026-03-13,100083.72094480401
2026-03-16,100077.49271233562
2026-03-17,100045.10267200446
2026-03-18,99677.60369097423
2026-03-19,99206.63111662059
2026-03-20,99204.7449499741
2026-03-23,99082.41173456145
2026-03-24,99081.13764290692
2026-03-25,99241.06263849065
2026-03-26,99038.44803779076
2026-03-26,99036.6196426696
