date,equity
2026-01-26,99995.79271868596
2026-01-27,99758.85178658014
2026-01-28,99787.86563955146
2026-01-29,100491.43543377834
2026-01-30,100518.03008221206
2026-02-02,101308.63959074403
2026-02-03,101531.07451866864
2026-02-04,101949.34788147526
2026-02-05,103271.86603785711
2026-02-06,102402.94483867458
2026-02-09,102398.65402543772
2026-02-10,102748.03339878457
2026-02-11,102956.43533536038
2026-02-12,103336.46274002887
2026-02-13,102743.86573603653
2026-02-17,102741.50217224944
2026-02-18,102591.58171640443
2026-02-19,102685.06148255536
2026-02-20,102744.43014347173
2026-02-23,102740.1110922536
2026-02-24,102746.86016651941
2026-02-25,101831.13257217463
2026-02-26,101826.85182693832
2026-02-27,102168.71525252647
2026-03-02,101528.12017874341
2026-03-03,101686.2716542393
2026-03-04,100806.21295000185
2026-03-05,100801.98872889362
2026-03-06,101338.27858538131
2026-03-09,101179.48815538452
2026-03-10,101005.7189409348
2026-03-11,100893.6671003047
2026-03-12,100889.42254406922
2026-03-13,100762.09335103945
2026-03-16,100286.12271835565
2026-03-17,100186.07736112931
2026-03-18,100795.44180344824
2026-03-19,100928.83445659658
2026-03-20,100943.99252864963
2026-03-23,100859.10639996312
2026-03-24,101092.5444103378
2026-03-25,100822.72679573845
2026-03-26,101232.0005236047
2026-03-26,101227.87737257445
