date,equity
2026-01-26,100000.0
2026-01-27,100000.0
2026-01-28,100000.0
2026-01-29,100000.0
2026-01-30,99996.84852445919
2026-02-02,99979.16170613121
2026-02-03,99987.62881537896
2026-02-04,99985.74803806248
2026-02-05,100038.43363765959
2026-02-06,100038.43363765959
2026-02-09,100040.31441497608
2026-02-10,100079.8295175048
2026-02-11,100054.42674523212
2026-02-12,100109.93567759811
2026-02-13,100145.6856141703
2026-02-17,100144.74522551206
2026-02-18,100125.92950743536
2026-02-19,100134.39661668311
2026-02-20,100134.39661668311
2026-02-23,100164.11762478384
2026-02-24,100159.90723492003
2026-02-25,100169.78134225661
2026-02-26,100137.69073029276
2026-02-27,100089.55575986713
2026-03-02,100162.21444645103
2026-03-03,100175.83031080442
2026-03-04,100200.58711691613
2026-03-05,100237.72137856357
2026-03-06,100245.14898890916
2026-03-09,100208.0137797416
2026-03-10,100246.38550268655
2026-03-11,100300.84990762023
2026-03-12,100339.2216305652
2026-03-13,100351.60003362106
2026-03-16,100298.37403750504
2026-03-17,100273.15939421175
2026-03-18,100273.15939421175
2026-03-19,100273.15939421175
2026-03-20,100273.15939421175
2026-03-23,100273.15939421175
2026-03-24,100273.15939421175
2026-03-25,100273.15939421175
2026-03-26,100273.15939421175
2026-03-27,100270.30753023316
2026-03-30,100327.99795350802
2026-03-31,100342.63642219745
2026-04-01,100335.46582014997
2026-04-02,100354.47229874552
2026-04-06,100332.87414745482
2026-04-07,100353.60818813938
2026-04-08,100371.75055612877
2026-04-08,100368.86512221112
