date,equity
2026-01-26,99996.84761562754
2026-01-27,100092.51879287683
2026-01-28,100156.3002728681
2026-01-29,100592.74505810559
2026-01-30,100771.33195079601
2026-02-02,100843.31351948362
2026-02-03,101219.62154031433
2026-02-04,101360.85131479078
2026-02-05,101738.26175343254
2026-02-06,101736.0734693188
2026-02-09,101539.19749693072
2026-02-10,101512.69448446464
2026-02-11,101677.76753514513
2026-02-12,101849.65582773997
2026-02-13,101712.59996677887
2026-02-17,101849.65582773997
2026-02-18,101770.9053232428
2026-02-19,101787.56416157812
2026-02-20,101863.28573385891
2026-02-23,102154.05629411644
2026-02-24,102042.74549043013
2026-02-25,101855.84221087015
2026-02-26,101852.63390847598
2026-02-27,101966.98415187508
2026-03-02,101833.760748248
2026-03-03,101683.88336040036
2026-03-04,101514.02322432103
2026-03-05,101295.3141116387
2026-03-06,101256.45735616528
2026-03-09,101285.32273752286
2026-03-10,101514.02322432103
2026-03-11,101504.03185020518
2026-03-12,101587.29668922555
2026-03-13,101676.11200930568
2026-03-16,101591.73758228161
2026-03-17,101527.34590348924
2026-03-18,101659.45971911261
2026-03-19,101646.1370399444
2026-03-20,101809.33625994649
2026-03-23,101648.35706296556
2026-03-24,102050.24899089543
2026-03-25,102096.87709746353
2026-03-26,102169.04012735058
2026-03-27,102483.57028125535
2026-03-30,102481.34603257483
2026-03-31,102282.65561886427
2026-04-01,102305.5505086575
2026-04-02,102258.944146124
2026-04-06,102249.13205049835
2026-04-07,102245.86135195645
2026-04-08,102307.18554601747
2026-04-08,102304.9042859984
