date,equity
2024-01-02,100000.0
2024-01-03,99962.79558190107
2024-01-04,100158.12592474335
2024-01-05,100195.332129798
2024-01-08,100195.332129798
2024-01-09,100083.71351463403
2024-01-10,100223.23723032791
2024-01-11,100241.83943937738
2024-01-12,100599.94715270323
2024-01-16,100339.50550427639
2024-01-17,100074.41419706502
2024-01-18,100190.68247101348
2024-01-19,100427.87046465065
2024-01-22,100511.58397928468
2024-01-23,100004.65144574022
2024-01-24,100246.49088511762
2024-01-25,100204.63323432273
2024-01-26,100241.83943937738
2024-01-29,100609.24825722797
2024-01-30,100395.3139183805
2024-01-31,100567.3923933888
2024-02-01,100725.51831813215
2024-02-02,100795.27928250123
2024-02-05,100669.70990402803
2024-02-06,100981.30852081877
2024-02-07,101032.46727613838
2024-02-08,100851.08769660535
2024-02-09,100953.40520724458
2024-02-12,100748.77018596612
2024-02-13,100604.59859844345
2024-02-14,100995.26285803945
2024-02-15,101120.83223651265
2024-02-16,101176.64065061677
2024-02-20,101344.06767988484
2024-02-21,101167.33954609203
2024-02-22,101423.12974877865
2024-02-23,101455.68450809308
2024-02-26,101344.06767988484
2024-02-27,101376.62422615499
2024-02-28,101111.53113198791
2024-02-29,101158.0384415673
2024-03-01,101511.49470915293
2024-03-04,101506.8432634127
2024-03-05,101418.48008999415
2024-03-06,101599.85966952718
2024-03-07,101683.57318416123
2024-03-08,101678.921738421
2024-03-11,101502.19360462819
2024-03-12,101404.5275397292
2024-03-13,100818.53293729092
2024-03-14,100948.75376150434
2024-03-15,100860.39058808581
2024-03-18,100944.10410271984
2024-03-19,100683.66066733727
2024-03-20,100813.8814915507
2024-03-21,100865.04024687031
2024-03-22,100846.43803782084
2024-03-25,100869.69169261053
2024-03-26,100972.00741629404
2024-03-27,101125.48189529715
2024-03-28,101358.0202301498
2024-04-01,101311.51292057041
2024-04-02,101348.71912562507
2024-04-03,101399.87609398896
2024-04-04,101348.71912562507
2024-04-05,101558.00201873231
2024-04-08,101725.42904800038
2024-04-09,101744.03125704985
2024-04-10,101651.0184248468
2024-04-11,101711.47649773542
2024-04-12,101395.22464824874
2024-04-15,101204.54396419096
2024-04-16,101153.38699582708
2024-04-17,101069.67348119304
2024-04-18,101116.18079077243
2024-04-19,101237.10051046111
2024-04-22,101497.54215888797
2024-04-23,101553.35057299209
2024-04-24,101553.35057299209
2024-04-25,101683.57318416123
2024-04-26,101697.52394747047
2024-04-29,101795.19001236946
2024-04-30,101711.47649773542
2024-05-01,101739.38159826535
2024-05-02,102004.47469243243
2024-05-03,101888.20463152824
2024-05-06,101720.77760226016
2024-05-07,101506.8432634127
2024-05-08,101558.00201873231
2024-05-09,101348.71912562507
2024-05-10,101255.70271951058
2024-05-13,101418.48008999415
2024-05-14,101618.46187857665
2024-05-15,101702.17718016641
2024-05-16,101795.19001236946
2024-05-17,101999.82324669219
2024-05-20,102069.58421106127
2024-05-21,102111.44186185615
2024-05-22,102148.64806691081
2024-05-23,102390.48750628819
2024-05-24,102511.40543902115
2024-05-28,102274.21923233973
2024-05-29,102143.99662117058
2024-05-30,102027.7265602664
2024-05-31,102018.42545574167
2024-06-03,102850.91094329755
2024-06-04,101297.56037030547
2024-06-05,102069.58421106127
2024-06-06,102181.20282622523
2024-06-07,102474.20102092222
2024-06-10,102548.61343103154
2024-06-11,102599.77039939543
2024-06-12,102790.4510834532
2024-06-13,102757.89453718305
2024-06-14,103022.98763135013
2024-06-17,103060.19383640478
2024-06-18,103181.11355609348
2024-06-20,102920.67190766662
2024-06-21,102799.75218797792
2024-06-24,103004.38542230066
2024-06-25,103027.63907709035
2024-06-26,103046.24307309554
2024-06-27,103315.98582604712
2024-06-28,103306.68293456666
2024-07-01,103492.71395983994
2024-07-02,103488.0625140997
2024-07-03,103599.68112926367
2024-07-05,103715.95119016785
2024-07-08,103701.99863990289
2024-07-09,103804.3143635864
2024-07-10,103753.1573952225
2024-07-11,103822.91657263586
2024-07-12,103906.63187422563
2024-07-15,103948.48773806478
2024-07-16,104041.50235722355
2024-07-17,103915.93297875035
2024-07-18,103943.83807928028
2024-07-19,103492.71395983994
2024-07-22,103701.99863990289
2024-07-23,103292.73217125743
2024-07-24,103157.85990130377
2024-07-25,103302.03327578216
2024-07-26,103790.36181332143
2024-07-29,103799.6647048019
2024-07-30,103808.96580932662
2024-07-31,104069.40745775348
2024-08-01,103776.41105001219
2024-08-02,103529.92016489459
2024-08-05,102878.81604382746
2024-08-06,102976.48032177074
2024-08-07,103064.845282145
2024-08-08,103302.03327578216
2024-08-09,103311.33616726262
2024-08-12,103255.52596620278
2024-08-13,103190.4146606182
2024-08-14,103116.0022505089
2024-08-15,103348.54058536155
2024-08-16,103581.0789202142
2024-08-19,103636.88912127404
2024-08-20,103683.3946438977
