date,equity
2026-01-26,99998.81215075516
2026-01-27,99975.2654702796
2026-01-28,99983.61847361518
2026-01-29,100011.34143581531
2026-01-30,100036.47192736622
2026-02-02,100025.45475189402
2026-02-03,100085.22124076646
2026-02-04,100122.95315875132
2026-02-05,100178.21138326188
2026-02-06,100177.3552204307
2026-02-09,100199.52010668276
2026-02-10,100191.7034197552
2026-02-11,100183.1374428799
2026-02-12,100135.16718743891
2026-02-13,100125.58406008894
2026-02-17,100137.25528943428
2026-02-18,100152.35310576455
2026-02-19,100144.69700432994
2026-02-20,100161.4008391187
2026-02-23,100129.97399650255
2026-02-24,100154.97643822673
2026-02-25,100185.38322478466
2026-02-26,100183.70007448978
2026-02-27,100225.63537198107
2026-03-02,100212.08056102
2026-03-03,100241.83768276834
2026-03-04,100195.24297965746
2026-03-05,100195.66670901266
2026-03-06,100258.78135819844
2026-03-09,100201.8085204604
2026-03-10,100213.13956095047
2026-03-11,100213.66906091571
2026-03-12,100298.5989792863
2026-03-13,100350.02896248145
2026-03-16,100349.20865777602
2026-03-17,100352.06478200512
2026-03-18,100316.78501350935
2026-03-19,100308.21631798666
2026-03-20,100266.00737322868
2026-03-23,100300.81112101961
2026-03-24,100276.48031298845
2026-03-25,100291.18465551425
2026-03-26,100238.30288581867
