date,equity
2026-01-26,99999.23757186209
2026-01-27,99984.8086949402
2026-01-28,100012.31960460874
2026-01-29,100010.9727604335
2026-01-30,100082.53841374668
2026-02-02,100033.86617070474
2026-02-03,100022.32330442386
2026-02-04,100065.80108119691
2026-02-05,100155.2897886781
2026-02-06,100155.2897886781
2026-02-09,100154.97537531861
2026-02-10,100149.32636561924
2026-02-11,100139.83307421413
2026-02-12,100097.38694638938
2026-02-13,100124.21968249568
2026-02-17,100124.84740354291
2026-02-18,100132.30090137308
2026-02-19,100137.08688458108
2026-02-20,100137.16531972913
2026-02-23,100104.53339368974
2026-02-24,100103.12999263279
2026-02-25,100058.68095796682
2026-02-26,100008.54194244038
2026-02-27,100171.40324024431
2026-03-02,100086.06113717041
2026-03-03,100248.56803417945
2026-03-04,100158.95790190069
2026-03-05,100336.75512768359
2026-03-06,100545.4890424876
2026-03-09,100448.41203333838
2026-03-10,100457.65743689738
2026-03-11,100474.44323353199
2026-03-12,100474.44323353199
2026-03-13,100474.1785225278
2026-03-16,100490.83215043672
2026-03-17,100502.08800046468
2026-03-18,100473.23247741756
2026-03-19,100484.76037413965
2026-03-20,100446.0237655434
2026-03-23,100483.47148464138
2026-03-24,100492.99453926012
2026-03-25,100514.76155246173
2026-03-26,100483.39992215758
2026-03-27,100452.0633699699
2026-03-30,100451.57146446305
2026-03-31,100566.53405693584
2026-04-01,100587.90966797681
2026-04-02,100611.09816500485
2026-04-06,100610.18667551567
2026-04-07,100596.95939510917
2026-04-08,100415.1454810585
2026-04-08,100414.20517624445
