date,equity
2023-08-10,100000.0
2023-08-11,100000.0
2023-08-14,100246.0757710663
2023-08-15,100805.33694646764
2023-08-16,101416.79213138428
2023-08-17,101088.69110329586
2023-08-18,101879.1124260101
2023-08-21,101938.76882181136
2023-08-22,102028.25036590706
2023-08-23,101580.83959582231
2023-08-24,101551.02054674018
2023-08-25,101551.02054674018
2023-08-28,100887.35610427741
2023-08-29,100164.05356365038
2023-08-30,100350.46988930926
2023-08-31,100693.4834915449
2023-09-01,99962.71856463191
2023-09-05,100387.75437428351
2023-09-06,100372.84180013627
2023-09-07,101379.50459680386
2023-09-08,101454.07356675234
2023-09-11,100917.18430217804
2023-09-12,100917.18430217804
2023-09-13,101170.71636031797
2023-09-14,100991.75327212652
2023-09-15,101208.0008452922
2023-09-18,101267.6541914873
2023-09-19,101476.44547757937
2023-09-20,101722.5181990395
2023-09-21,102348.89510692187
2023-09-22,101349.68249811557
2023-09-25,101812.00584234756
2023-09-26,102184.83849366533
2023-09-27,102080.44742502854
2023-09-28,102147.56010790342
2023-09-29,101901.48128723094
2023-10-02,102050.6222767341
2023-10-03,102684.44022365924
2023-10-04,102908.15018311088
2023-10-05,102729.18404531326
2023-10-06,102028.25036590706
2023-10-09,102058.07246459537
2023-10-10,101439.16099260512
2023-10-11,101185.63198407137
2023-10-12,101782.17459484076
2023-10-13,101990.96588093284
2023-10-16,101901.48128723094
2023-10-17,102132.64448415002
2023-10-18,102684.44022365924
2023-10-19,103109.48518212931
2023-10-20,103668.74635753065
2023-10-23,103668.74635753065
2023-10-24,103668.74635753065
2023-10-25,103979.10956070424
2023-10-26,103974.25846226368
2023-10-27,103872.42307729753
2023-10-30,103610.55102574764
2023-10-31,103925.76532736179
2023-11-01,103930.61444252417
2023-11-02,103760.88152889388
2023-11-03,103227.44514530392
2023-11-06,103101.36021796953
2023-11-07,103135.3079906625
2023-11-08,103266.24203315926
2023-11-09,103542.66143019625
2023-11-10,103591.15258181997
2023-11-13,103387.47982860946
2023-11-14,102883.13416943736
2023-11-15,102436.98384204827
2023-11-16,102436.98384204827
2023-11-17,102436.98384204827
2023-11-20,102436.98384204827
2023-11-21,102436.98384204827
2023-11-22,102436.98384204827
2023-11-24,102436.98384204827
2023-11-27,102436.98384204827
2023-11-28,102436.98384204827
2023-11-29,102436.98384204827
2023-11-30,102162.36532057775
2023-12-01,102553.17424992748
2023-12-04,103292.53712424618
2023-12-05,104042.4529454921
2023-12-06,104063.58475734969
2023-12-07,104021.33841230324
2023-12-08,104517.76320426905
2023-12-11,104169.20925930011
2023-12-12,103936.83708287604
2023-12-13,103936.83708287604
2023-12-14,103936.83708287604
2023-12-15,104061.40537210656
2023-12-18,104387.2062926639
2023-12-19,103917.67393648485
2023-12-20,104974.1197784658
2023-12-21,103903.9305511282
2023-12-22,104964.2991557958
2023-12-26,104689.38442253697
2023-12-27,104728.66299437317
2023-12-28,103815.56454131732
2023-12-29,103540.64980805849
2024-01-02,104551.93489359523
2024-01-03,104002.10934592142
2024-01-04,104493.01899526286
2024-01-05,104826.84178916638
2024-01-08,105219.57264371461
2024-01-09,105759.5775687184
2024-01-10,105798.84830286693
2024-01-11,105347.20546883016
2024-01-12,105465.02942780725
2024-01-16,106574.48547044952
2024-01-17,107409.04245520834
2024-01-18,107281.40571124894
2024-01-19,107281.40571124894
2024-01-22,107281.40571124894
2024-01-23,107281.40571124894
2024-01-24,107281.40571124894
2024-01-25,107262.82086210686
2024-01-26,107262.82086210686
2024-01-29,107262.82086210686
2024-01-30,107262.82086210686
2024-01-31,107262.82086210686
2024-02-01,107262.82086210686
2024-02-02,107262.82086210686
2024-02-05,107262.82086210686
2024-02-06,107262.82086210686
2024-02-07,107262.82086210686
2024-02-08,107262.82086210686
2024-02-09,107262.82086210686
2024-02-12,107262.82086210686
2024-02-13,107262.82086210686
