date,equity
2026-01-26,99998.78107470724
2026-01-27,100047.53878390287
2026-01-28,100096.29649309849
2026-01-29,100145.05443478921
2026-01-30,100021.91661118474
2026-02-02,100021.20529460607
2026-02-03,100073.46808639847
2026-02-04,100077.82328443552
2026-02-05,100042.98142324059
2026-02-06,100063.3059114956
2026-02-09,100083.63026130135
2026-02-10,100074.91986522725
2026-02-11,100096.69599386177
2026-02-12,100048.78840010641
2026-02-13,100050.24017893519
2026-02-17,100029.91569068018
2026-02-18,100085.08204013012
2026-02-19,100102.50297072758
2026-02-20,100118.47226094553
2026-02-23,100128.6344358484
2026-02-24,100127.18265701964
2026-02-25,100128.6344358484
2026-02-26,100130.08621467717
2026-02-27,100159.12109900628
2026-03-02,100222.99784453033
2026-03-03,100231.70837905369
2026-03-04,100252.03286730869
2026-03-05,100286.87472850362
2026-03-06,100371.07582383342
2026-03-09,100343.49285678234
2026-03-10,100379.78649680603
2026-03-11,100426.24231173261
2026-03-12,100491.57069763617
2026-03-13,100479.95674390453
2026-03-16,100446.56666153837
2026-03-17,100485.7638592196
2026-03-18,100527.86433765988
2026-03-19,100493.02247646495
2026-03-20,100508.10621294225
2026-03-23,100506.95062061872
2026-03-24,100449.17272208823
2026-03-25,100459.1343107972
2026-03-26,100421.27958968465
2026-03-26,100420.08427200155
