date,equity
2026-01-26,99998.55976496305
2026-01-27,99911.48377258172
2026-01-28,99879.38728774179
2026-01-29,99937.59155395771
2026-01-30,100053.69318997319
2026-02-02,99988.11684011688
2026-02-03,100135.85508560836
2026-02-04,100301.25348359649
2026-02-05,100435.16918957738
2026-02-06,100239.955417695
2026-02-09,100239.05825346969
2026-02-10,100211.30443241667
2026-02-11,100227.27496037316
2026-02-12,100105.84098362364
2026-02-13,100118.30568432601
2026-02-17,100112.26763928776
2026-02-18,100155.99198829728
2026-02-19,100133.39960669001
2026-02-20,100185.40142154193
2026-02-23,100113.33884775107
2026-02-24,100176.24735010705
2026-02-25,100262.03984081862
2026-02-26,100189.5886564019
2026-02-27,100170.59910592627
2026-03-02,100178.38976703369
2026-03-03,100114.99505505853
2026-03-04,100204.29337302424
2026-03-05,100186.37443589613
2026-03-06,100097.17371692375
2026-03-09,100175.17614164372
2026-03-10,100174.38607922103
2026-03-11,100173.99813135949
2026-03-12,100129.61679397956
2026-03-13,100114.55335148581
2026-03-16,100142.89270900421
2026-03-17,100155.36041405302
2026-03-18,100119.57475902555
2026-03-19,100111.57483248218
2026-03-20,100064.56678230787
2026-03-23,100063.79262774755
2026-03-24,100028.50786070977
2026-03-25,100062.21278476815
2026-03-26,99939.06753350132
2026-03-26,99938.3120040522
