date,equity
2025-12-16,100000.0
2025-12-17,101661.34191699344
2025-12-18,101661.34191699344
2025-12-19,101464.5949784925
2025-12-22,101464.5949784925
2025-12-23,102025.29008094643
2025-12-24,102162.19005554993
2025-12-26,102162.19005554993
2025-12-29,102162.19005554993
2025-12-30,102389.68379839373
2025-12-31,102389.68379839373
2026-01-02,102389.68379839373
2026-01-05,102389.68379839373
2026-01-06,102389.68379839373
2026-01-07,102389.68379839373
2026-01-08,102389.68379839373
2026-01-09,102997.76905490199
2026-01-12,102997.76905490199
2026-01-13,102997.76905490199
2026-01-14,102997.76905490199
2026-01-15,102997.76905490199
2026-01-16,103145.24870179332
2026-01-20,102346.48195620993
2026-01-21,102878.88205461114
2026-01-22,102878.88205461114
2026-01-23,102878.88205461114
2026-01-26,102702.14954555787
2026-01-27,102702.14954555787
2026-01-28,102702.14954555787
2026-01-29,102702.14954555787
2026-01-30,102702.14954555787
2026-02-02,103269.61285407995
2026-02-03,103571.14316943997
2026-02-04,103571.14316943997
2026-02-05,103495.22747923623
2026-02-06,104357.20963769742
2026-02-09,104670.89994871439
2026-02-10,104670.89994871439
2026-02-11,104670.89994871439
2026-02-12,105865.37752803326
2026-02-13,105521.64540563631
2026-02-17,105521.64540563631
2026-02-18,105517.8105493534
2026-02-19,105517.8105493534
2026-02-20,105954.84125089124
2026-02-23,105954.84125089124
2026-02-24,106119.68476183158
2026-02-25,106001.03157226735
2026-02-26,106001.03157226735
2026-02-27,106237.67332865245
2026-03-02,106237.67332865245
2026-03-03,106237.67332865245
2026-03-04,106237.67332865245
2026-03-05,105634.92409427739
2026-03-06,104560.65303054039
2026-03-09,107066.78537266463
2026-03-10,107066.78537266463
2026-03-11,107066.78537266463
2026-03-12,107066.78537266463
2026-03-13,107066.78537266463
