date,equity
2026-01-26,100000.0
2026-01-27,99998.64860233727
2026-01-28,99981.23870317415
2026-01-29,99998.47632084959
2026-01-30,99981.58326614954
2026-02-02,100013.81779005971
2026-02-03,100025.5392438269
2026-02-04,100072.42558494608
2026-02-05,100043.81107647883
2026-02-06,100136.89436974122
2026-02-09,100134.1362877871
2026-02-10,100144.99607109067
2026-02-11,100144.13413760187
2026-02-12,100142.93219199902
2026-02-13,100107.9673375491
2026-02-17,100115.62050050551
2026-02-18,100098.51325526612
2026-02-19,100102.11486494033
2026-02-20,100085.90796487479
2026-02-23,100150.43537375276
2026-02-24,100125.97492796229
2026-02-25,100119.52230156396
2026-02-26,100097.76289129496
2026-02-27,100129.1263650496
2026-03-02,100121.17301070895
2026-03-03,100168.89313675286
2026-03-04,100156.88800015108
2026-03-05,100205.65868155041
2026-03-06,100274.38785389217
2026-03-09,100262.23273608774
2026-03-10,100282.64139961707
2026-03-11,100287.44331687043
2026-03-12,100339.0652439728
2026-03-13,100342.66685364701
2026-03-16,100328.11066272644
2026-03-17,100301.84952658834
2026-03-18,100338.76528156748
2026-03-19,100334.86348050903
2026-03-20,100395.18912592322
2026-03-23,100337.71472621207
2026-03-24,100310.00997790456
2026-03-25,100309.24125770174
2026-03-26,100288.34708778781
2026-03-26,100287.58635920723
