date,equity
2026-01-26,99998.41715614605
2026-01-27,99997.27742232927
2026-01-28,99999.10106640137
2026-01-29,100028.74149198865
2026-01-30,100032.38947978533
2026-02-02,100071.14987486428
2026-02-03,100094.40597198116
2026-02-04,100120.17032307791
2026-02-05,100093.94979859347
2026-02-06,100183.78272247824
2026-02-09,100175.34666324189
2026-02-10,100171.01476518989
2026-02-11,100193.81468891908
2026-02-12,100143.19833350096
2026-02-13,100177.85456739554
2026-02-17,100171.47058875137
2026-02-18,100187.20262358106
2026-02-19,100177.6264807017
2026-02-20,100194.9547725621
2026-02-23,100155.92574621055
2026-02-24,100152.4471179313
2026-02-25,100128.81936246614
2026-02-26,100115.31747082737
2026-02-27,100099.4043421427
2026-03-02,100121.10399581541
2026-03-03,100243.5858113307
2026-03-04,100208.86666140246
2026-03-05,100337.135741776
2026-03-06,100448.04598705565
2026-03-09,100426.82798889595
2026-03-10,100453.35011666047
2026-03-11,100478.90745365852
2026-03-12,100594.15703777655
2026-03-13,100581.13680165079
2026-03-16,100508.80486936518
2026-03-17,100481.80108608767
2026-03-18,100602.89422083888
2026-03-19,100601.48355528408
2026-03-20,100561.48360763506
2026-03-23,100589.5861414137
2026-03-24,100611.53476446254
2026-03-25,100625.27838302484
2026-03-26,100597.3810530408
2026-03-27,100559.40827968782
2026-03-30,100552.807767448
2026-03-31,100618.1925575162
2026-04-01,100627.88686316233
2026-04-02,100633.06612183513
2026-04-06,100631.86858526983
2026-04-07,100636.36814316847
2026-04-08,100560.22027553908
2026-04-08,100558.99664211893
