date,equity
2026-01-26,99998.865452322
2026-01-27,100012.26926203712
2026-01-28,99994.13490885729
2026-01-29,100028.0383434846
2026-01-30,100019.75959080546
2026-02-02,100060.95609741547
2026-02-03,100088.74909592625
2026-02-04,100097.61901573054
2026-02-05,100077.51360277373
2026-02-06,100172.32474501246
2026-02-09,100182.57485908443
2026-02-10,100186.71423542399
2026-02-11,100205.04584538947
2026-02-12,100163.84903716357
2026-02-13,100191.83929245999
2026-02-17,100209.77669047005
2026-02-18,100208.98796494339
2026-02-19,100234.61264689156
2026-02-20,100252.15583294624
2026-02-23,100204.84858860383
2026-02-24,100247.2280326959
2026-02-25,100220.02650292615
2026-02-26,100241.70876370452
2026-02-27,100250.38172833904
2026-03-02,100285.07358687713
2026-03-03,100216.87250566712
2026-03-04,100227.31957490886
2026-03-05,100149.06067205642
2026-03-06,100146.99127773743
2026-03-09,100181.80343956224
2026-03-10,100149.77665551935
2026-03-11,100131.3262576933
2026-03-12,99983.37630114416
2026-03-13,99962.83673681197
2026-03-16,100011.92149612938
2026-03-17,100027.23867687504
2026-03-18,99981.28713463801
2026-03-19,99942.29770515862
2026-03-20,99857.12879035481
2026-03-23,99853.85987646344
2026-03-24,99908.24909193777
2026-03-25,99971.22663002134
2026-03-26,99751.95140472533
2026-03-27,99633.439366767
2026-03-30,99485.15692316554
2026-03-31,99778.28683076316
2026-04-01,99932.86702817297
2026-04-02,99895.08137891887
2026-04-06,99943.17284058484
2026-04-07,99924.27957915977
2026-04-08,100276.95204523568
2026-04-08,100273.53396167657
