date,equity
2024-01-02,99989.49175986648
2024-01-03,99683.90226333734
2024-01-04,99466.3084731806
2024-01-05,99458.30459129564
2024-01-08,100197.48385982623
2024-01-09,100245.48241726117
2024-01-10,100503.07582974285
2024-01-11,100658.27100055666
2024-01-12,100757.47115221301
2024-01-16,100834.26488668895
2024-01-17,100682.27027927413
2024-01-18,101304.65124422888
2024-01-19,102026.23236083997
2024-01-22,102167.02499635832
2024-01-23,102296.62308014266
2024-01-24,102519.01276862291
2024-01-25,102655.01197920521
2024-01-26,102279.02740161064
2024-01-29,102575.01768133028
2024-01-30,102306.21982356466
2024-01-31,101616.77714404276
2024-02-01,101606.1045157224
2024-02-02,101921.24773897602
2024-02-05,101991.27485929303
2024-02-06,101849.69082003678
2024-02-07,102256.17478871968
2024-02-08,102353.60883973817
2024-02-09,102773.79980407633
2024-02-12,102533.2542687157
2024-02-13,101989.6093538825
2024-02-14,101978.89521516838
2024-02-15,101914.6972731608
2024-02-16,101634.03292677451
2024-02-20,101326.50039040181
2024-02-21,101138.3999818248
2024-02-22,102111.75913009008
2024-02-23,102040.09985341266
2024-02-26,102069.96134716239
2024-02-27,102096.82953714882
2024-02-28,101952.01779371314
2024-02-29,102292.39820399726
2024-03-01,102856.70404546268
2024-03-04,102856.70404546268
2024-03-05,102083.3977500228
2024-03-06,102326.73465225512
2024-03-07,102814.906262535
2024-03-08,102347.63700551978
2024-03-11,102262.53901811474
2024-03-12,102895.5246796975
2024-03-13,102555.14888514779
2024-03-14,102561.11472186956
2024-03-15,102080.1163875066
2024-03-18,102080.1163875066
2024-03-19,102080.1163875066
2024-03-20,102069.3926366773
2024-03-21,102091.29156954901
2024-03-22,102101.51212305308
2024-03-25,101898.58366412805
2024-03-26,101773.02812997735
2024-03-27,101927.77848594292
2024-03-28,101862.08394053622
2024-04-01,101946.75951387906
2024-04-02,101653.3129121147
2024-04-03,101733.61050144996
2024-04-04,101254.74962999935
2024-04-05,101596.37658793162
2024-04-08,101561.3369434118
2024-04-09,101713.17164765025
2024-04-10,101342.3498679031
2024-04-11,101939.46137172746
2024-04-12,101446.0019627652
2024-04-15,100876.63196130903
2024-04-16,100911.6693526204
2024-04-17,100476.66744311084
2024-04-18,100476.66744311084
2024-04-19,100476.66744311084
2024-04-22,100476.66744311084
2024-04-23,100476.66744311084
2024-04-24,100476.66744311084
2024-04-25,100476.66744311084
2024-04-26,100476.66744311084
2024-04-29,100476.66744311084
2024-04-30,100476.66744311084
2024-05-01,100476.66744311084
2024-05-02,100476.66744311084
2024-05-03,100476.66744311084
2024-05-06,100466.12425963921
2024-05-07,100367.6058048206
2024-05-08,100452.89179217446
2024-05-09,100444.06863431081
2024-05-10,100555.81728726343
2024-05-13,100698.44472340812
2024-05-14,100967.52607561153
2024-05-15,101657.13029670378
2024-05-16,101548.32269637236
2024-05-17,101479.21930642737
2024-05-20,101845.3417791466
2024-05-21,101896.801122695
2024-05-22,101967.37957761204
2024-05-23,101710.0624358935
2024-05-24,101974.73447849581
2024-05-28,102108.53875677683
2024-05-29,101907.09707619998
2024-05-30,101175.81360080364
2024-05-31,101165.19272350143
2024-06-03,101241.71095929947
2024-06-04,101305.23624713774
2024-06-05,101982.36247109753
2024-06-06,101878.41220265797
2024-06-07,101950.59871305147
2024-06-10,102030.00476578587
2024-06-11,102610.39580713936
2024-06-12,103313.51015527248
2024-06-13,103570.50358006953
2024-06-14,103693.21797383393
2024-06-17,104191.3173737705
2024-06-18,104233.18849109375
2024-06-20,103857.8079414292
2024-06-21,103800.05828746365
2024-06-24,102980.31671071253
2024-06-25,102969.52107064868
2024-06-26,102934.07184119955
2024-06-27,102949.07080405981
2024-06-28,102932.70638939855
2024-07-01,103165.86463685271
2024-07-02,103321.30556918391
2024-07-03,103742.62517551146
2024-07-05,103839.43360750756
2024-07-08,104056.22954099555
2024-07-09,104030.32586998296
2024-07-10,104493.91146128929
2024-07-11,103671.56356823063
2024-07-12,103660.67899036927
2024-07-15,103716.5303434376
2024-07-16,103612.8055239833
2024-07-17,102405.35216973022
2024-07-18,102408.01146529101
2024-07-19,101930.9696212983
2024-07-22,101920.27000945857
2024-07-23,101798.58724033006
2024-07-24,100538.53173385565
2024-07-25,100226.2199862427
2024-07-26,100592.61180737552
2024-07-29,100462.82213048829
2024-07-30,99721.45693059632
2024-07-31,99721.45693059632
2024-08-01,99721.45693059632
2024-08-02,99721.45693059632
2024-08-05,99721.45693059632
2024-08-06,99721.45693059632
2024-08-07,99721.45693059632
2024-08-08,99721.45693059632
2024-08-09,99721.45693059632
2024-08-12,99721.45693059632
2024-08-13,99721.45693059632
2024-08-14,99721.45693059632
2024-08-15,99721.45693059632
2024-08-16,99710.99790203196
2024-08-19,100204.02978358376
2024-08-20,100097.31428646206
2024-08-21,100275.6208796754
2024-08-22,99574.56880152675
2024-08-23,100056.79573639363
2024-08-26,99677.22828148956
2024-08-27,99858.2340302981
2024-08-28,99443.54633651602
2024-08-29,99176.09268992409
2024-08-30,99566.46717258908
2024-09-03,98199.49157947386
2024-09-04,98126.5498650466
2024-09-05,98083.32383507889
2024-09-06,97349.85483579946
2024-09-09,97801.01130571915
2024-09-10,98219.75085450808
2024-09-11,99189.60095435624
2024-09-12,99432.74138983112
2024-09-13,99581.32189320482
2024-09-16,99467.86162870913
2024-09-17,99409.77671597362
2024-09-18,99139.62391378646
2024-09-19,100010.86846975467
2024-09-20,99863.63442256456
2024-09-23,99858.08835497685
2024-09-24,100063.77150320561
2024-09-25,100150.37548169037
2024-09-26,100552.27704441849
2024-09-27,100265.3986342755
2024-09-30,100354.70801158351
2024-10-01,99610.4507142273
2024-10-02,99831.02396136412
2024-10-03,99955.51600983068
2024-10-04,100291.10824740058
2024-10-07,100081.36700093692
2024-10-08,100646.99721937304
2024-10-09,100992.0625149764
2024-10-10,100983.94423743058
2024-10-11,101038.06886250402
2024-10-14,101445.3833039547
2024-10-15,100749.83983402542
2024-10-16,100845.92103269565
2024-10-17,100940.64328872622
2024-10-18,101051.60418092442
2024-10-21,101197.7498253572
2024-10-22,101165.27047194589
2024-10-23,100716.00778120248
2024-10-24,100806.6781822262
2024-10-25,100967.70352018691
2024-10-28,100958.23462430549
2024-10-29,101377.72336046086
2024-10-30,100875.68666297963
2024-10-31,99878.38717045542
2024-11-01,100104.36705308671
2024-11-04,100081.36700093692
2024-11-05,100507.62131522648
2024-11-06,101381.78145869575
2024-11-07,101932.5319836039
2024-11-08,101897.35139352137
2024-11-11,101720.08117616494
2024-11-12,101760.67672604605
2024-11-13,101649.71583384785
2024-11-14,101541.4603404729
2024-11-15,100753.90209441235
2024-11-18,100854.03722916546
2024-11-19,101108.43836697316
2024-11-20,101081.37397336043
2024-11-21,101399.37279427503
2024-11-22,101415.61143044267
2024-11-25,101414.25873103105
2024-11-26,101572.58283232054
2024-11-27,101142.26833872008
2024-11-29,101433.20276602195
2024-12-02,101733.6123324333
2024-12-03,101848.63548501844
2024-12-04,102434.56660000912
2024-12-05,102269.47900166146
