date,equity
2026-01-26,99997.77158939272
2026-01-27,100026.96734901235
2026-01-28,99962.43003660557
2026-01-29,99947.83186206176
2026-01-30,100053.85828882715
2026-02-02,100129.919700258
2026-02-03,100235.17746077647
2026-02-04,100321.22740714149
2026-02-05,100315.84910128493
2026-02-06,100394.21651145656
2026-02-09,100355.03280637074
2026-02-10,100333.52017241249
2026-02-11,100429.55806424371
2026-02-12,100491.79055684566
2026-02-13,100514.83993382979
2026-02-17,100414.19181292097
2026-02-18,100401.89904764996
2026-02-19,100371.11615350886
2026-02-20,100369.58885202579
2026-02-23,100423.29044103344
2026-02-24,100461.57732474689
2026-02-25,100425.279558328
2026-02-26,100417.82094071659
2026-02-27,100473.43805379905
2026-03-02,100472.46147797398
2026-03-03,100502.97551431574
2026-03-04,100521.22060505644
2026-03-05,100576.27132583462
2026-03-06,100564.63231193318
2026-03-09,100558.65520138099
2026-03-10,100566.51969350064
2026-03-11,100601.13443749884
2026-03-12,100600.02490668114
2026-03-13,100618.4351152092
2026-03-16,100627.45270141722
2026-03-17,100616.93237635291
2026-03-18,100539.53339789584
2026-03-19,100514.35985557796
2026-03-20,100488.81070061291
2026-03-23,100501.8461602487
2026-03-24,100499.20130526951
2026-03-25,100514.31488583662
2026-03-26,100500.33477336522
2026-03-26,100499.26173629977
