date,equity
2026-01-26,100000.0
2026-01-27,99997.1527803748
2026-01-28,99918.07417784841
2026-01-29,100020.87605744562
2026-01-30,100032.73807558992
2026-02-02,99939.82121111293
2026-02-03,99910.16692496996
2026-02-04,100038.66908466206
2026-02-05,99993.19877432671
2026-02-06,100143.44796728333
2026-02-09,100194.84852747306
2026-02-10,100311.48866902087
2026-02-11,100303.58065692468
2026-02-12,100317.419678093
2026-02-13,100441.967831737
2026-02-17,100528.95368714184
2026-02-18,100412.31354559404
2026-02-19,100382.65925945107
2026-02-20,100453.82984988128
2026-02-23,100460.70163057125
2026-02-24,100459.21552843718
2026-02-25,100487.30979071547
2026-02-26,100468.90296133746
2026-02-27,100448.55931504333
2026-03-02,100440.8094431302
2026-03-03,100462.12186991792
2026-03-04,100456.30955899195
2026-03-05,100496.99722361575
2026-03-06,100540.59122972027
2026-03-09,100531.87257731357
2026-03-10,100537.68526027506
2026-03-11,100587.09157730553
2026-03-12,100613.24827859667
2026-03-13,100602.59169316728
2026-03-16,100570.6226809502
2026-03-17,100557.06012607561
2026-03-18,100624.87327248411
2026-03-19,100634.5610774199
2026-03-20,100763.40553474631
2026-03-23,100734.05007205588
2026-03-24,100764.85870905823
2026-03-25,100763.76699543535
2026-03-26,100765.31561111652
2026-03-26,100764.22379116107
