date,equity
2026-01-26,99998.98129435204
2026-01-27,100036.89358850187
2026-01-28,100030.1236660059
2026-01-29,100030.1236660059
2026-01-30,100024.70762398449
2026-02-02,99982.05622805054
2026-02-03,100024.0306837472
2026-02-04,100013.1985997044
2026-02-05,100014.55248017897
2026-02-06,100031.47754648047
2026-02-09,100040.27854974986
2026-02-10,100089.0229279425
2026-02-11,100115.42593775068
2026-02-12,100160.10815439648
2026-02-13,100243.63191299267
2026-02-17,100242.0739595028
2026-02-18,100316.10891863705
2026-02-19,100268.03439456206
2026-02-20,100246.88133804154
2026-02-23,100213.22931892655
2026-02-24,100163.2316218298
2026-02-25,100147.84808437455
2026-02-26,100165.15479485155
2026-02-27,100112.2728922378
2026-03-02,100146.88668253557
2026-03-03,100175.7313231118
2026-03-04,100156.50143961306
2026-03-05,100192.07626240603
2026-03-06,100207.46016920503
2026-03-09,100196.88401028854
2026-03-10,100224.7672490258
2026-03-11,100262.26561418432
2026-03-12,100230.53602940353
2026-03-13,100186.30785137207
2026-03-16,100157.46321079582
2026-03-17,100169.96217339029
2026-03-18,100208.42194038781
2026-03-19,100226.6900527038
2026-03-20,100408.41162074353
2026-03-23,100365.81077137229
2026-03-24,100335.79604972577
2026-03-25,100320.30466388907
2026-03-26,100312.55878629882
2026-03-27,100285.83629753078
2026-03-30,100284.99891052303
2026-03-31,100286.55937296551
2026-04-01,100275.11545257106
2026-04-02,100263.15144417284
2026-04-06,100271.99452768613
2026-04-07,100266.79265549267
2026-04-08,100240.26380181508
2026-04-08,100239.41065080301
