symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
1INCH-USD,crypto,high,base,SHORT,2025-07-20,0.3186,2025-07-25,0.2803,14124.2938,540.96,12.0213,16.4699,-3.9617,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-07-27,0.2907,2025-08-03,0.2517,15563.6162,606.98,13.4159,19.7073,-1.4073,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-08-05,0.2575,2025-08-08,0.285,17676.3393,-486.1,-10.6796,3.0575,-12.0256,disaster_stop,safety
1INCH-USD,crypto,high,base,SHORT,2025-08-09,0.294,2025-08-12,0.2741,15407.4248,306.61,6.7687,12.4174,-0.9432,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-08-13,0.2773,2025-08-17,0.2587,16385.0712,304.76,6.7075,11.418,-2.1021,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-08-18,0.2492,2025-08-20,0.2598,18287.6988,-193.85,-4.2536,4.7283,-4.8547,breakeven_ratchet,breakeven
1INCH-USD,crypto,high,base,SHORT,2025-08-21,0.2468,2025-08-22,0.2728,18430.1917,-479.18,-10.5348,3.4485,-10.6876,disaster_stop,safety
1INCH-USD,crypto,high,base,SHORT,2025-08-24,0.2598,2025-08-26,0.2496,17424.973,177.73,3.9261,9.3125,-1.8949,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-08-29,0.2438,2025-09-02,0.2455,18601.3374,-31.62,-0.6973,4.6587,-5.1518,breakeven_ratchet,breakeven
1INCH-USD,crypto,high,base,SHORT,2025-09-03,0.2481,2025-09-08,0.2551,18273.2086,-127.91,-2.8214,4.1391,-3.5945,breakeven_ratchet,breakeven
1INCH-USD,crypto,high,base,SHORT,2025-09-09,0.2536,2025-09-26,0.2408,17854.2074,228.53,5.0473,12.0189,-9.8983,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-09-27,0.234,2025-09-30,0.2559,19393.6368,-424.72,-9.359,0.8466,-10.606,disaster_stop,safety
1INCH-USD,crypto,high,base,SHORT,2025-10-01,0.262,2025-10-12,0.1982,17248.0862,1101.12,24.3664,53.8374,-3.5336,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-10-13,0.2021,2025-10-19,0.1753,22605.3879,605.82,13.2608,19.8639,-0.4409,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-10-20,0.1774,2025-10-23,0.1743,25906.4881,80.31,1.7475,7.2858,-4.0254,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-10-24,0.1794,2025-11-01,0.1708,25637.8202,220.41,4.7921,12.7759,-3.9961,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-11-02,0.1723,2025-11-05,0.1918,26751.8475,-521.66,-11.3175,19.8572,-12.8346,disaster_stop,safety
1INCH-USD,crypto,high,base,SHORT,2025-11-06,0.1903,2025-11-07,0.2118,24098.1008,-518.11,-11.298,2.4283,-14.7746,disaster_stop,safety
1INCH-USD,crypto,high,base,SHORT,2025-11-08,0.2026,2025-11-09,0.2246,22520.0082,-495.44,-10.8588,3.7108,-12.2863,disaster_stop,safety
1INCH-USD,crypto,high,base,SHORT,2025-11-11,0.2033,2025-11-15,0.1889,22332.8031,321.59,7.0831,11.851,-8.7319,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-11-16,0.1862,2025-11-22,0.1868,6178.5743,-3.71,-0.3222,14.5875,-8.3179,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-11-23,0.1822,2025-11-27,0.2019,5942.3863,-117.07,-10.8123,0.3425,-14.871,disaster_stop,safety
1INCH-USD,crypto,high,base,SHORT,2025-11-28,0.1998,2025-12-02,0.204,3097.2055,-13.01,-2.1021,11.6492,-1.8749,breakeven_ratchet,breakeven
1INCH-USD,crypto,high,base,SHORT,2025-12-03,0.1976,2025-12-09,0.1814,2606.0671,42.22,8.1984,12.0035,-0.4676,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-12-10,0.1734,2025-12-19,0.1561,4539.2355,78.53,9.9769,16.6055,-3.2866,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-12-20,0.1569,2025-12-27,0.1496,6916.6477,50.57,4.6603,7.318,-0.5966,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2025-12-28,0.1462,2026-01-01,0.151,8465.0472,-40.63,-3.2832,4.3728,-2.9439,breakeven_ratchet,breakeven
1INCH-USD,crypto,high,base,SHORT,2026-01-02,0.155,2026-01-13,0.1673,7002.1063,-86.13,-7.9355,6.8045,-9.809,breakeven_ratchet,breakeven
1INCH-USD,crypto,high,base,SHORT,2026-01-15,0.1535,2026-01-21,0.144,5204.8911,49.45,6.1889,9.3889,-7.2723,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2026-01-22,0.1409,2026-01-26,0.1403,6930.5173,4.16,0.4258,5.2619,-3.0937,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2026-01-28,0.118,2026-02-01,0.1141,8618.6435,33.61,3.3051,16.3966,-0.2898,profit_lock_trail,profit_lock
1INCH-USD,crypto,high,base,SHORT,2026-02-02,0.1134,2026-02-06,0.0992,9913.1973,140.77,12.522,27.0344,-2.3827,profit_lock_trail,profit_lock
