symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
1INCH-USD,,,base,SHORT,2026-01-25,0.1394,2026-01-25,0.1312,179340.0287,1470.59,5.8824,0.0,0.0,signal_decay,
1INCH-USD,,,base,LONG,2026-01-25,0.1312,2026-01-25,0.1292,193350.9684,-386.7,-1.5244,0.0,0.0,signal_decay,
1INCH-USD,,,base,SHORT,2026-01-25,0.1296,2026-01-26,0.1346,194992.0646,-974.96,-3.858,0.0,0.0,disaster_stop,
1INCH-USD,,,base,SHORT,2026-01-26,0.1338,2026-01-26,0.1399,187049.5627,-1141.0,-4.559,0.0,0.0,disaster_stop,
1INCH-USD,,,base,SHORT,2026-01-26,0.1391,2026-01-27,0.1361,177871.8973,533.62,2.1567,0.0,0.0,signal_decay,
1INCH-USD,,,base,LONG,2026-01-27,0.1361,2026-01-27,0.1266,182772.8496,-1736.34,-6.9802,0.0,0.0,disaster_stop,
1INCH-USD,,,base,LONG,2026-01-27,0.1244,2026-01-27,0.1214,196473.4672,-589.42,-2.4116,0.0,0.0,disaster_stop,
1INCH-USD,,,base,LONG,2026-01-27,0.1224,2026-01-27,0.1187,198479.9364,-734.38,-3.0229,0.0,0.0,disaster_stop,
1INCH-USD,,,base,LONG,2026-01-27,0.1164,2026-01-27,0.1309,207133.5934,3003.44,12.457,0.0,0.0,signal_decay,
1INCH-USD,,,base,SHORT,2026-01-27,0.1309,2026-01-27,0.1145,189925.2066,3114.77,12.5286,0.0,0.0,signal_decay,
1INCH-USD,,,base,LONG,2026-01-27,0.1145,2026-01-27,0.1217,223929.2829,1612.29,6.2882,0.0,0.0,signal_decay,
1INCH-USD,,,base,SHORT,2026-01-27,0.1224,2026-01-27,0.1135,212769.4086,1893.65,7.2712,0.0,0.0,signal_decay,
1INCH-USD,,,base,LONG,2026-01-28,0.118,2026-01-28,0.1122,224715.1487,-1303.35,-4.9153,0.0,0.0,disaster_stop,
1INCH-USD,,,base,LONG,2026-01-28,0.1125,2026-01-28,0.1184,232804.894,1373.55,5.2444,0.0,0.0,signal_decay,
1INCH-USD,,,base,SHORT,2026-01-28,0.1184,2026-01-28,0.1239,224104.2043,-1232.57,-4.6453,0.0,0.0,disaster_stop,
1INCH-USD,,,base,SHORT,2026-01-28,0.1231,2026-01-29,0.1133,213044.6346,2087.84,7.961,0.0,0.0,signal_decay,
1INCH-USD,,,base,LONG,2026-01-29,0.1133,2026-01-29,0.1102,236079.028,-731.84,-2.7361,0.0,0.0,disaster_stop,
1INCH-USD,,,base,LONG,2026-01-29,0.1108,2026-01-29,0.1062,239754.446,-1102.87,-4.1516,0.0,0.0,disaster_stop,
1INCH-USD,,,base,SHORT,2026-01-29,0.1062,2026-01-29,0.1119,247543.0792,-1411.0,-5.3672,0.0,0.0,disaster_stop,
1INCH-USD,,,base,SHORT,2026-01-29,0.1113,2026-01-29,0.1051,233030.7828,1444.79,5.5705,0.0,0.0,signal_decay,
1INCH-USD,,,base,LONG,2026-02-06,0.0814,2026-02-06,0.0894,323065.4034,2584.52,9.828,0.0,0.0,signal_decay,
1INCH-USD,,,base,SHORT,2026-02-13,0.0857,2026-02-13,0.0873,314395.0366,-503.03,-1.867,0.0,0.0,signal_decay,
1INCH-USD,,,base,SHORT,2026-02-21,0.0986,2026-02-23,0.0865,271986.7812,3291.04,12.2718,0.0,0.0,signal_decay,
1INCH-USD,,,base,LONG,2026-02-28,0.0859,2026-03-04,0.0987,321777.1436,4118.75,14.901,0.0,0.0,signal_decay,
1INCH-USD,,,base,SHORT,2026-03-04,0.0987,2026-03-04,0.101,290479.6707,-668.1,-2.3303,0.0,0.0,disaster_stop,
1INCH-USD,,,base,SHORT,2026-03-04,0.1007,2026-03-05,0.0956,283051.8142,1443.56,5.0645,0.0,0.0,signal_decay,
1INCH-USD,,,base,LONG,2026-03-05,0.0956,2026-03-05,0.0909,301926.8698,-1419.06,-4.9163,0.0,0.0,disaster_stop,
1INCH-USD,,,base,LONG,2026-03-05,0.0915,2026-03-08,0.0874,311578.6304,-1277.47,-4.4809,0.0,0.0,disaster_stop,
1INCH-USD,,,base,LONG,2026-03-08,0.088,2026-03-08,0.087,320341.7793,-320.34,-1.1364,0.0,0.0,signal_decay,
1INCH-USD,,,base,SHORT,2026-03-08,0.087,2026-03-09,0.1043,323103.3464,-5589.69,-19.8851,0.0,0.0,disaster_stop,
1INCH-USD,,,base,SHORT,2026-03-09,0.1037,2026-03-09,0.0923,257594.6882,2936.58,10.9932,0.0,0.0,signal_decay,
1INCH-USD,,,base,LONG,2026-03-17,0.1009,2026-03-18,0.0982,272018.9695,-734.45,-2.6759,0.0,0.0,disaster_stop,
1INCH-USD,,,base,SHORT,2026-03-24,0.0909,2026-03-25,0.0944,299924.1058,-1049.73,-3.8504,0.0,0.0,disaster_stop,
