symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
AAVE-USD,,,base,SHORT,2026-01-25,156.86,2026-01-25,155.0795,159.3778,283.77,1.1351,0.0,0.0,signal_decay,
AAVE-USD,,,base,LONG,2026-01-25,155.3902,2026-01-25,154.6601,161.3419,-117.8,-0.4698,0.0,0.0,signal_decay,
AAVE-USD,,,base,LONG,2026-01-25,155.0695,2026-01-25,154.0213,161.4856,-169.27,-0.676,0.0,0.0,signal_decay,
AAVE-USD,,,base,LONG,2026-01-25,153.9473,2026-01-25,155.2589,162.3879,212.99,0.852,0.0,0.0,signal_decay,
AAVE-USD,,,base,SHORT,2026-01-25,155.2589,2026-01-25,154.1777,161.359,174.46,0.6964,0.0,0.0,signal_decay,
AAVE-USD,,,base,LONG,2026-01-25,150.6908,2026-01-25,146.8158,166.54,-645.34,-2.5715,0.0,0.0,disaster_stop,
AAVE-USD,,,base,LONG,2026-01-25,145.9213,2026-01-25,146.706,170.8778,134.09,0.5378,0.0,0.0,signal_decay,
AAVE-USD,,,base,SHORT,2026-01-25,146.706,2026-01-26,147.3842,170.1923,-115.42,-0.4623,0.0,0.0,signal_decay,
AAVE-USD,,,base,SHORT,2026-01-26,150.9774,2026-01-26,149.6186,165.1861,224.45,0.9,0.0,0.0,signal_decay,
AAVE-USD,,,base,SHORT,2026-01-26,152.2449,2026-01-26,151.813,164.1794,70.91,0.2837,0.0,0.0,signal_decay,
AAVE-USD,,,base,SHORT,2026-01-26,152.0752,2026-01-26,152.2539,164.4792,-29.39,-0.1175,0.0,0.0,signal_decay,
AAVE-USD,,,base,SHORT,2026-01-26,154.0213,2026-01-27,153.316,162.3533,114.51,0.4579,0.0,0.0,signal_decay,
AAVE-USD,,,base,SHORT,2026-01-27,153.9814,2026-01-27,153.9172,162.5813,10.44,0.0417,0.0,0.0,signal_decay,
