symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
ADA-USD,,,base,LONG,2026-01-25,0.3554,2026-01-25,0.3551,70343.2752,-21.1,-0.0844,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-25,0.3526,2026-01-25,0.3497,70886.9094,205.57,0.8225,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-25,0.3432,2026-01-25,0.3399,72978.1972,240.83,0.9615,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-26,0.3473,2026-01-26,0.345,72290.021,-166.27,-0.6623,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-26,0.3488,2026-01-26,0.3478,71859.9699,71.86,0.2867,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-26,0.3505,2026-01-26,0.3467,71562.689,271.94,1.0842,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-26,0.354,2026-01-26,0.353,71047.1951,71.05,0.2825,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-27,0.3496,2026-01-27,0.3507,71992.1878,79.19,0.3146,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-27,0.3581,2026-01-27,0.3617,70338.6392,-253.22,-1.0053,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-28,0.3601,2026-01-28,0.362,69772.1798,-132.57,-0.5276,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-28,0.3626,2026-01-28,0.3601,69199.7246,173.0,0.6895,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-28,0.3568,2026-01-28,0.3582,70445.8239,-98.62,-0.3924,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-29,0.3512,2026-01-29,0.35,71498.9007,-85.8,-0.3417,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-29,0.3338,2026-01-29,0.335,75161.6665,-90.19,-0.3595,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-29,0.3325,2026-01-29,0.3321,75387.7166,30.16,0.1203,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-30,0.3221,2026-01-30,0.3262,77845.2485,319.17,1.2729,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-30,0.3224,2026-01-30,0.3225,78020.3037,7.8,0.031,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-30,0.3225,2026-01-30,0.3272,78002.1595,-366.61,-1.4574,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-30,0.322,2026-01-30,0.3262,77838.6456,326.92,1.3043,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-30,0.3255,2026-01-30,0.3176,77252.7633,-610.3,-2.427,0.0,0.0,disaster_stop,
ADA-USD,,,base,LONG,2026-01-30,0.331,2026-01-30,0.329,75508.1579,-151.02,-0.6042,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-30,0.3269,2026-01-30,0.325,76339.6947,145.05,0.5812,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-31,0.3165,2026-01-31,0.3132,78962.741,260.58,1.0427,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-31,0.3136,2026-01-31,0.3109,79900.6754,-215.73,-0.861,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-31,0.3097,2026-01-31,0.3103,80732.7053,48.44,0.1937,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-31,0.3103,2026-01-31,0.3092,80615.626,88.68,0.3545,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-31,0.2974,2026-01-31,0.2976,84186.947,16.84,0.0672,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-31,0.283,2026-01-31,0.2815,88485.5385,132.73,0.53,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-31,0.2864,2026-01-31,0.2848,87550.9409,-140.08,-0.5587,0.0,0.0,signal_decay,
ADA-USD,,,base,LONG,2026-01-31,0.287,2026-01-31,0.2857,87245.8853,-113.42,-0.453,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-01-31,0.2888,2026-01-31,0.2961,86603.9272,-632.21,-2.5277,0.0,0.0,disaster_stop,
ADA-USD,,,base,LONG,2026-02-01,0.2944,2026-02-01,0.294,84419.7079,-33.77,-0.1359,0.0,0.0,signal_decay,
ADA-USD,,,base,SHORT,2026-02-01,0.2955,2026-02-01,0.2965,84076.8868,-84.08,-0.3384,0.0,0.0,signal_decay,
