symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
ALGO-USD,,,base,SHORT,2026-01-25,0.1185,2026-01-25,0.1176,210970.4641,189.87,0.7595,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-25,0.1183,2026-01-25,0.1159,211728.3885,508.15,2.0287,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-25,0.1168,2026-01-25,0.1168,215535.1489,0.0,0.0,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-25,0.1166,2026-01-25,0.1159,215904.8489,-151.13,-0.6003,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-25,0.1133,2026-01-25,0.1139,221859.8591,-133.12,-0.5296,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-25,0.1152,2026-01-25,0.1142,217911.8321,217.91,0.8681,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-26,0.1154,2026-01-26,0.1166,218006.248,261.61,1.0399,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-26,0.1175,2026-01-26,0.1203,214666.5778,-601.07,-2.383,0.0,0.0,disaster_stop,
ALGO-USD,,,base,LONG,2026-01-26,0.1185,2026-01-26,0.1222,211586.9729,782.87,3.1224,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-26,0.1252,2026-01-26,0.1225,201827.2703,544.93,2.1565,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-27,0.1217,2026-01-27,0.1217,208751.0899,0.0,0.0,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-27,0.1202,2026-01-27,0.1195,211356.1368,-147.95,-0.5824,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-27,0.1188,2026-01-27,0.1202,213535.5246,298.95,1.1785,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-27,0.1222,2026-01-27,0.1192,208205.8736,624.62,2.455,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-27,0.1192,2026-01-27,0.121,214755.9745,386.56,1.5101,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-27,0.1218,2026-01-28,0.1208,210965.126,210.97,0.821,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-28,0.12,2026-01-28,0.1222,214569.1136,472.05,1.8333,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-28,0.1205,2026-01-28,0.1206,214658.1464,21.47,0.083,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-28,0.1212,2026-01-28,0.1264,213462.6493,-1110.01,-4.2904,0.0,0.0,disaster_stop,
ALGO-USD,,,base,SHORT,2026-01-29,0.1257,2026-01-29,0.1229,203613.1396,570.12,2.2275,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-29,0.1231,2026-01-29,0.1224,209071.4935,146.35,0.5686,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-29,0.1213,2026-01-29,0.1193,212475.5842,-424.95,-1.6488,0.0,0.0,max_hold,
ALGO-USD,,,base,LONG,2026-01-29,0.119,2026-01-29,0.116,215689.5006,-647.07,-2.521,0.0,0.0,disaster_stop,
ALGO-USD,,,base,SHORT,2026-01-29,0.1151,2026-01-29,0.1165,221592.3844,-310.23,-1.2163,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-29,0.1169,2026-01-29,0.1154,217516.9043,326.28,1.2831,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-30,0.1146,2026-01-30,0.1132,222594.1968,311.63,1.2216,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-30,0.1121,2026-01-30,0.1128,228253.3713,159.78,0.6244,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-30,0.1128,2026-01-30,0.1111,227191.0218,386.22,1.5071,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-30,0.1111,2026-01-30,0.1112,231536.4846,23.15,0.09,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-30,0.1112,2026-01-30,0.1118,231380.3224,138.83,0.5396,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-30,0.1111,2026-01-30,0.1127,231900.9802,371.04,1.4401,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-31,0.1127,2026-01-31,0.1123,229431.7595,91.77,0.3549,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-01-31,0.1088,2026-01-31,0.1059,237866.7506,-689.81,-2.6654,0.0,0.0,disaster_stop,
ALGO-USD,,,base,LONG,2026-01-31,0.1058,2026-01-31,0.1027,242981.5603,-753.24,-2.9301,0.0,0.0,disaster_stop,
ALGO-USD,,,base,LONG,2026-01-31,0.1033,2026-01-31,0.1037,247039.0936,98.82,0.3872,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-31,0.1002,2026-01-31,0.1003,254928.5656,-25.49,-0.0998,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-01-31,0.1015,2026-01-31,0.1028,251600.6804,-327.08,-1.2808,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-02-01,0.1032,2026-02-01,0.1047,246663.7485,370.0,1.4535,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-02-01,0.1047,2026-02-01,0.1057,244013.35,-244.01,-0.9551,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-02-01,0.1045,2026-02-01,0.1016,243896.5972,-707.3,-2.7751,0.0,0.0,disaster_stop,
ALGO-USD,,,base,LONG,2026-02-01,0.1019,2026-02-01,0.1012,248384.3903,-173.87,-0.6869,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-02-01,0.1015,2026-02-01,0.1009,248934.9961,149.36,0.5911,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-02-01,0.1016,2026-02-01,0.1009,249057.5035,174.34,0.689,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-02-02,0.1007,2026-02-02,0.1025,251716.2604,453.09,1.7875,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-02-02,0.0991,2026-02-02,0.102,256923.3071,745.08,2.9263,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-02-02,0.1013,2026-02-02,0.1021,253182.3212,202.55,0.7897,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-02-02,0.1012,2026-02-02,0.1012,253932.8617,0.0,0.0,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-02-02,0.1067,2026-02-02,0.1067,240843.5389,0.0,0.0,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-02-02,0.1051,2026-02-03,0.1051,244510.0438,0.0,0.0,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-02-03,0.1049,2026-02-03,0.1033,244976.2212,-391.96,-1.5253,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-02-10,0.0947,2026-02-10,0.0936,270327.5091,297.36,1.1616,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-02-17,0.0954,2026-02-17,0.0939,269123.2199,403.68,1.5723,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-02-24,0.0832,2026-02-24,0.0834,309798.995,61.96,0.2404,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-03-03,0.0861,2026-03-03,0.0863,299544.3244,-59.91,-0.2323,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-03-04,0.0852,2026-03-04,0.086,302532.7361,242.03,0.939,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-03-04,0.086,2026-03-04,0.0861,300422.0426,-30.04,-0.1163,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-03-04,0.0899,2026-03-04,0.0901,287305.7298,-57.46,-0.2225,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-03-04,0.0887,2026-03-05,0.0887,291030.6632,0.0,0.0,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-03-12,0.0875,2026-03-12,0.0853,295021.9409,649.05,2.5143,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-03-19,0.0901,2026-03-19,0.091,288309.455,-259.48,-0.9989,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-03-19,0.0894,2026-03-19,0.0876,289841.3005,-521.71,-2.0134,0.0,0.0,disaster_stop,
ALGO-USD,,,base,LONG,2026-03-19,0.0872,2026-03-19,0.0875,295658.0697,88.7,0.344,0.0,0.0,signal_decay,
ALGO-USD,,,base,LONG,2026-03-20,0.0879,2026-03-20,0.0897,293555.8366,528.4,2.0478,0.0,0.0,signal_decay,
ALGO-USD,,,base,SHORT,2026-03-21,0.0899,2026-03-21,0.0904,288494.5291,-144.25,-0.5562,0.0,0.0,signal_decay,
