symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
APT-USD,crypto,medium,base,SHORT,2024-02-10,0.0012,2024-02-12,0.0013,3750000.0,-375.0,-8.3333,2.9167,-9.1667,disaster_stop,safety
APT-USD,crypto,medium,base,SHORT,2024-02-13,0.0013,2024-02-19,0.0011,3448557.6923,689.71,15.3846,14.0,-4.0,profit_lock_trail,profit_lock
APT-USD,crypto,medium,base,SHORT,2024-02-20,0.0011,2024-02-22,0.001,4103783.6538,410.38,9.0909,13.0,-0.1818,profit_lock_trail,profit_lock
APT-USD,crypto,medium,base,SHORT,2024-02-23,0.001,2024-02-25,0.0011,4532629.0457,-453.26,-10.0,4.3,-8.9,disaster_stop,safety
APT-USD,crypto,medium,base,SHORT,2024-02-26,0.0011,2024-02-27,0.0012,3228193.0767,-322.82,-9.0909,1.3636,-17.5455,disaster_stop,safety
APT-USD,crypto,medium,base,SHORT,2024-02-28,0.0012,2024-02-29,0.0014,3748087.7884,-749.62,-16.6667,1.6667,-19.6667,disaster_stop,safety
APT-USD,crypto,medium,base,SHORT,2024-03-01,0.0014,2024-03-04,0.001,3188551.8257,1275.42,28.5714,28.4286,0.0,profit_lock_trail,profit_lock
APT-USD,crypto,medium,base,SHORT,2024-03-05,0.001,2024-03-08,0.0011,3558200.8264,-355.82,-10.0,2.4,-9.8,disaster_stop,safety
APT-USD,crypto,medium,base,SHORT,2024-03-09,0.0012,2024-03-13,0.0012,3754462.1543,0.0,0.0,13.0,-13.0833,profit_lock_trail,profit_lock
APT-USD,crypto,medium,base,SHORT,2024-03-14,0.0012,2024-03-19,0.0008,3754462.1543,1501.78,33.3333,40.5,0.0,profit_lock_trail,profit_lock
APT-USD,crypto,medium,base,SHORT,2024-03-20,0.0008,2024-03-28,0.0008,4498479.8275,0.0,0.0,4.5,-4.25,profit_lock_trail,profit_lock
APT-USD,crypto,medium,base,SHORT,2024-03-29,0.0008,2024-04-01,0.0009,4498479.8275,-449.85,-12.5,2.25,-20.625,disaster_stop,safety
APT-USD,crypto,medium,base,SHORT,2024-04-02,0.0009,2024-04-15,0.0009,5058546.383,0.0,0.0,4.2222,-5.1111,breakeven_ratchet,breakeven
APT-USD,crypto,medium,base,SHORT,2024-04-16,0.0009,2024-04-26,0.0009,6560615.4017,0.0,0.0,5.8889,-1.5556,profit_lock_trail,profit_lock
APT-USD,crypto,medium,base,SHORT,2024-04-27,0.0008,2024-04-28,0.0009,5690864.6809,-569.09,-12.5,2.375,-6.625,disaster_stop,safety
APT-USD,crypto,medium,base,SHORT,2024-04-29,0.0008,2024-04-30,0.0009,5658853.5671,-565.89,-12.5,0.0,-6.875,disaster_stop,safety
APT-USD,crypto,medium,base,SHORT,2024-05-01,0.0008,2024-05-23,0.0007,2813511.2579,281.35,12.5,17.875,0.0,profit_lock_trail,profit_lock
APT-USD,crypto,medium,base,SHORT,2024-05-24,0.0007,2024-05-30,0.0007,8598626.311,0.0,0.0,3.2857,-5.4286,breakeven_ratchet,breakeven
APT-USD,crypto,medium,base,SHORT,2024-05-31,0.0007,2024-06-01,0.0007,8598626.311,0.0,0.0,0.0,-5.4286,disaster_stop,safety
APT-USD,crypto,medium,base,SHORT,2024-06-02,0.0007,2024-06-03,0.0008,8598626.311,-859.86,-14.2857,0.0,-17.1429,disaster_stop,safety
