symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
AR-USD,,,base,SHORT,2026-01-25,3.512,2026-01-25,3.486,7118.451,185.08,0.7403,0.0,0.0,signal_decay,
AR-USD,,,base,LONG,2026-01-25,3.4569,2026-01-25,3.4551,7245.2978,-13.04,-0.0521,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-01-25,3.3792,2026-01-25,3.2966,7410.9285,612.14,2.4444,0.0,0.0,max_hold,
AR-USD,,,base,SHORT,2026-01-26,3.3712,2026-01-26,3.3236,7473.9099,355.76,1.412,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-01-26,3.3223,2026-01-26,3.3066,7610.6868,119.49,0.4726,0.0,0.0,signal_decay,
AR-USD,,,base,LONG,2026-01-26,3.3096,2026-01-26,3.2814,7648.9173,-215.7,-0.8521,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-01-26,3.296,2026-01-26,3.3036,7664.1177,-58.25,-0.2306,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-01-26,3.3313,2026-01-26,3.3126,7578.5339,141.72,0.5613,0.0,0.0,max_hold,
AR-USD,,,base,SHORT,2026-01-26,3.2794,2026-01-26,3.3527,7709.276,-565.09,-2.2352,0.0,0.0,disaster_stop,
AR-USD,,,base,SHORT,2026-01-27,3.3912,2026-01-27,3.368,7413.4605,171.99,0.6841,0.0,0.0,signal_decay,
AR-USD,,,base,LONG,2026-01-27,3.3627,2026-01-27,3.3223,7489.0788,-302.56,-1.2014,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-01-27,3.3313,2026-01-27,3.3096,7536.9632,163.55,0.6514,0.0,0.0,max_hold,
AR-USD,,,base,SHORT,2026-01-27,3.2714,2026-01-27,3.3497,7687.4652,-601.93,-2.3935,0.0,0.0,disaster_stop,
AR-USD,,,base,SHORT,2026-01-27,3.3273,2026-01-27,3.2986,7513.0861,215.63,0.8626,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-01-27,3.2874,2026-01-27,3.355,7620.6722,-515.16,-2.0563,0.0,0.0,disaster_stop,
AR-USD,,,base,SHORT,2026-01-27,3.3453,2026-01-28,3.3727,7450.2761,-204.14,-0.8191,0.0,0.0,max_hold,
AR-USD,,,base,SHORT,2026-01-28,3.3184,2026-01-28,3.3136,7495.2911,35.98,0.1446,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-01-28,3.2595,2026-01-28,3.2695,7633.4924,-76.33,-0.3068,0.0,0.0,max_hold,
AR-USD,,,base,SHORT,2026-01-28,3.2764,2026-01-28,3.3116,7588.2935,-267.11,-1.0743,0.0,0.0,signal_decay,
AR-USD,,,base,LONG,2026-01-28,3.3026,2026-01-29,3.2525,7507.8749,-376.14,-1.517,0.0,0.0,signal_decay,
AR-USD,,,base,LONG,2026-02-05,2.4078,2026-02-05,2.4002,10258.9383,-77.97,-0.3156,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-02-12,1.8323,2026-02-12,1.8727,13470.4904,-544.21,-2.2049,0.0,0.0,disaster_stop,
AR-USD,,,base,SHORT,2026-02-19,1.9531,2026-02-19,1.9138,12567.6758,493.91,2.0122,0.0,0.0,signal_decay,
AR-USD,,,base,LONG,2026-02-26,1.7184,2026-02-26,1.6846,14356.0318,-485.23,-1.9669,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-03-05,1.6936,2026-03-05,1.7084,14494.6248,-214.52,-0.8739,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-03-12,1.7804,2026-03-12,1.7785,13757.8446,26.14,0.1067,0.0,0.0,signal_decay,
AR-USD,,,base,LONG,2026-03-19,1.7184,2026-03-19,1.6996,14258.0316,-268.05,-1.094,0.0,0.0,signal_decay,
AR-USD,,,base,SHORT,2026-03-26,1.812,2026-03-26,1.8046,13484.5412,99.79,0.4084,0.0,0.0,signal_decay,
