symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
ARKK,,,base,LONG,2026-01-26,79.83,2026-01-26,80.5768,626.3309,467.74,0.9355,0.0,0.0,signal_decay,
ARKK,,,base,LONG,2026-01-26,80.58,2026-01-27,80.3519,543.6401,-124.01,-0.2831,0.0,0.0,signal_decay,
ARKK,,,base,LONG,2026-01-27,80.165,2026-01-28,79.992,625.8575,-108.27,-0.2158,0.0,0.0,signal_decay,
ARKK,,,base,SHORT,2026-01-28,80.06,2026-01-28,79.3978,384.1584,254.39,0.8271,0.0,0.0,signal_decay,
ARKK,,,base,LONG,2026-01-28,79.24,2026-01-28,79.3722,634.0854,83.83,0.1668,0.0,0.0,signal_decay,
ARKK,,,base,SHORT,2026-01-28,79.475,2026-01-28,79.3678,311.928,33.44,0.1349,0.0,0.0,signal_decay,
ARKK,,,base,LONG,2026-01-28,79.2,2026-01-29,77.6628,630.9569,-969.9,-1.9409,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-01-29,77.515,2026-01-29,76.2833,642.6963,-791.61,-1.589,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-01-29,76.71,2026-01-30,75.9534,644.2811,-487.46,-0.9863,0.0,0.0,max_hold,
ARKK,,,base,LONG,2026-01-30,75.89,2026-01-30,74.6739,648.031,-788.07,-1.6025,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-01-30,74.67,2026-02-02,75.1687,653.3419,325.82,0.6679,0.0,0.0,signal_decay,
ARKK,,,base,LONG,2026-02-02,74.85,2026-02-02,74.8938,466.1176,20.42,0.0585,0.0,0.0,signal_decay,
ARKK,,,base,LONG,2026-02-02,74.99,2026-02-03,73.7042,637.6436,-819.88,-1.7146,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-02-03,74.175,2026-02-03,72.9994,654.5091,-769.44,-1.5849,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-02-03,73.04,2026-02-03,71.8848,659.4126,-761.75,-1.5816,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-02-03,71.84,2026-02-04,70.6653,665.1255,-781.32,-1.6352,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-02-04,70.93,2026-02-04,69.64,668.1511,-861.92,-1.8187,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-02-04,69.49,2026-02-05,68.3961,675.7951,-739.25,-1.5742,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-02-05,67.94,2026-02-05,66.8866,685.7723,-722.39,-1.5505,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-02-05,67.24,2026-02-05,66.1069,687.5398,-779.05,-1.6852,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-02-05,66.05,2026-02-06,70.0855,694.0295,2800.75,6.1098,0.0,0.0,signal_decay,
ARKK,,,base,LONG,2026-02-12,68.485,2026-02-13,69.8355,554.1407,748.37,1.972,0.0,0.0,max_hold,
ARKK,,,base,LONG,2026-02-19,71.99,2026-02-20,72.2897,295.5985,88.59,0.4163,0.0,0.0,signal_decay,
ARKK,,,base,SHORT,2026-02-26,74.4,2026-02-27,72.9455,143.3026,208.43,1.955,0.0,0.0,signal_decay,
ARKK,,,base,LONG,2026-03-05,73.915,2026-03-06,72.2547,427.2826,-709.42,-2.2462,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-03-13,71.53,2026-03-13,70.3454,239.7794,-284.04,-1.6561,0.0,0.0,disaster_stop,
ARKK,,,base,LONG,2026-03-20,70.39,2026-03-20,69.0858,671.5016,-875.77,-1.8528,0.0,0.0,disaster_stop,
