direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2026-02-01,2.0,2026-02-01,1.97,10044.52,220.98,1.1,signal_decay
SHORT,2026-02-01,2.0,2026-02-01,2.0,16273.33,-16.27,-0.05,signal_decay
SHORT,2026-02-01,2.0,2026-02-01,2.0,7729.48,-23.19,-0.15,signal_decay
SHORT,2026-02-01,2.0,2026-02-01,1.99,12528.11,12.53,0.05,signal_decay
SHORT,2026-02-01,1.99,2026-02-01,1.99,7596.79,-15.19,-0.1,signal_decay
LONG,2026-02-01,1.94,2026-02-01,1.95,13903.98,182.14,0.68,signal_decay
SHORT,2026-02-01,1.95,2026-02-01,1.94,10027.97,101.28,0.52,signal_decay
LONG,2026-02-01,1.94,2026-02-01,1.95,8444.88,85.29,0.52,signal_decay
LONG,2026-02-01,1.89,2026-02-02,1.95,26656.3,1626.03,3.23,signal_decay
SHORT,2026-02-02,1.95,2026-02-02,1.91,17455.3,560.32,1.65,signal_decay
SHORT,2026-02-02,1.97,2026-02-02,1.89,26034.95,2215.57,4.31,signal_decay
LONG,2026-02-02,1.89,2026-02-02,1.94,27823.3,1616.53,3.08,signal_decay
SHORT,2026-02-02,1.95,2026-02-02,1.91,19989.18,761.59,1.96,signal_decay
LONG,2026-02-02,1.91,2026-02-02,1.9,14567.25,-27.68,-0.1,signal_decay
LONG,2026-02-02,1.89,2026-02-02,1.94,16022.16,929.29,3.08,signal_decay
SHORT,2026-02-02,1.94,2026-02-02,1.92,10785.01,303.06,1.45,signal_decay
LONG,2026-02-02,1.91,2026-02-02,1.95,9756.07,313.17,1.68,signal_decay
SHORT,2026-02-02,1.95,2026-02-02,1.93,9353.64,206.72,1.13,signal_decay
SHORT,2026-02-02,1.93,2026-02-02,1.91,8931.99,250.99,1.45,signal_decay
LONG,2026-02-02,1.9,2026-02-02,1.93,23205.16,582.45,1.32,signal_decay
LONG,2026-02-02,1.92,2026-02-02,1.96,15741.91,676.9,2.25,signal_decay
SHORT,2026-02-02,1.98,2026-02-02,1.98,12225.56,-24.45,-0.1,signal_decay
SHORT,2026-02-02,1.98,2026-02-02,1.97,8813.88,132.21,0.76,signal_decay
LONG,2026-02-02,1.97,2026-02-02,2.0,16203.11,437.48,1.37,signal_decay
SHORT,2026-02-02,2.0,2026-02-02,1.98,27763.06,583.02,1.05,signal_decay
LONG,2026-02-02,1.97,2026-02-02,2.0,19612.53,666.83,1.73,signal_decay
SHORT,2026-02-02,2.01,2026-02-02,1.96,28005.38,1288.25,2.29,signal_decay
