symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
ATOM-USD,,,base,LONG,2026-01-25,2.3043,2026-01-25,2.2977,10849.2818,-71.61,-0.2864,0.0,0.0,signal_decay,
ATOM-USD,,,base,SHORT,2026-01-25,2.2977,2026-01-25,2.3614,10872.6547,-692.59,-2.7723,0.0,0.0,disaster_stop,
ATOM-USD,,,base,SHORT,2026-01-25,2.3566,2026-01-25,2.3023,10527.4343,571.64,2.3042,0.0,0.0,signal_decay,
ATOM-USD,,,base,LONG,2026-01-25,2.3023,2026-01-25,2.3087,10837.7977,69.36,0.278,0.0,0.0,signal_decay,
ATOM-USD,,,base,SHORT,2026-01-25,2.3087,2026-01-25,2.2683,10815.2649,436.94,1.7499,0.0,0.0,signal_decay,
ATOM-USD,,,base,LONG,2026-01-25,2.2683,2026-01-25,2.3047,11056.0491,402.44,1.6047,0.0,0.0,signal_decay,
ATOM-USD,,,base,LONG,2026-01-25,2.2623,2026-01-25,2.2737,11129.8441,126.88,0.5039,0.0,0.0,signal_decay,
ATOM-USD,,,base,LONG,2026-01-25,2.2182,2026-01-25,2.1988,11365.4163,-220.49,-0.8746,0.0,0.0,signal_decay,
ATOM-USD,,,base,SHORT,2026-01-25,2.2857,2026-01-25,2.2092,11005.6631,841.93,3.3469,0.0,0.0,signal_decay,
ATOM-USD,,,base,LONG,2026-01-25,2.1972,2026-01-26,2.2008,11544.7512,41.56,0.1638,0.0,0.0,signal_decay,
ATOM-USD,,,base,SHORT,2026-01-26,2.2787,2026-01-26,2.1952,11136.4013,929.89,3.6644,0.0,0.0,signal_decay,
ATOM-USD,,,base,LONG,2026-01-26,2.1952,2026-01-26,2.2677,11665.9029,845.78,3.3027,0.0,0.0,signal_decay,
ATOM-USD,,,base,SHORT,2026-01-26,2.2677,2026-01-26,2.2052,11386.1774,711.64,2.7561,0.0,0.0,signal_decay,
ATOM-USD,,,base,LONG,2026-01-26,2.2052,2026-01-26,2.2877,11789.5626,972.64,3.7412,0.0,0.0,signal_decay,
ATOM-USD,,,base,SHORT,2026-01-26,2.2887,2026-01-26,2.2472,11465.6806,475.83,1.8133,0.0,0.0,signal_decay,
ATOM-USD,,,base,LONG,2026-01-26,2.2472,2026-01-26,2.1888,11730.3576,-685.05,-2.5988,0.0,0.0,disaster_stop,
ATOM-USD,,,base,LONG,2026-01-26,2.1932,2026-01-26,2.2767,11941.089,997.08,3.8072,0.0,0.0,signal_decay,
ATOM-USD,,,base,SHORT,2026-01-26,2.2547,2026-01-27,2.1932,11725.9355,721.15,2.7276,0.0,0.0,signal_decay,
