direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2025-01-01,37.62,2025-03-02,24.94,749.89,9506.4,33.7,profit_lock_trail
SHORT,2025-03-03,20.89,2025-03-12,18.9,1032.09,2059.47,9.55,profit_lock_trail
SHORT,2025-03-15,19.38,2025-05-09,23.3,958.73,-3762.15,-20.25,disaster_stop
SHORT,2025-05-30,20.51,2025-06-29,18.78,1576.5,2735.86,8.46,profit_lock_trail
SHORT,2025-06-30,17.94,2025-07-13,21.24,1848.6,-6103.16,-18.4,disaster_stop
SHORT,2025-08-19,22.29,2025-09-10,29.49,1154.59,-8312.69,-32.3,disaster_stop
SHORT,2025-10-07,27.9,2025-10-13,23.89,1033.71,4145.3,14.37,profit_lock_trail
SHORT,2025-10-14,22.72,2026-01-02,13.83,1087.15,9672.7,39.15,profit_lock_trail
SHORT,2026-01-20,12.06,2026-02-06,9.29,1517.87,4199.95,22.94,profit_lock_trail
SHORT,2026-02-12,8.87,2026-03-15,9.77,2142.5,-1917.32,-10.09,end_of_backtest
