symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
AXS-USD,,,base,LONG,2026-01-25,2.529,2026-01-25,2.4651,9885.3302,-631.67,-2.5267,0.0,0.0,disaster_stop,
AXS-USD,,,base,LONG,2026-01-25,2.4479,2026-01-25,2.3593,10148.3238,-899.14,-3.6194,0.0,0.0,disaster_stop,
AXS-USD,,,base,LONG,2026-01-25,2.3687,2026-01-25,2.6018,10392.7456,2422.55,9.8408,0.0,0.0,signal_decay,
AXS-USD,,,base,SHORT,2026-01-25,2.6018,2026-01-25,2.3868,9694.4168,2084.3,8.2635,0.0,0.0,signal_decay,
AXS-USD,,,base,LONG,2026-01-25,2.3868,2026-01-25,2.5229,10785.9932,1467.97,5.7022,0.0,0.0,signal_decay,
AXS-USD,,,base,SHORT,2026-01-25,2.5229,2026-01-25,2.3206,10349.5985,2093.72,8.0186,0.0,0.0,signal_decay,
AXS-USD,,,base,LONG,2026-01-25,2.3206,2026-01-25,2.7495,11477.3908,4922.65,18.4823,0.0,0.0,signal_decay,
AXS-USD,,,base,LONG,2026-01-25,2.2926,2026-01-25,2.2335,12154.3646,-718.32,-2.5779,0.0,0.0,disaster_stop,
AXS-USD,,,base,LONG,2026-01-25,2.2425,2026-01-25,2.2096,12345.8263,-406.18,-1.4671,0.0,0.0,signal_decay,
AXS-USD,,,base,LONG,2026-01-25,2.19,2026-01-25,2.1367,12595.4206,-671.34,-2.4338,0.0,0.0,disaster_stop,
AXS-USD,,,base,LONG,2026-01-25,2.0731,2026-01-25,2.1217,13224.7056,642.72,2.3443,0.0,0.0,signal_decay,
AXS-USD,,,base,SHORT,2026-01-25,2.1217,2026-01-25,2.023,12997.5101,1282.85,4.6519,0.0,0.0,signal_decay,
AXS-USD,,,base,SHORT,2026-01-25,2.019,2026-01-26,1.9619,13817.4992,788.98,2.8281,0.0,0.0,signal_decay,
AXS-USD,,,base,LONG,2026-01-26,1.9188,2026-01-26,1.9321,14641.8468,194.74,0.6931,0.0,0.0,signal_decay,
AXS-USD,,,base,SHORT,2026-01-26,1.9511,2026-01-26,2.0371,14424.4066,-1240.5,-4.4078,0.0,0.0,disaster_stop,
AXS-USD,,,base,SHORT,2026-01-26,2.033,2026-01-26,2.1242,13690.7698,-1248.6,-4.486,0.0,0.0,disaster_stop,
AXS-USD,,,base,SHORT,2026-01-26,2.2036,2026-01-26,2.2615,12489.1929,-723.12,-2.6275,0.0,0.0,disaster_stop,
AXS-USD,,,base,SHORT,2026-01-26,2.2525,2026-01-26,2.3116,12137.8044,-717.34,-2.6238,0.0,0.0,disaster_stop,
AXS-USD,,,base,SHORT,2026-01-26,2.3024,2026-01-26,2.3627,11796.8504,-711.35,-2.619,0.0,0.0,disaster_stop,
AXS-USD,,,base,SHORT,2026-01-26,2.3533,2026-01-26,2.4148,11466.1245,-705.17,-2.6134,0.0,0.0,disaster_stop,
AXS-USD,,,base,SHORT,2026-01-26,2.4052,2026-01-26,2.4649,11145.4096,-665.38,-2.4821,0.0,0.0,disaster_stop,
AXS-USD,,,base,LONG,2026-02-02,1.6443,2026-02-02,1.6367,16201.7843,-123.13,-0.4622,0.0,0.0,signal_decay,
AXS-USD,,,base,LONG,2026-02-09,0.8517,2026-02-09,1.4681,31243.1731,19258.29,72.3729,0.0,0.0,signal_decay,
AXS-USD,,,base,SHORT,2026-02-17,1.3283,2026-02-18,1.3928,23657.595,-1525.91,-4.8558,0.0,0.0,disaster_stop,
AXS-USD,,,base,SHORT,2026-02-24,1.1876,2026-02-24,1.1924,26139.1923,-125.47,-0.4042,0.0,0.0,signal_decay,
AXS-USD,,,base,LONG,2026-03-04,1.1924,2026-03-04,1.1876,26007.6633,-124.84,-0.4025,0.0,0.0,signal_decay,
AXS-USD,,,base,SHORT,2026-03-13,0.999,2026-03-13,1.014,31011.3399,-465.17,-1.5015,0.0,0.0,signal_decay,
AXS-USD,,,base,SHORT,2026-03-20,1.3433,2026-03-20,1.3747,22976.2793,-721.46,-2.3375,0.0,0.0,disaster_stop,
