symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
BAT-USD,,,base,LONG,2026-01-25,0.1801,2026-01-25,0.1825,138811.7712,333.15,1.3326,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-01-25,0.1779,2026-01-25,0.1737,140996.5546,-592.19,-2.3609,0.0,0.0,disaster_stop,
BAT-USD,,,base,LONG,2026-01-25,0.1747,2026-01-25,0.1741,142731.7726,-85.64,-0.3434,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-01-25,0.1679,2026-01-25,0.1667,148384.937,-178.06,-0.7147,0.0,0.0,signal_decay,
BAT-USD,,,base,SHORT,2026-01-25,0.1667,2026-01-26,0.1676,149186.0554,-134.27,-0.5399,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-01-26,0.174,2026-01-26,0.1783,142734.1872,613.76,2.4713,0.0,0.0,signal_decay,
BAT-USD,,,base,SHORT,2026-01-26,0.1783,2026-01-26,0.1754,140152.4836,406.44,1.6265,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-01-26,0.1754,2026-01-27,0.1763,143049.0215,128.74,0.5131,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-01-27,0.1752,2026-01-27,0.1691,143396.0297,-874.72,-3.4817,0.0,0.0,disaster_stop,
BAT-USD,,,base,LONG,2026-01-27,0.1701,2026-01-27,0.1716,146409.791,219.61,0.8818,0.0,0.0,signal_decay,
BAT-USD,,,base,SHORT,2026-01-27,0.1735,2026-01-27,0.1734,143857.1131,14.39,0.0576,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-01-28,0.1748,2026-01-28,0.1717,142807.8121,-442.7,-1.7735,0.0,0.0,max_hold,
BAT-USD,,,base,LONG,2026-01-28,0.1727,2026-01-28,0.174,143903.4714,187.07,0.7528,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-01-28,0.1745,2026-01-28,0.1722,142687.0953,-328.18,-1.3181,0.0,0.0,signal_decay,
BAT-USD,,,base,SHORT,2026-01-28,0.1722,2026-01-28,0.1727,144116.4521,-72.06,-0.2904,0.0,0.0,signal_decay,
BAT-USD,,,base,SHORT,2026-01-28,0.1712,2026-01-28,0.1732,144853.0286,-289.71,-1.1682,0.0,0.0,signal_decay,
BAT-USD,,,base,SHORT,2026-01-28,0.1727,2026-01-29,0.1726,143175.5181,14.32,0.0579,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-01-29,0.1721,2026-01-29,0.168,143695.4757,-589.15,-2.3823,0.0,0.0,disaster_stop,
BAT-USD,,,base,LONG,2026-01-29,0.169,2026-01-29,0.1649,145459.7841,-596.39,-2.426,0.0,0.0,disaster_stop,
BAT-USD,,,base,LONG,2026-01-29,0.1659,2026-01-29,0.1617,147279.1273,-618.57,-2.5316,0.0,0.0,disaster_stop,
BAT-USD,,,base,LONG,2026-01-29,0.1627,2026-01-29,0.1623,149225.3481,-59.69,-0.2459,0.0,0.0,max_hold,
BAT-USD,,,base,LONG,2026-02-05,0.1203,2026-02-05,0.1159,201696.1065,-887.46,-3.6575,0.0,0.0,disaster_stop,
BAT-USD,,,base,LONG,2026-02-12,0.1349,2026-02-12,0.133,178222.2082,-338.62,-1.4085,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-02-19,0.1244,2026-02-20,0.1236,192584.5687,-154.07,-0.6431,0.0,0.0,signal_decay,
BAT-USD,,,base,SHORT,2026-02-26,0.113,2026-02-27,0.1143,211672.5967,-275.17,-1.1504,0.0,0.0,signal_decay,
BAT-USD,,,base,SHORT,2026-03-06,0.1034,2026-03-06,0.1039,230659.6696,-115.33,-0.4836,0.0,0.0,signal_decay,
BAT-USD,,,base,LONG,2026-03-13,0.0996,2026-03-13,0.0973,239170.4556,-550.09,-2.3092,0.0,0.0,disaster_stop,
BAT-USD,,,base,SHORT,2026-03-20,0.0993,2026-03-20,0.0991,238508.1003,47.7,0.2014,0.0,0.0,signal_decay,
