symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
BCH-USD,,,base,SHORT,2026-01-25,592.8035,2026-01-25,591.7957,42.1725,42.5,0.17,0.0,0.0,signal_decay,
BCH-USD,,,base,SHORT,2026-01-25,595.1023,2026-01-25,588.7,42.0274,269.07,1.0758,0.0,0.0,signal_decay,
BCH-USD,,,base,LONG,2026-01-25,588.9944,2026-01-25,590.5046,42.5775,64.3,0.2564,0.0,0.0,signal_decay,
BCH-USD,,,base,LONG,2026-01-25,585.1924,2026-01-25,584.4077,42.8816,-33.65,-0.1341,0.0,0.0,signal_decay,
BCH-USD,,,base,SHORT,2026-01-25,584.4077,2026-01-25,574.6872,42.9248,417.25,1.6633,0.0,0.0,signal_decay,
BCH-USD,,,base,SHORT,2026-01-25,580.1098,2026-01-25,570.285,43.4226,426.62,1.6936,0.0,0.0,signal_decay,
BCH-USD,,,base,SHORT,2026-01-25,569.0154,2026-01-25,567.5836,44.4567,63.65,0.2516,0.0,0.0,signal_decay,
BCH-USD,,,base,SHORT,2026-01-25,570.3147,2026-01-26,571.9859,44.3833,-74.17,-0.293,0.0,0.0,signal_decay,
BCH-USD,,,base,LONG,2026-01-26,574.8873,2026-01-26,577.1,43.998,97.35,0.3849,0.0,0.0,signal_decay,
BCH-USD,,,base,SHORT,2026-01-26,576.8115,2026-01-26,577.3886,43.8934,-25.33,-0.1001,0.0,0.0,signal_decay,
BCH-USD,,,base,SHORT,2026-01-26,578.8105,2026-01-26,576.6882,43.7309,92.81,0.3667,0.0,0.0,signal_decay,
BCH-USD,,,base,LONG,2026-01-26,573.4866,2026-01-26,577.1113,44.1773,160.13,0.632,0.0,0.0,signal_decay,
BCH-USD,,,base,LONG,2026-01-26,577.6887,2026-01-26,578.7105,43.9253,44.88,0.1769,0.0,0.0,signal_decay,
BCH-USD,,,base,LONG,2026-01-26,571.4856,2026-01-26,581.5091,44.4217,445.26,1.7539,0.0,0.0,signal_decay,
BCH-USD,,,base,SHORT,2026-01-26,581.4092,2026-01-26,574.6872,43.8549,294.79,1.1562,0.0,0.0,signal_decay,
BCH-USD,,,base,LONG,2026-01-26,574.6872,2026-01-26,580.7095,44.4962,267.97,1.0479,0.0,0.0,signal_decay,
BCH-USD,,,base,SHORT,2026-01-26,580.7095,2026-01-27,578.9894,44.1501,75.94,0.2962,0.0,0.0,signal_decay,
BCH-USD,,,base,LONG,2026-01-27,580.1899,2026-01-27,585.707,44.2223,243.98,0.9509,0.0,0.0,signal_decay,
BCH-USD,,,base,LONG,2026-01-27,591.5956,2026-01-27,578.6105,43.4728,-564.5,-2.1949,0.0,0.0,disaster_stop,
