symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
BERA-USD,,,base,LONG,2026-01-25,0.7163,2026-01-25,0.6984,34901.5776,-624.74,-2.499,0.0,0.0,disaster_stop,
BERA-USD,,,base,SHORT,2026-01-25,0.7042,2026-01-25,0.7001,35279.488,144.65,0.5822,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-25,0.6974,2026-01-25,0.6901,35675.3325,260.43,1.0467,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-25,0.6844,2026-01-25,0.6818,36448.107,94.77,0.3799,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-25,0.6793,2026-01-25,0.6783,36756.6254,36.76,0.1472,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-25,0.6743,2026-01-25,0.6773,37042.8071,-111.13,-0.4449,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-25,0.6783,2026-01-25,0.6659,36783.4037,456.11,1.8281,0.0,0.0,signal_decay,
BERA-USD,,,base,LONG,2026-01-25,0.66,2026-01-25,0.6577,37976.0777,-87.34,-0.3485,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-25,0.6595,2026-01-26,0.6357,37971.7589,903.73,3.6088,0.0,0.0,signal_decay,
BERA-USD,,,base,LONG,2026-01-26,0.6449,2026-01-26,0.6435,39181.7444,-54.85,-0.2171,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-26,0.6416,2026-01-26,0.6471,39361.8974,-216.49,-0.8572,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-26,0.6375,2026-01-26,0.6516,39530.1502,-557.38,-2.2118,0.0,0.0,disaster_stop,
BERA-USD,,,base,SHORT,2026-01-26,0.6473,2026-01-26,0.6644,38716.402,-662.05,-2.6417,0.0,0.0,disaster_stop,
BERA-USD,,,base,SHORT,2026-01-26,0.6593,2026-01-26,0.6672,37760.677,-298.31,-1.1982,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-26,0.6592,2026-01-26,0.6645,37653.2722,-199.56,-0.804,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-26,0.6597,2026-01-26,0.6748,37549.1079,-566.99,-2.2889,0.0,0.0,disaster_stop,
BERA-USD,,,base,SHORT,2026-01-26,0.6908,2026-01-27,0.6622,35653.4432,1019.69,4.1401,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-27,0.6613,2026-01-27,0.6522,37629.3977,342.43,1.3761,0.0,0.0,max_hold,
BERA-USD,,,base,SHORT,2026-01-27,0.6511,2026-01-27,0.6553,38350.3725,-161.07,-0.6451,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-01-27,0.6524,2026-01-27,0.6534,38212.2313,-38.21,-0.1533,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-02-03,0.4364,2026-02-03,0.4329,57103.819,199.86,0.802,0.0,0.0,max_hold,
BERA-USD,,,base,SHORT,2026-02-10,0.5,2026-02-10,0.5125,49940.1449,-624.25,-2.5,0.0,0.0,disaster_stop,
BERA-USD,,,base,SHORT,2026-02-17,0.6886,2026-02-17,0.6766,36035.448,432.43,1.7427,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-02-24,0.5942,2026-02-24,0.6109,41942.302,-700.44,-2.8105,0.0,0.0,disaster_stop,
BERA-USD,,,base,SHORT,2026-03-03,0.5724,2026-03-03,0.5821,43233.7644,-419.37,-1.6946,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-03-10,0.544,2026-03-10,0.551,45298.0972,-317.09,-1.2868,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-03-17,0.657,2026-03-17,0.6505,37386.4432,243.01,0.9893,0.0,0.0,signal_decay,
BERA-USD,,,base,SHORT,2026-03-24,0.4977,2026-03-24,0.5016,49474.8768,-192.95,-0.7836,0.0,0.0,signal_decay,
