symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
BNB-USD,,,base,SHORT,2026-01-25,880.2896,2026-01-25,880.5801,28.3997,-8.25,-0.033,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-25,868.2239,2026-01-25,868.9653,28.792,21.35,0.0854,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-25,860.43,2026-01-25,860.2497,29.059,-5.24,-0.021,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-26,872.6261,2026-01-26,872.0737,28.6514,-15.83,-0.0633,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-01-26,872.4636,2026-01-26,872.346,28.6522,3.37,0.0135,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-01-26,876.6215,2026-01-26,870.8452,28.5173,164.72,0.6589,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-26,871.4155,2026-01-26,870.4745,28.7349,-27.04,-0.108,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-01-26,873.523,2026-01-26,876.22,28.6578,-77.29,-0.3087,0.0,0.0,max_hold,
BNB-USD,,,base,SHORT,2026-01-26,875.7819,2026-01-26,872.3159,28.5618,99.0,0.3958,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-01-26,874.9723,2026-01-26,876.8782,28.6166,-54.54,-0.2178,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-26,874.2869,2026-01-26,877.9908,28.6234,106.02,0.4236,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-27,879.3294,2026-01-27,878.6105,28.4894,-20.48,-0.0818,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-01-27,886.7164,2026-01-27,883.5816,28.2463,88.55,0.3535,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-01-27,881.589,2026-01-27,893.6866,28.4357,-344.0,-1.3722,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-27,895.3775,2026-01-27,884.7974,27.9017,-295.2,-1.1816,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-01-28,897.9408,2026-01-28,896.9683,27.7399,26.98,0.1083,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-01-28,901.8089,2026-01-28,906.2629,27.6284,-123.06,-0.4939,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-28,906.9532,2026-01-28,910.5745,27.4378,99.36,0.3993,0.0,0.0,max_hold,
BNB-USD,,,base,LONG,2026-01-28,906.473,2026-01-28,907.576,27.4797,30.31,0.1217,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-28,901.7006,2026-01-28,906.9163,27.6335,144.13,0.5784,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-01-29,899.8399,2026-01-29,900.2499,27.7307,-11.37,-0.0456,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-01-29,893.2364,2026-01-29,873.633,27.9325,-547.57,-2.1946,0.0,0.0,disaster_stop,
BNB-USD,,,base,LONG,2026-01-29,871.4255,2026-01-29,865.7469,28.4746,-161.7,-0.6516,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-02-05,661.3105,2026-02-05,654.2427,37.4605,-264.76,-1.0688,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-02-12,602.4911,2026-02-12,607.3662,41.0078,199.92,0.8092,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-02-19,599.5901,2026-02-19,601.1504,41.2896,-64.42,-0.2602,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-02-27,631.674,2026-02-27,629.5746,39.1669,82.23,0.3324,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-03-06,646.6665,2026-03-06,640.32,38.2907,243.01,0.9814,0.0,0.0,signal_decay,
BNB-USD,,,base,SHORT,2026-03-13,662.94,2026-03-13,663.6717,37.4424,-27.4,-0.1104,0.0,0.0,signal_decay,
BNB-USD,,,base,LONG,2026-03-20,637.7987,2026-03-20,639.0203,38.9076,47.53,0.1915,0.0,0.0,signal_decay,
