symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
BTC-USD,crypto,high,base,LONG,2025-01-02,96983.7619,2025-01-07,96825.7804,0.1237,-19.55,-0.1629,5.9069,-0.9787,breakeven_ratchet,breakeven
BTC-USD,crypto,high,base,LONG,2025-01-15,100604.9967,2025-01-22,103549.4172,0.1193,351.14,2.9267,8.4587,-3.2211,profit_lock_trail,profit_lock
BTC-USD,crypto,high,base,LONG,2025-01-23,104064.132,2025-02-18,95444.0073,0.1157,-997.31,-8.2835,2.9159,-12.3205,disaster_stop,safety
BTC-USD,crypto,high,base,LONG,2025-04-12,85372.3965,2025-05-04,94221.6606,0.1396,1235.58,10.3655,14.681,-2.7472,profit_lock_trail,profit_lock
BTC-USD,crypto,high,base,LONG,2025-05-10,104801.0245,2025-05-23,107180.5091,0.1152,274.01,2.2705,6.8407,-3.804,profit_lock_trail,profit_lock
BTC-USD,crypto,high,base,LONG,2025-05-24,107898.9474,2025-06-12,105823.1256,0.1122,-232.81,-1.9239,2.637,-6.9158,breakeven_ratchet,breakeven
BTC-USD,crypto,high,base,LONG,2025-06-13,106197.0597,2025-07-01,105592.583,0.1137,-68.72,-0.5692,2.5597,-7.4492,breakeven_ratchet,breakeven
BTC-USD,crypto,high,base,LONG,2025-07-02,108968.1796,2025-07-20,117183.4883,0.1107,909.61,7.5392,12.9611,-1.5342,profit_lock_trail,profit_lock
BTC-USD,crypto,high,base,LONG,2025-07-21,117556.9786,2025-07-31,115642.4449,0.1036,-198.27,-1.6286,2.3078,-2.3794,breakeven_ratchet,breakeven
BTC-USD,crypto,high,base,LONG,2025-08-01,113433.406,2025-08-14,118241.2185,0.1071,514.99,4.2384,9.7182,-1.3132,profit_lock_trail,profit_lock
BTC-USD,crypto,high,base,LONG,2025-08-15,117515.7499,2025-09-14,115292.2486,0.1039,-231.07,-1.8921,0.919,-8.7176,max_underwater_30d,time
BTC-USD,crypto,high,base,LONG,2025-09-15,115560.3199,2025-10-07,121329.9314,0.1054,608.34,4.9927,9.2054,-5.925,profit_lock_trail,profit_lock
BTC-USD,crypto,high,base,LONG,2025-10-08,123478.2221,2025-10-10,113101.1528,0.0993,-1030.12,-8.404,0.2115,-15.3029,disaster_stop,safety
BTC-USD,crypto,high,base,LONG,2025-10-12,115284.9354,2025-11-04,101488.9329,0.1053,-1452.05,-11.9669,0.8573,-14.1587,disaster_stop,safety
BTC-USD,crypto,high,base,LONG,2026-01-02,90034.64,2026-01-07,91216.7466,0.1328,157.02,1.3129,5.2507,-0.7848,profit_lock_trail,profit_lock
BTC-USD,crypto,high,base,LONG,2026-01-08,91118.1521,2026-01-18,93540.7953,0.1315,318.48,2.6588,7.3997,-1.6383,profit_lock_trail,profit_lock
BTC-USD,crypto,high,base,LONG,2026-01-19,92646.1473,2026-01-29,84477.0244,0.1297,-1059.58,-8.8176,0.1644,-10.1413,disaster_stop,safety
BTC-USD,crypto,high,base,LONG,2026-03-15,72862.704,2026-03-17,74661.8415,0.1632,293.58,2.4692,4.1977,-0.7714,end_of_backtest,time
