symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
CHZ-USD,,,base,LONG,2026-01-25,0.0535,2026-01-25,0.0536,467289.7196,28.04,0.1121,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-01-25,0.0534,2026-01-25,0.0513,468296.0552,983.42,3.9326,0.0,0.0,signal_decay,
CHZ-USD,,,base,LONG,2026-01-25,0.0512,2026-01-25,0.0495,493316.366,-833.7,-3.3014,0.0,0.0,disaster_stop,
CHZ-USD,,,base,LONG,2026-01-25,0.0498,2026-01-25,0.0502,502900.3737,186.07,0.743,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-01-26,0.0514,2026-01-26,0.0533,488150.9123,-927.49,-3.6965,0.0,0.0,disaster_stop,
CHZ-USD,,,base,SHORT,2026-01-26,0.053,2026-01-26,0.0549,469039.3436,-891.17,-3.5849,0.0,0.0,disaster_stop,
CHZ-USD,,,base,SHORT,2026-01-26,0.0546,2026-01-27,0.0556,451214.1305,-451.21,-1.8315,0.0,0.0,signal_decay,
CHZ-USD,,,base,LONG,2026-01-27,0.0556,2026-01-27,0.0543,441069.9279,-573.39,-2.3381,0.0,0.0,disaster_stop,
CHZ-USD,,,base,SHORT,2026-01-27,0.0543,2026-01-27,0.058,448989.6918,-1661.26,-6.814,0.0,0.0,disaster_stop,
CHZ-USD,,,base,LONG,2026-01-27,0.0545,2026-01-27,0.0579,439721.5559,1495.05,6.2385,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-01-27,0.058,2026-01-28,0.0562,419630.8297,755.34,3.1034,0.0,0.0,signal_decay,
CHZ-USD,,,base,LONG,2026-01-28,0.0562,2026-01-28,0.0559,436430.9964,-130.93,-0.5338,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-01-28,0.0559,2026-01-28,0.0562,438187.6506,-131.46,-0.5367,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-01-28,0.0558,2026-01-28,0.057,438383.9713,-526.06,-2.1505,0.0,0.0,signal_decay,
CHZ-USD,,,base,LONG,2026-01-28,0.0568,2026-01-28,0.0576,428501.4161,351.37,1.4442,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-01-28,0.0576,2026-01-29,0.0545,423926.2708,1314.17,5.3819,0.0,0.0,signal_decay,
CHZ-USD,,,base,LONG,2026-01-29,0.0537,2026-01-29,0.0531,460832.3288,-276.5,-1.1173,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-01-29,0.0531,2026-01-29,0.0513,464737.6875,836.53,3.3898,0.0,0.0,signal_decay,
CHZ-USD,,,base,LONG,2026-01-29,0.051,2026-01-29,0.0495,487974.5719,-731.96,-2.9412,0.0,0.0,disaster_stop,
CHZ-USD,,,base,LONG,2026-01-29,0.0486,2026-01-29,0.0488,508306.8457,101.66,0.4115,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-02-05,0.0432,2026-02-05,0.0406,572433.5195,1488.33,6.0185,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-02-12,0.0405,2026-02-12,0.0393,619782.9588,743.74,2.963,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-02-19,0.0381,2026-02-20,0.0393,663704.5858,-796.45,-3.1496,0.0,0.0,disaster_stop,
CHZ-USD,,,base,LONG,2026-02-27,0.0321,2026-02-27,0.032,781558.6711,-78.16,-0.3115,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-03-06,0.0369,2026-03-06,0.0347,679362.9912,1528.57,6.0976,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-03-13,0.0393,2026-03-14,0.0381,647598.8819,777.12,3.0534,0.0,0.0,signal_decay,
CHZ-USD,,,base,LONG,2026-03-20,0.035,2026-03-21,0.0371,732711.8778,1524.04,5.9429,0.0,0.0,signal_decay,
CHZ-USD,,,base,LONG,2026-03-21,0.0369,2026-03-21,0.0347,705309.645,-1551.68,-5.9621,0.0,0.0,disaster_stop,
CHZ-USD,,,base,LONG,2026-03-22,0.0349,2026-03-22,0.0354,734613.3408,367.31,1.4327,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-03-22,0.0354,2026-03-22,0.037,726831.4198,-1162.93,-4.5198,0.0,0.0,disaster_stop,
CHZ-USD,,,base,LONG,2026-03-23,0.034,2026-03-23,0.0368,748208.8145,2094.98,8.2353,0.0,0.0,signal_decay,
CHZ-USD,,,base,LONG,2026-03-23,0.037,2026-03-25,0.037,701698.5369,0.0,0.0,0.0,0.0,signal_decay,
CHZ-USD,,,base,SHORT,2026-03-25,0.037,2026-03-25,0.0371,701698.5369,-70.17,-0.2703,0.0,0.0,end_of_backtest,
