symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
CIBR,,,base,LONG,2026-01-26,71.55,2026-01-27,72.5646,187.6403,190.38,1.418,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-01-27,72.22,2026-01-28,72.1075,164.6746,-18.53,-0.1558,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-01-28,72.12,2026-01-29,70.5253,158.7353,-253.14,-2.2112,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-01-29,70.432,2026-01-29,69.3153,259.6455,-289.95,-1.5855,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-01-29,69.21,2026-01-30,69.31,308.4551,30.85,0.1445,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-01-30,69.27,2026-02-02,69.55,225.3415,63.1,0.4042,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-02-02,69.4941,2026-02-03,68.1162,191.0102,-263.19,-1.9828,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-02-03,67.8593,2026-02-03,66.7966,231.3997,-245.91,-1.566,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-02-03,66.8112,2026-02-04,65.697,229.5551,-255.77,-1.6677,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-02-04,65.525,2026-02-05,66.4859,609.9916,586.14,1.4665,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-02-05,66.28,2026-02-05,65.1972,373.9274,-404.89,-1.6337,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-02-06,66.435,2026-02-09,67.2065,471.087,363.44,1.1613,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-02-09,67.385,2026-02-10,68.8659,158.0605,234.07,2.1977,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-02-10,69.09,2026-02-11,67.9687,172.5853,-193.52,-1.623,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-02-11,67.78,2026-02-12,66.7066,247.9434,-266.14,-1.5837,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-02-12,66.84,2026-02-12,65.717,196.4361,-220.6,-1.6801,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-02-12,65.7832,2026-02-12,64.7173,471.4538,-502.52,-1.6203,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-02-12,64.71,2026-02-13,66.8216,292.9254,618.54,3.2632,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-02-13,66.98,2026-02-17,65.828,308.8409,-355.79,-1.7199,0.0,0.0,disaster_stop,
CIBR,,,base,LONG,2026-02-17,65.565,2026-02-18,65.1872,313.4677,-118.43,-0.5762,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-02-18,65.48,2026-02-19,65.757,538.1545,149.07,0.423,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-02-25,62.0036,2026-02-26,63.7377,244.1135,423.32,2.7968,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-03-04,64.18,2026-03-05,65.3771,229.5569,274.8,1.8652,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-03-11,65.4,2026-03-12,65.697,409.6485,121.66,0.4541,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-03-18,65.345,2026-03-19,64.8973,301.0095,-134.76,-0.6851,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-03-19,64.96,2026-03-20,64.4424,357.3131,-184.94,-0.7968,0.0,0.0,max_hold,
CIBR,,,base,LONG,2026-03-26,63.769,2026-03-26,63.1079,241.8125,-159.86,-1.0367,0.0,0.0,end_of_backtest,
