symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
CRV-USD,,,base,LONG,2026-01-25,0.356,2026-01-25,0.3546,70224.7191,-98.31,-0.3933,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-01-25,0.356,2026-01-25,0.3432,70155.6779,-897.99,-3.5955,0.0,0.0,disaster_stop,
CRV-USD,,,base,LONG,2026-01-25,0.3439,2026-01-25,0.3438,71971.28,-7.2,-0.0291,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-01-25,0.3438,2026-01-26,0.3515,71986.9805,-554.3,-2.2397,0.0,0.0,disaster_stop,
CRV-USD,,,base,SHORT,2026-01-26,0.3501,2026-01-26,0.3525,70295.7697,-168.71,-0.6855,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-01-26,0.3525,2026-01-26,0.3533,69697.5078,55.76,0.227,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-01-26,0.3571,2026-01-26,0.3588,68838.7314,-117.03,-0.4761,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-01-27,0.3498,2026-01-27,0.3412,70191.6939,-603.65,-2.4585,0.0,0.0,disaster_stop,
CRV-USD,,,base,LONG,2026-01-27,0.3426,2026-01-27,0.3457,71226.3351,220.8,0.9048,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-01-27,0.3364,2026-01-27,0.3398,72703.1594,247.19,1.0107,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-01-27,0.3398,2026-01-28,0.3517,72157.5647,-858.68,-3.5021,0.0,0.0,disaster_stop,
CRV-USD,,,base,SHORT,2026-01-28,0.3511,2026-01-28,0.3522,69223.7873,-76.15,-0.3133,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-01-28,0.3522,2026-01-28,0.3532,68953.5355,68.95,0.2839,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-01-28,0.3532,2026-01-29,0.3498,68807.1166,233.94,0.9626,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-01-29,0.3518,2026-01-29,0.3438,69247.1848,553.98,2.274,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-01-29,0.3419,2026-01-29,0.3428,71657.3676,64.49,0.2632,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-01-29,0.3346,2026-01-29,0.3231,73268.9089,-842.59,-3.4369,0.0,0.0,disaster_stop,
CRV-USD,,,base,LONG,2026-01-29,0.3243,2026-01-29,0.3151,74946.4348,-689.51,-2.8369,0.0,0.0,disaster_stop,
CRV-USD,,,base,LONG,2026-01-29,0.3163,2026-01-29,0.3304,76297.0344,1075.79,4.4578,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-01-29,0.3278,2026-01-30,0.3131,74440.8146,1094.28,4.4844,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-02-06,0.229,2026-02-06,0.2332,107752.2665,452.56,1.8341,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-02-13,0.2385,2026-02-13,0.238,103934.6286,-51.97,-0.2096,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-02-13,0.2414,2026-02-13,0.245,102632.2166,-369.48,-1.4913,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-02-13,0.2516,2026-02-13,0.2486,98104.3247,294.31,1.1924,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-02-13,0.2486,2026-02-14,0.2576,99584.1767,896.26,3.6203,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-02-14,0.2594,2026-02-14,0.2546,96301.8147,462.25,1.8504,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-02-14,0.2546,2026-02-14,0.2481,98571.2997,-640.71,-2.553,0.0,0.0,disaster_stop,
CRV-USD,,,base,SHORT,2026-02-14,0.2577,2026-02-14,0.2604,96763.968,-261.26,-1.0477,0.0,0.0,signal_decay,
CRV-USD,,,base,SHORT,2026-02-14,0.2594,2026-02-14,0.2684,95878.0218,-862.9,-3.4695,0.0,0.0,disaster_stop,
CRV-USD,,,base,SHORT,2026-02-14,0.2674,2026-02-15,0.2624,92202.8172,461.01,1.8699,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-02-15,0.2624,2026-02-15,0.2536,94398.959,-830.71,-3.3537,0.0,0.0,disaster_stop,
CRV-USD,,,base,LONG,2026-02-15,0.2524,2026-02-15,0.2471,97316.201,-515.78,-2.0998,0.0,0.0,signal_decay,
CRV-USD,,,base,LONG,2026-02-15,0.2473,2026-02-16,0.2516,98801.7192,424.85,1.7388,0.0,0.0,signal_decay,
