symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
CVX-USD,crypto,ultra,base,SHORT,2026-01-25,2.0871,2026-02-01,1.7425,2156.1018,742.99,16.5109,17.8873,-10.4679,strong_signal_override,signal_override
CVX-USD,crypto,ultra,base,LONG,2026-02-02,1.7425,2026-02-05,1.5477,2601.6842,-506.81,-11.1793,16.8537,-11.4727,disaster_stop,safety
CVX-USD,crypto,ultra,base,LONG,2026-02-06,1.7804,2026-02-10,1.8357,2533.4915,140.07,3.1053,12.8089,-3.6378,profit_lock_trail,profit_lock
CVX-USD,crypto,ultra,base,SHORT,2026-02-11,1.9256,2026-02-25,1.922,2345.7267,8.44,0.187,11.6173,-13.349,profit_lock_trail,profit_lock
CVX-USD,crypto,ultra,base,SHORT,2026-02-28,1.7564,2026-03-04,1.9662,2571.9149,-539.59,-11.9449,4.6778,-15.0032,disaster_stop,safety
CVX-USD,crypto,ultra,base,SHORT,2026-03-06,2.0549,2026-03-09,2.3124,2186.4956,-563.02,-12.531,0.0,-15.7528,disaster_stop,safety
CVX-USD,crypto,ultra,base,LONG,2026-03-10,2.2828,2026-03-12,2.0211,1957.1114,-512.18,-11.464,0.0,-12.6254,disaster_stop,safety
CVX-USD,crypto,ultra,base,LONG,2026-03-13,2.0191,2026-03-16,2.1246,1930.9541,203.72,5.2251,7.3367,-2.3619,strong_signal_override,signal_override
CVX-USD,crypto,ultra,base,SHORT,2026-03-17,2.0388,2026-03-20,1.866,2184.5267,377.49,8.4756,17.0756,-0.41,profit_lock_trail,profit_lock
CVX-USD,crypto,ultra,base,LONG,2026-03-21,1.796,2026-03-26,1.6904,2315.7506,-244.54,-5.8797,4.3094,-7.8652,end_of_backtest,time
