symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
CVX-USD,,,base,LONG,2026-01-25,2.2405,2026-01-25,2.268,11158.2236,306.85,1.2274,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-01-25,2.2605,2026-01-25,2.2976,11093.4363,-411.57,-1.6412,0.0,0.0,max_hold,
CVX-USD,,,base,SHORT,2026-01-25,2.2964,2026-01-25,2.2515,10875.2052,488.3,1.9552,0.0,0.0,signal_decay,
CVX-USD,,,base,LONG,2026-01-25,2.1793,2026-01-25,2.1277,11515.5763,-594.2,-2.3677,0.0,0.0,disaster_stop,
CVX-USD,,,base,LONG,2026-01-25,2.1192,2026-01-25,2.0669,11772.0576,-615.68,-2.4679,0.0,0.0,disaster_stop,
CVX-USD,,,base,LONG,2026-01-25,2.0661,2026-01-25,2.053,12000.1088,-157.2,-0.634,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-01-25,2.033,2026-01-25,2.0781,12176.1556,-549.14,-2.2184,0.0,0.0,disaster_stop,
CVX-USD,,,base,LONG,2026-01-26,2.0411,2026-01-26,2.042,12060.5743,10.85,0.0441,0.0,0.0,signal_decay,
CVX-USD,,,base,LONG,2026-01-27,2.0822,2026-01-27,2.0768,11823.8171,-63.85,-0.2593,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-01-27,2.0529,2026-01-27,2.0501,11984.797,33.56,0.1364,0.0,0.0,signal_decay,
CVX-USD,,,base,LONG,2026-01-27,2.0421,2026-01-27,2.0479,12052.2889,69.9,0.284,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-01-27,2.0649,2026-01-27,2.0491,11927.6744,188.46,0.7652,0.0,0.0,signal_decay,
CVX-USD,,,base,LONG,2026-01-28,2.1984,2026-01-28,2.2076,11224.7859,103.27,0.4185,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-01-28,2.1597,2026-01-28,2.1793,11437.8785,-224.18,-0.9075,0.0,0.0,signal_decay,
CVX-USD,,,base,LONG,2026-01-28,2.2856,2026-01-29,2.2615,10783.3132,-259.88,-1.0544,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-01-29,2.1866,2026-01-29,2.2154,11241.8234,-323.76,-1.3171,0.0,0.0,signal_decay,
CVX-USD,,,base,LONG,2026-01-29,2.2184,2026-01-29,2.1766,11044.1895,-461.65,-1.8842,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-01-29,2.1497,2026-01-29,2.1693,11343.4518,-222.33,-0.9118,0.0,0.0,signal_decay,
CVX-USD,,,base,LONG,2026-01-29,2.0471,2026-01-29,2.0699,11884.8299,270.97,1.1138,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-01-29,2.0679,2026-01-29,2.124,11798.0458,-661.87,-2.7129,0.0,0.0,disaster_stop,
CVX-USD,,,base,LONG,2026-01-29,2.0701,2026-01-29,2.0968,11705.5752,312.54,1.2898,0.0,0.0,signal_decay,
CVX-USD,,,base,LONG,2026-02-05,1.65,2026-02-05,1.6237,14733.24,-387.48,-1.5939,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-02-12,1.9112,2026-02-12,1.921,12668.9907,-124.16,-0.5128,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-02-20,1.989,2026-02-20,1.9519,12157.8361,451.06,1.8653,0.0,0.0,max_hold,
CVX-USD,,,base,SHORT,2026-02-27,1.6976,2026-02-27,1.6814,14311.204,231.84,0.9543,0.0,0.0,signal_decay,
CVX-USD,,,base,LONG,2026-03-06,2.013,2026-03-06,1.968,12097.6951,-544.4,-2.2355,0.0,0.0,disaster_stop,
CVX-USD,,,base,SHORT,2026-03-13,2.07,2026-03-13,2.0311,11698.8218,455.08,1.8792,0.0,0.0,signal_decay,
CVX-USD,,,base,SHORT,2026-03-20,1.8004,2026-03-20,1.8116,13513.8481,-151.36,-0.6221,0.0,0.0,signal_decay,
