symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
DOGE-USD,,,base,SHORT,2026-01-25,0.1238,2026-01-25,0.1242,201938.6107,-80.78,-0.3231,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-01-25,0.1204,2026-01-25,0.1209,207473.4729,-103.74,-0.4153,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-01-26,0.1221,2026-01-26,0.1211,204372.4157,204.37,0.819,0.0,0.0,signal_decay,
DOGE-USD,,,base,LONG,2026-01-26,0.123,2026-01-26,0.1228,203292.3989,-40.66,-0.1626,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-01-27,0.1228,2026-01-27,0.1248,203540.7202,-407.08,-1.6287,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-01-28,0.1245,2026-01-28,0.1243,199944.0167,39.99,0.1606,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-01-28,0.1255,2026-01-28,0.1267,198430.4963,-238.12,-0.9562,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-01-28,0.1249,2026-01-28,0.1246,198907.1107,59.67,0.2402,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-01-29,0.1166,2026-01-29,0.1148,213193.9637,383.75,1.5437,0.0,0.0,signal_decay,
DOGE-USD,,,base,LONG,2026-01-30,0.1138,2026-01-30,0.1142,219282.5435,87.71,0.3515,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-01-31,0.1116,2026-01-31,0.1126,223801.8074,-223.8,-0.8961,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-01-31,0.1106,2026-01-31,0.1074,225319.4507,721.02,2.8933,0.0,0.0,signal_decay,
DOGE-USD,,,base,LONG,2026-01-31,0.1068,2026-01-31,0.104,235024.2211,-658.07,-2.6217,0.0,0.0,disaster_stop,
DOGE-USD,,,base,SHORT,2026-01-31,0.1022,2026-01-31,0.1004,243992.8557,439.19,1.7613,0.0,0.0,signal_decay,
DOGE-USD,,,base,LONG,2026-01-31,0.1014,2026-01-31,0.1019,247000.6572,123.5,0.4931,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-01,0.1051,2026-02-01,0.1067,238598.8746,-384.14,-1.5319,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-01,0.103,2026-02-01,0.1053,242531.1231,-557.82,-2.233,0.0,0.0,disaster_stop,
DOGE-USD,,,base,LONG,2026-02-01,0.1056,2026-02-01,0.1047,235239.1125,-211.72,-0.8523,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-01,0.1032,2026-02-01,0.1056,240196.9136,-576.47,-2.3256,0.0,0.0,disaster_stop,
DOGE-USD,,,base,SHORT,2026-02-01,0.1046,2026-02-01,0.1037,235604.2384,212.04,0.8604,0.0,0.0,signal_decay,
DOGE-USD,,,base,LONG,2026-02-09,0.0961,2026-02-09,0.0973,257075.1981,316.2,1.2803,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-16,0.1026,2026-02-16,0.1022,241484.0634,96.59,0.3899,0.0,0.0,signal_decay,
DOGE-USD,,,base,LONG,2026-02-16,0.1018,2026-02-16,0.1024,243618.9913,146.17,0.5894,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-16,0.1005,2026-02-16,0.1008,247133.8922,-74.14,-0.2985,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-16,0.1,2026-02-16,0.1009,248184.2112,-223.37,-0.9,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-17,0.0996,2026-02-17,0.099,248620.2779,149.17,0.6024,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-17,0.0997,2026-02-17,0.102,248744.962,-572.11,-2.3069,0.0,0.0,disaster_stop,
DOGE-USD,,,base,SHORT,2026-02-17,0.1007,2026-02-17,0.1012,244854.4624,-122.43,-0.4965,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-18,0.1001,2026-02-18,0.1014,246016.3592,-319.82,-1.2987,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-02-25,0.0923,2026-02-25,0.0926,265940.2193,-79.78,-0.325,0.0,0.0,signal_decay,
DOGE-USD,,,base,LONG,2026-03-04,0.0921,2026-03-04,0.093,266301.1588,239.67,0.9772,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-03-11,0.0935,2026-03-11,0.0932,262954.5934,78.89,0.3209,0.0,0.0,signal_decay,
DOGE-USD,,,base,SHORT,2026-03-19,0.0948,2026-03-19,0.0941,259556.7097,181.69,0.7384,0.0,0.0,signal_decay,
