symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
DOT-USD,,,base,SHORT,2026-01-25,1.9321,2026-01-25,1.9278,12939.2889,55.64,0.2226,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-25,1.9158,2026-01-25,1.8982,13056.6394,-229.8,-0.9187,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-25,1.8898,2026-01-25,1.9132,13205.8739,309.02,1.2382,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-25,1.8868,2026-01-25,1.8972,13267.8158,137.99,0.5512,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-25,1.8407,2026-01-25,1.8623,13618.8467,294.17,1.1735,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-25,1.8276,2026-01-25,1.7974,13756.7044,-415.45,-1.6524,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-25,1.7966,2026-01-25,1.8084,13936.2629,164.45,0.6568,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-01-25,1.8084,2026-01-25,1.8317,13868.0612,-323.13,-1.2884,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-26,1.8317,2026-01-26,1.8633,13647.5517,431.26,1.7252,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-01-26,1.8633,2026-01-26,1.8757,13473.9634,-167.08,-0.6655,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-26,1.842,2026-01-26,1.8772,13607.0938,478.97,1.911,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-01-26,1.8772,2026-01-26,1.8787,13415.7304,-20.12,-0.0799,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-26,1.8787,2026-01-26,1.8663,13402.3411,-166.19,-0.66,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-01-26,1.8822,2026-01-27,1.8808,13355.3454,18.7,0.0744,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-27,1.8567,2026-01-27,1.8782,13541.2858,291.14,1.158,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-27,1.8677,2026-01-27,1.8553,13500.5032,-167.41,-0.6639,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-27,1.8537,2026-01-27,1.8663,13579.8879,171.11,0.6797,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-27,1.8407,2026-01-27,1.8204,13699.0356,-278.09,-1.1028,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-27,1.8437,2026-01-27,1.8403,13639.0369,-46.37,-0.1844,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-01-27,1.8952,2026-01-27,1.8787,13262.2937,218.83,0.8706,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-27,1.8787,2026-01-28,1.8762,13407.8917,-33.52,-0.1331,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-01-28,1.8762,2026-01-28,1.8787,13421.291,-33.55,-0.1332,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-01-28,1.8663,2026-01-28,1.8647,13487.9911,21.58,0.0857,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-01-28,1.8497,2026-01-28,1.8623,13611.9549,171.51,0.6812,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-01-28,1.8623,2026-01-28,1.8787,13542.8828,-222.1,-0.8806,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-02-04,1.513,2026-02-04,1.479,16632.7725,-565.51,-2.2472,0.0,0.0,disaster_stop,
DOT-USD,,,base,SHORT,2026-02-11,1.2924,2026-02-11,1.234,19362.4314,1130.77,4.5187,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-02-18,1.3337,2026-02-18,1.3553,18974.8053,409.86,1.6196,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-02-25,1.4759,2026-02-25,1.511,17216.0456,604.28,2.3782,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-02-25,1.51,2026-02-25,1.5848,16927.3063,1266.16,4.9536,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-02-25,1.5888,2026-02-25,1.6282,16286.9922,-641.71,-2.4799,0.0,0.0,disaster_stop,
DOT-USD,,,base,SHORT,2026-02-25,1.6218,2026-02-25,1.6603,15856.6693,-610.48,-2.3739,0.0,0.0,disaster_stop,
DOT-USD,,,base,LONG,2026-02-25,1.6102,2026-02-25,1.7285,15876.1184,1878.14,7.3469,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-02-25,1.718,2026-02-25,1.6657,15153.2375,-792.51,-3.0442,0.0,0.0,disaster_stop,
DOT-USD,,,base,LONG,2026-02-25,1.6854,2026-02-25,1.6377,15328.7845,-731.18,-2.8302,0.0,0.0,disaster_stop,
DOT-USD,,,base,LONG,2026-02-25,1.6423,2026-02-26,1.6607,15619.7636,287.4,1.1204,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-03-05,1.5589,2026-03-05,1.517,16501.5002,691.41,2.6878,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-03-05,1.518,2026-03-05,1.5279,17059.9749,168.89,0.6522,0.0,0.0,signal_decay,
DOT-USD,,,base,SHORT,2026-03-05,1.5429,2026-03-05,1.514,16812.0198,485.87,1.8731,0.0,0.0,signal_decay,
DOT-USD,,,base,LONG,2026-03-05,1.513,2026-03-05,1.5369,17224.5421,411.67,1.5796,0.0,0.0,signal_decay,
