symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
EEM,,,base,LONG,2026-01-26,59.09,2026-01-27,59.919,676.2457,560.61,1.4029,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-01-27,59.96,2026-01-28,60.7785,838.5641,686.37,1.3651,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-01-28,60.81,2026-01-29,60.8435,832.4862,27.89,0.0551,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-01-29,60.815,2026-01-29,59.8341,832.6471,-816.74,-1.6129,0.0,0.0,disaster_stop,
EEM,,,base,LONG,2026-01-29,59.82,2026-01-30,59.6742,839.67,-122.42,-0.2437,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-01-30,59.805,2026-01-30,58.8347,838.8571,-813.94,-1.6224,0.0,0.0,disaster_stop,
EEM,,,base,LONG,2026-01-30,58.86,2026-02-02,59.2644,475.109,192.13,0.6871,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-02,59.295,2026-02-03,59.1145,437.91,-79.04,-0.3044,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-03,59.155,2026-02-04,58.5849,421.8383,-240.49,-0.9637,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-04,58.67,2026-02-05,58.5299,526.1893,-73.72,-0.2388,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-05,58.6,2026-02-06,59.8341,415.456,512.71,2.106,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-06,59.895,2026-02-09,60.5237,203.2767,127.8,1.0497,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-09,60.525,2026-02-10,60.6166,248.6347,22.77,0.1513,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-10,60.665,2026-02-11,61.5129,236.873,200.84,1.3977,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-11,61.58,2026-02-12,61.0184,210.5937,-118.27,-0.912,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-12,61.07,2026-02-13,61.1283,402.4962,23.47,0.0955,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-13,61.0951,2026-02-17,60.9784,313.2079,-36.55,-0.191,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-17,61.045,2026-02-18,61.1033,379.0355,22.1,0.0955,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-18,61.085,2026-02-19,60.72,249.5113,-91.07,-0.5975,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-19,60.795,2026-02-20,62.0934,365.1259,474.08,2.1357,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-20,62.15,2026-02-23,61.568,326.1299,-189.81,-0.9364,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-23,61.615,2026-02-24,62.5574,416.9474,392.93,1.5295,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-24,62.62,2026-02-25,63.317,348.9546,243.22,1.1131,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-25,63.355,2026-02-26,62.3276,351.4978,-361.13,-1.6217,0.0,0.0,disaster_stop,
EEM,,,base,LONG,2026-02-26,62.17,2026-02-27,62.48,808.6194,250.67,0.4986,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-02-27,62.485,2026-03-02,61.1983,806.5488,-1037.79,-2.0592,0.0,0.0,disaster_stop,
EEM,,,base,LONG,2026-03-02,61.31,2026-03-03,57.8253,813.5428,-2834.95,-5.6837,0.0,0.0,disaster_stop,
EEM,,,base,LONG,2026-03-03,57.98,2026-03-03,57.0008,835.8198,-818.43,-1.6889,0.0,0.0,disaster_stop,
EEM,,,base,LONG,2026-03-03,57.005,2026-03-04,58.51,842.9369,1268.62,2.6401,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-03-04,58.345,2026-03-05,58.2851,834.449,-49.98,-0.1027,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-03-05,58.11,2026-03-05,57.1757,837.3934,-782.38,-1.6078,0.0,0.0,disaster_stop,
EEM,,,base,LONG,2026-03-05,57.29,2026-03-06,57.1957,842.551,-79.45,-0.1646,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-03-06,57.215,2026-03-09,57.5504,813.7453,272.93,0.5862,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-03-13,56.92,2026-03-16,58.0701,593.2773,682.33,2.0206,0.0,0.0,max_hold,
EEM,,,base,LONG,2026-03-20,56.0,2026-03-23,57.23,545.7066,671.22,2.1964,0.0,0.0,max_hold,
