symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
EGLD-USD,,,base,LONG,2026-01-25,5.7715,2026-01-26,5.6487,4331.6296,-531.92,-2.1277,0.0,0.0,max_hold,
EGLD-USD,,,base,LONG,2026-01-27,5.6713,2026-01-27,5.6587,4384.7123,-55.25,-0.2222,0.0,0.0,signal_decay,
EGLD-USD,,,base,SHORT,2026-01-27,5.6587,2026-01-27,5.8617,4392.0348,-891.58,-3.5874,0.0,0.0,disaster_stop,
EGLD-USD,,,base,SHORT,2026-01-27,5.8383,2026-01-27,5.8016,4218.7471,154.83,0.6286,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-01-27,5.8016,2026-01-29,5.5489,4252.106,-1074.51,-4.3557,0.0,0.0,disaster_stop,
EGLD-USD,,,base,LONG,2026-01-29,5.56,2026-01-29,5.4191,4388.5596,-618.35,-2.5342,0.0,0.0,disaster_stop,
EGLD-USD,,,base,SHORT,2026-01-29,5.2395,2026-01-29,5.2605,4627.5035,-97.18,-0.4008,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-01-29,5.2605,2026-01-30,5.1696,4604.4122,-418.54,-1.728,0.0,0.0,signal_decay,
EGLD-USD,,,base,SHORT,2026-01-30,5.1696,2026-01-30,5.1503,4665.1336,90.04,0.3733,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-01-30,5.1002,2026-01-30,5.2694,4733.027,800.83,3.3175,0.0,0.0,signal_decay,
EGLD-USD,,,base,SHORT,2026-01-30,5.2694,2026-01-30,5.2805,4619.0441,-51.27,-0.2107,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-01-30,5.2805,2026-01-31,5.2794,4606.9072,-5.07,-0.0208,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-01-31,5.02,2026-01-31,4.99,4845.7184,-145.37,-0.5976,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-01-31,5.01,2026-01-31,4.6906,4848.1364,-1548.49,-6.3752,0.0,0.0,disaster_stop,
EGLD-USD,,,base,LONG,2026-01-31,4.7,2026-01-31,4.3114,5085.5404,-1976.24,-8.2681,0.0,0.0,disaster_stop,
EGLD-USD,,,base,LONG,2026-01-31,4.3286,2026-01-31,4.6706,5407.7484,1849.45,7.9009,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-01-31,4.4389,2026-02-01,4.8004,5377.5355,1943.98,8.1439,0.0,0.0,signal_decay,
EGLD-USD,,,base,SHORT,2026-02-01,4.8004,2026-02-01,4.9298,5073.814,-656.55,-2.6956,0.0,0.0,disaster_stop,
EGLD-USD,,,base,SHORT,2026-02-01,4.9102,2026-02-01,4.6894,4926.9274,1087.87,4.4968,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-02-02,4.63,2026-02-02,4.7704,5283.837,741.85,3.0324,0.0,0.0,signal_decay,
EGLD-USD,,,base,SHORT,2026-02-10,4.501,2026-02-10,4.47,5476.4781,169.77,0.6887,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-02-17,4.8,2026-02-17,4.7804,5144.1814,-100.83,-0.4083,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-02-24,4.2284,2026-02-24,4.2515,5833.6166,134.76,0.5463,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-03-03,4.2084,2026-03-03,4.1916,5869.3455,-98.61,-0.3992,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-03-10,4.2385,2026-03-10,4.1916,5821.8479,-273.04,-1.1065,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-03-17,4.3988,2026-03-17,4.3313,5594.1714,-377.61,-1.5345,0.0,0.0,signal_decay,
EGLD-USD,,,base,LONG,2026-03-24,4.008,2026-03-24,4.1217,6116.0777,695.4,2.8368,0.0,0.0,signal_decay,
