direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2026-02-06,0.21,2026-02-06,0.2,238095.24,2380.95,4.76,signal_decay
LONG,2026-02-06,0.2,2026-02-06,0.2,97731.47,-58.64,-0.3,signal_decay
SHORT,2026-02-06,0.2,2026-02-06,0.2,255805.78,1125.55,2.2,signal_decay
LONG,2026-02-06,0.2,2026-02-06,0.21,151807.37,1578.8,5.33,signal_decay
LONG,2026-02-06,0.2,2026-02-06,0.22,263886.07,4565.23,8.69,signal_decay
LONG,2026-02-07,0.21,2026-02-07,0.21,84055.0,-50.43,-0.29,signal_decay
SHORT,2026-02-07,0.22,2026-02-23,0.18,107628.08,4251.31,17.95,max_hold
LONG,2026-02-23,0.15,2026-02-25,0.21,122513.91,7277.33,38.57,signal_decay
SHORT,2026-02-25,0.21,2026-03-05,0.2,115313.19,1545.2,6.26,signal_decay
LONG,2026-03-05,0.2,2026-03-05,0.2,306538.21,-183.92,-0.3,signal_decay
SHORT,2026-03-05,0.2,2026-03-07,0.16,306078.4,12549.21,20.5,signal_decay
SHORT,2026-03-15,0.2,2026-03-15,0.21,332636.31,-2528.04,-3.8,disaster_stop
SHORT,2026-03-15,0.21,2026-03-15,0.22,319933.67,-4703.02,-7.1,disaster_stop
SHORT,2026-03-15,0.22,2026-03-16,0.22,116424.59,-314.35,-1.22,signal_decay
LONG,2026-03-16,0.22,2026-03-16,0.22,97476.32,-68.23,-0.31,end_of_backtest
