symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
ENA-USD,,,base,SHORT,2026-01-25,0.1795,2026-01-25,0.1795,139275.766,0.0,0.0,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-01-25,0.17,2026-01-25,0.1694,147058.8235,-88.24,-0.3529,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-01-25,0.1694,2026-01-25,0.1638,147449.4757,825.72,3.3058,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-01-25,0.1638,2026-01-26,0.1659,153750.7353,322.88,1.2821,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-01-26,0.1738,2026-01-26,0.1647,145368.7548,1322.86,5.2359,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-01-27,0.1657,2026-01-27,0.1645,154470.7513,-185.36,-0.7242,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-01-27,0.1646,2026-01-27,0.1652,155221.5205,-93.13,-0.3645,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-01-27,0.1712,2026-01-27,0.1697,149101.5131,223.65,0.8762,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-01-28,0.1739,2026-01-28,0.1737,147108.0627,29.42,0.115,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-01-28,0.1721,2026-01-29,0.1707,148689.4103,208.17,0.8135,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-01-29,0.171,2026-01-29,0.1713,149950.2269,-44.99,-0.1754,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-01-29,0.1581,2026-01-29,0.1575,162114.1211,-97.27,-0.3795,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-01-29,0.158,2026-01-29,0.1564,162062.8191,259.3,1.0127,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-01-29,0.1535,2026-01-30,0.1576,167236.1599,-685.67,-2.671,0.0,0.0,disaster_stop,
ENA-USD,,,base,SHORT,2026-01-30,0.1573,2026-01-31,0.1454,162106.3794,1929.07,7.5652,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-01-31,0.1442,2026-01-31,0.1216,180177.531,-4072.01,-15.6727,0.0,0.0,disaster_stop,
ENA-USD,,,base,SHORT,2026-01-31,0.1361,2026-02-01,0.1464,183420.9913,-1889.24,-7.568,0.0,0.0,disaster_stop,
ENA-USD,,,base,SHORT,2026-02-01,0.1458,2026-02-01,0.1444,167978.6547,235.17,0.9602,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-02-02,0.1409,2026-02-02,0.1328,174237.6181,1411.32,5.7488,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-02-02,0.1375,2026-02-02,0.1326,181112.0841,887.45,3.5636,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-02-03,0.1448,2026-02-03,0.1339,173513.6317,1891.3,7.5276,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-02-03,0.1339,2026-02-03,0.1335,191169.5184,-76.47,-0.2987,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-02-03,0.1371,2026-02-03,0.1422,186568.0639,-951.5,-3.7199,0.0,0.0,disaster_stop,
ENA-USD,,,base,SHORT,2026-02-03,0.1416,2026-02-04,0.1334,178959.091,1467.46,5.791,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-02-04,0.1334,2026-02-04,0.1353,192709.6958,366.15,1.4243,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-02-04,0.1351,2026-02-05,0.136,190962.3281,-171.87,-0.6662,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-02-05,0.1338,2026-02-05,0.1278,192496.5919,-1154.98,-4.4843,0.0,0.0,disaster_stop,
ENA-USD,,,base,LONG,2026-02-05,0.1281,2026-02-05,0.1198,198807.9556,-1650.11,-6.4793,0.0,0.0,disaster_stop,
ENA-USD,,,base,LONG,2026-02-05,0.12,2026-02-05,0.1261,208789.7717,1273.62,5.0833,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-02-05,0.1261,2026-02-05,0.1186,201214.7265,1509.11,5.9477,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-02-06,0.1102,2026-02-06,0.1003,233670.1871,-2313.33,-8.9837,0.0,0.0,disaster_stop,
ENA-USD,,,base,LONG,2026-02-06,0.1005,2026-02-06,0.1139,250468.8647,3356.28,13.3333,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-02-06,0.1139,2026-02-06,0.1064,228368.6708,1712.77,6.5847,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-02-06,0.1064,2026-02-06,0.1169,248490.4404,2609.15,9.8684,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-02-06,0.1169,2026-02-06,0.1143,231750.8149,602.55,2.2241,0.0,0.0,signal_decay,
ENA-USD,,,base,LONG,2026-02-07,0.1182,2026-02-07,0.1189,230476.3815,161.33,0.5922,0.0,0.0,signal_decay,
ENA-USD,,,base,SHORT,2026-02-07,0.1189,2026-02-07,0.1283,229458.7188,-2156.91,-7.9058,0.0,0.0,disaster_stop,
