symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
ETC-USD,,,base,SHORT,2026-01-25,11.2444,2026-01-25,11.0355,2223.3289,464.45,1.8578,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-25,11.1244,2026-01-26,11.1456,2257.7499,-47.86,-0.1906,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-26,11.2344,2026-01-26,11.2756,2234.5784,-92.06,-0.3667,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-26,11.3543,2026-01-26,11.3557,2208.9544,-3.09,-0.0123,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-26,11.3557,2026-01-27,11.36,2208.614,9.5,0.0379,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-27,11.2244,2026-01-27,11.6158,2234.6613,-874.65,-3.487,0.0,0.0,disaster_stop,
ETC-USD,,,base,SHORT,2026-01-27,11.6042,2026-01-28,11.4757,2142.6786,275.33,1.1074,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-28,11.4843,2026-01-28,11.4457,2171.0426,83.8,0.3361,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-28,11.4643,2026-01-29,11.4357,2176.6575,62.25,0.2495,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-29,11.4243,2026-01-29,11.0655,2185.6409,784.21,3.1407,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-29,11.0655,2026-01-29,10.8146,2274.228,-570.6,-2.2674,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-01-29,10.7554,2026-01-29,10.3448,2326.5354,-955.28,-3.8176,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-01-29,10.3552,2026-01-29,10.8746,2393.3869,1243.13,5.0158,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-29,10.7346,2026-01-29,10.6253,2337.7472,255.52,1.0182,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-29,10.6653,2026-01-30,10.7846,2358.9266,281.42,1.1186,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-30,10.8246,2026-01-30,10.5353,2330.7111,674.27,2.6726,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-30,10.4752,2026-01-30,10.6047,2424.5441,313.98,1.2363,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-30,10.6047,2026-01-30,10.6553,2402.3384,-121.56,-0.4771,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-30,10.6853,2026-01-30,10.6147,2381.3734,-168.12,-0.6607,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-01-30,10.56,2026-01-30,10.8454,2405.6494,-686.57,-2.7027,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-01-30,10.7554,2026-01-30,10.5747,2345.9857,-423.92,-1.6801,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-31,10.5953,2026-01-31,10.5747,2371.4321,-48.85,-0.1944,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-31,10.4752,2026-01-31,10.3248,2397.4551,-360.58,-1.4358,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-31,10.2351,2026-01-31,10.2249,2444.8884,-24.94,-0.0997,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-31,9.7649,2026-01-31,9.945,2561.9764,461.41,1.8444,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-31,9.5948,2026-01-31,9.43,2619.4184,-431.68,-1.7176,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-31,9.1346,2026-01-31,9.5052,2739.57,1015.28,4.0571,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-01-31,9.4247,2026-02-01,9.6951,2682.1753,725.26,2.8691,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-01,9.7851,2026-02-01,9.6748,2601.9164,286.99,1.1272,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-01,9.7551,2026-02-01,9.7349,2617.273,52.87,0.2071,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-01,9.7951,2026-02-01,9.7449,2607.9343,130.92,0.5125,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-01,9.7048,2026-02-01,9.7451,2635.5728,106.21,0.4153,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-01,9.7351,2026-02-01,9.5548,2630.0973,474.21,1.8521,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-01,9.1946,2026-02-01,9.4253,2797.5999,645.41,2.5091,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-01,9.4953,2026-02-02,9.6948,2725.9974,-543.84,-2.101,0.0,0.0,disaster_stop,
ETC-USD,,,base,SHORT,2026-02-02,9.6852,2026-02-02,9.6348,2658.5103,133.99,0.5204,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-02,9.75,2026-02-03,9.7849,2644.2771,-92.29,-0.3579,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-03,9.6848,2026-02-03,9.5852,2659.6967,-264.91,-1.0284,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-03,9.7249,2026-02-03,9.7451,2641.9196,53.37,0.2077,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-03,9.6352,2026-02-03,9.2446,2667.8995,1042.08,4.0539,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-03,9.2446,2026-02-03,9.5152,2808.8036,760.06,2.9271,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-03,9.2446,2026-02-03,9.8051,2829.3578,1585.86,6.063,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-04,9.6348,2026-02-04,9.8351,2755.9208,552.01,2.0789,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-04,9.5748,2026-02-04,9.7151,2787.6037,391.1,1.4653,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-04,9.1546,2026-02-04,9.3153,2926.2363,470.25,1.7554,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-04,9.3253,2026-02-04,9.25,2885.2782,217.26,0.8075,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-04,9.25,2026-02-05,9.3753,2914.6378,365.2,1.3546,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-05,9.3853,2026-02-05,9.3047,2882.348,232.32,0.8588,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-05,9.2954,2026-02-05,9.1045,2916.4727,556.75,2.0537,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-05,9.2,2026-02-05,9.1154,2961.8445,-250.57,-0.9196,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-05,8.8644,2026-02-05,9.0155,3066.911,463.41,1.7046,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-05,8.6343,2026-02-05,8.1459,3162.0605,-1544.35,-5.6565,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-02-05,8.3742,2026-02-05,8.6257,3214.1686,808.36,3.0033,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-05,8.6343,2026-02-05,8.2159,3140.7505,-1314.09,-4.8458,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-02-05,8.2241,2026-02-05,8.3158,3257.4579,298.71,1.115,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-05,8.3242,2026-02-05,8.026,3227.2575,-962.37,-3.5823,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-02-05,8.034,2026-02-05,8.016,3313.8841,-59.65,-0.224,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-05,8.3041,2026-02-05,8.016,3204.3005,-923.16,-3.4694,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-02-05,8.024,2026-02-05,7.8461,3287.3931,-584.83,-2.2171,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-02-05,7.8539,2026-02-05,8.2859,3339.9758,1442.87,5.5005,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-05,8.2859,2026-02-06,7.914,3209.3741,1193.57,4.4883,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-06,8.1259,2026-02-06,7.78,3309.2881,1144.68,4.2568,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-06,7.7839,2026-02-06,7.976,3491.4523,670.71,2.4679,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-06,8.086,2026-02-06,8.2741,3381.7453,-636.11,-2.3262,0.0,0.0,disaster_stop,
ETC-USD,,,base,SHORT,2026-02-06,8.2659,2026-02-06,7.8539,3288.9057,1355.03,4.9843,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-06,7.8539,2026-02-06,7.966,3504.5675,392.86,1.4273,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-06,8.2859,2026-02-06,8.3242,3333.7041,-127.68,-0.4622,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-06,8.2959,2026-02-06,8.4842,3325.8378,-626.26,-2.2698,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-02-06,7.954,2026-02-06,8.5357,3449.1142,2006.35,7.3133,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-06,8.5957,2026-02-06,8.8344,3249.9787,-775.77,-2.777,0.0,0.0,disaster_stop,
ETC-USD,,,base,SHORT,2026-02-06,8.8256,2026-02-06,8.7144,3143.3443,349.54,1.26,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-06,8.6943,2026-02-06,8.4958,3200.8654,-635.37,-2.2831,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-02-06,8.5042,2026-02-06,8.8456,3253.7383,1110.83,4.0145,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-06,8.2841,2026-02-07,8.7156,3373.7096,1455.76,5.2088,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-07,8.7256,2026-02-07,8.5243,3244.7152,653.16,2.307,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-07,8.5243,2026-02-08,8.6657,3340.4945,472.35,1.6588,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-08,8.7456,2026-02-08,8.6543,3269.4685,298.5,1.044,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-08,8.69,2026-02-08,8.5843,3298.9746,348.7,1.2163,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-08,8.7,2026-02-08,8.65,3305.2028,165.26,0.5747,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-09,8.5657,2026-02-09,8.5743,3361.8478,-28.91,-0.1004,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-09,8.5243,2026-02-09,8.5157,3377.3274,-29.05,-0.1009,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-09,8.38,2026-02-09,8.5843,3434.617,-701.69,-2.4379,0.0,0.0,disaster_stop,
ETC-USD,,,base,SHORT,2026-02-09,8.5757,2026-02-09,8.6943,3335.7822,-395.62,-1.383,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-09,8.4842,2026-02-10,8.5257,3360.1001,139.44,0.4891,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-10,8.5343,2026-02-10,8.3658,3344.4597,-563.54,-1.9744,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-10,8.3658,2026-02-10,8.3041,3394.9816,209.47,0.7375,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-10,8.2741,2026-02-10,8.1559,3438.9365,-406.48,-1.4286,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-11,8.5157,2026-02-11,8.36,3329.4367,518.39,1.8284,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-11,8.1441,2026-02-11,8.1559,3497.2658,41.27,0.1449,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-12,8.13,2026-02-12,8.1941,3504.6002,-224.64,-0.7884,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-12,8.1759,2026-02-12,8.29,3478.056,-396.85,-1.3956,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-12,8.2241,2026-02-12,8.0,3445.6082,-772.16,-2.7249,0.0,0.0,disaster_stop,
ETC-USD,,,base,LONG,2026-02-12,8.0,2026-02-13,8.1959,3517.9983,689.18,2.4487,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-13,8.1959,2026-02-13,8.2041,3454.9324,-28.33,-0.1001,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-13,8.2041,2026-02-13,8.3258,3450.6159,419.94,1.4834,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-14,8.5157,2026-02-14,8.6143,3336.682,-329.0,-1.1579,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-02-21,8.9655,2026-02-21,8.9045,3160.1064,192.77,0.6804,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-02-28,8.1641,2026-02-28,8.1659,3476.2099,6.26,0.022,0.0,0.0,signal_decay,
ETC-USD,,,base,LONG,2026-03-07,8.014,2026-03-08,8.1059,3541.5135,325.47,1.1467,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-03-15,8.1959,2026-03-15,8.2441,3472.8408,-167.39,-0.5881,0.0,0.0,signal_decay,
ETC-USD,,,base,SHORT,2026-03-22,8.2559,2026-03-22,8.1841,3442.533,247.17,0.8697,0.0,0.0,signal_decay,
