symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
ETHFI-USD,,,base,SHORT,2026-01-25,0.5899,2026-01-25,0.5869,42380.0644,127.14,0.5086,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-25,0.5746,2026-01-25,0.5583,43563.8445,710.09,2.8368,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-01-25,0.5673,2026-01-25,0.5641,44437.3483,-142.2,-0.5641,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-26,0.5931,2026-01-26,0.5925,42444.3734,25.47,0.1012,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-01-26,0.5969,2026-01-26,0.5956,42184.8291,-54.84,-0.2178,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-26,0.5992,2026-01-26,0.5978,42000.0241,58.8,0.2336,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-27,0.603,2026-01-27,0.6135,41759.7254,-438.48,-1.7413,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-01-27,0.6111,2026-01-27,0.6268,41026.8289,644.12,2.5691,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-28,0.6193,2026-01-28,0.6242,40743.6226,-199.64,-0.7912,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-29,0.6041,2026-01-29,0.6038,41686.1687,12.51,0.0497,0.0,0.0,max_hold,
ETHFI-USD,,,base,SHORT,2026-01-29,0.597,2026-01-29,0.5637,42187.1708,1404.83,5.5779,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-01-29,0.5741,2026-01-29,0.5768,44481.7091,120.1,0.4703,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-01-29,0.5861,2026-01-29,0.5772,43622.205,-388.24,-1.5185,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-01-29,0.5705,2026-01-29,0.5655,44644.8991,-223.22,-0.8764,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-01-29,0.5719,2026-01-29,0.5702,44438.029,-75.54,-0.2973,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-30,0.5493,2026-01-30,0.5464,46231.9728,134.07,0.5279,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-30,0.5346,2026-01-30,0.5361,47565.92,-71.35,-0.2806,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-30,0.5376,2026-01-30,0.5381,47267.3058,-23.63,-0.093,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-30,0.5458,2026-01-30,0.5588,46546.3452,-605.1,-2.3818,0.0,0.0,disaster_stop,
ETHFI-USD,,,base,SHORT,2026-01-30,0.5582,2026-01-30,0.5472,45241.3464,497.65,1.9706,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-01-31,0.5414,2026-01-31,0.5568,46875.0153,721.88,2.8445,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-01-31,0.5348,2026-01-31,0.5354,47790.9538,-28.67,-0.1122,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-02-07,0.454,2026-02-07,0.4551,56280.6904,61.91,0.2423,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-02-14,0.4885,2026-02-14,0.486,52337.5857,-130.84,-0.5118,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-02-21,0.4674,2026-02-21,0.4635,54630.2945,-213.06,-0.8344,0.0,0.0,signal_decay,
ETHFI-USD,,,base,SHORT,2026-02-28,0.4911,2026-02-28,0.5012,51885.4309,-524.04,-2.0566,0.0,0.0,disaster_stop,
ETHFI-USD,,,base,SHORT,2026-03-08,0.5218,2026-03-08,0.5218,48581.6872,0.0,0.0,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-03-15,0.5477,2026-03-15,0.549,46284.3242,60.17,0.2374,0.0,0.0,signal_decay,
ETHFI-USD,,,base,LONG,2026-03-23,0.5445,2026-03-23,0.548,46583.961,163.04,0.6428,0.0,0.0,signal_decay,
