symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
EWA,,,base,SHORT,2026-01-26,27.755,2026-01-26,27.79,1079.4654,-37.78,-0.1261,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-01-26,27.749,2026-01-26,27.7653,446.9026,7.28,0.0587,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-01-26,27.79,2026-01-26,27.6797,490.6884,54.12,0.3969,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-01-27,27.945,2026-01-27,28.0698,1789.6516,-223.35,-0.4466,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-01-27,28.095,2026-01-28,28.1148,767.1301,-15.19,-0.0705,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-01-28,28.1237,2026-01-28,28.0802,1305.7736,-56.8,-0.1547,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-01-28,28.075,2026-01-28,28.09,1417.4631,21.26,0.0534,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-01-28,28.08,2026-01-28,28.0298,396.9224,19.93,0.1788,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-01-28,28.12,2026-01-29,28.6,657.7896,-315.74,-1.707,0.0,0.0,disaster_stop,
EWA,,,base,SHORT,2026-01-29,28.62,2026-01-29,28.1699,1737.4866,782.04,1.5727,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-01-29,28.17,2026-01-29,28.2299,602.6567,-36.1,-0.2126,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-01-29,28.3,2026-01-29,28.3399,356.6292,-14.23,-0.141,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-01-29,28.305,2026-01-30,28.2099,476.6988,45.33,0.336,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-01-30,28.13,2026-01-30,27.9102,1530.5472,-336.41,-0.7814,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-01-30,27.75,2026-01-30,27.8029,668.8317,-35.38,-0.1906,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-01-30,27.785,2026-02-02,27.9552,739.4167,125.85,0.6126,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-02,27.89,2026-02-02,27.8748,1159.3078,17.62,0.0545,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-02,27.95,2026-02-02,27.9248,1360.4708,34.28,0.0902,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-02,27.825,2026-02-03,28.16,601.1205,-201.37,-1.204,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-03,28.071,2026-02-03,27.9598,668.6224,74.35,0.3961,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-03,27.98,2026-02-04,28.59,1249.1861,-762.0,-2.1801,0.0,0.0,disaster_stop,
EWA,,,base,SHORT,2026-02-04,28.58,2026-02-04,28.485,1170.7815,111.22,0.3324,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-04,28.385,2026-02-04,28.3649,1748.44,35.14,0.0708,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-04,28.205,2026-02-04,28.23,417.8938,-10.45,-0.0886,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-04,28.265,2026-02-04,28.3749,557.8293,-61.31,-0.3888,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-02-05,28.145,2026-02-05,27.9702,1762.699,-308.12,-0.6211,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-05,28.05,2026-02-05,28.0797,717.0109,-21.3,-0.1059,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-02-12,29.0589,2026-02-12,29.1795,832.6894,100.42,0.415,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-19,29.3299,2026-02-19,29.2852,420.6147,18.8,0.1524,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-02-26,30.0925,2026-02-27,30.0955,395.4836,-1.18,-0.0099,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-03-06,28.07,2026-03-06,28.3801,1763.6437,546.91,1.1047,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-03-13,28.3001,2026-03-13,28.1002,882.9915,-176.51,-0.7064,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-03-13,28.1045,2026-03-13,28.1202,976.3069,15.33,0.0559,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-03-13,28.125,2026-03-13,28.1148,1044.5466,10.65,0.0363,0.0,0.0,signal_decay,
EWA,,,base,LONG,2026-03-13,28.04,2026-03-16,28.625,717.9588,420.01,2.0863,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-03-16,28.695,2026-03-16,28.6,1519.139,144.32,0.3311,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-03-16,28.53,2026-03-16,28.64,390.8357,-42.99,-0.3856,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-03-16,28.585,2026-03-17,28.8801,434.0095,-128.08,-1.0324,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-03-17,28.805,2026-03-17,28.7901,1285.3726,19.15,0.0517,0.0,0.0,signal_decay,
EWA,,,base,SHORT,2026-03-17,28.7898,2026-03-17,28.7501,505.232,20.06,0.1379,0.0,0.0,signal_decay,
