symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
EWC,,,base,LONG,2026-01-26,56.165,2026-01-27,55.9601,446.9718,-91.58,-0.3648,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-01-27,55.98,2026-01-28,56.5702,892.3581,526.67,1.0543,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-01-28,56.475,2026-01-29,56.8801,889.1995,360.22,0.7173,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-01-29,56.78,2026-01-29,55.8205,887.5951,-851.65,-1.6899,0.0,0.0,disaster_stop,
EWC,,,base,LONG,2026-01-29,55.88,2026-01-30,55.2756,894.2703,-540.5,-1.0816,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-01-30,55.355,2026-01-30,54.4509,897.8697,-811.76,-1.6333,0.0,0.0,disaster_stop,
EWC,,,base,LONG,2026-01-30,54.4,2026-02-02,54.4209,340.4335,7.11,0.0384,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-02,54.435,2026-02-03,54.4209,453.3564,-6.39,-0.0259,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-03,54.455,2026-02-04,54.6209,533.237,88.46,0.3047,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-04,54.54,2026-02-05,54.4459,881.4139,-82.94,-0.1725,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-05,54.4601,2026-02-06,54.85,537.2775,209.48,0.7159,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-06,54.865,2026-02-09,55.8904,202.3901,207.53,1.8689,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-09,55.88,2026-02-10,56.6202,202.1196,149.61,1.3246,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-10,56.57,2026-02-11,56.4602,331.5919,-36.41,-0.1941,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-11,56.46,2026-02-12,55.5555,316.4278,-286.21,-1.602,0.0,0.0,disaster_stop,
EWC,,,base,LONG,2026-02-12,55.42,2026-02-13,55.9704,891.7507,490.82,0.9931,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-13,56.03,2026-02-17,55.1607,886.4221,-770.57,-1.5515,0.0,0.0,disaster_stop,
EWC,,,base,LONG,2026-02-17,55.115,2026-02-18,56.3703,894.1476,1122.42,2.2776,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-18,56.46,2026-02-19,56.6502,882.7871,167.91,0.3369,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-19,56.65,2026-02-20,56.8801,881.3082,202.79,0.4062,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-20,56.905,2026-02-23,56.9301,879.1408,22.07,0.0441,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-23,56.88,2026-02-24,56.8401,879.7212,-35.1,-0.0701,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-24,56.885,2026-02-25,57.4199,329.6084,176.31,0.9403,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-25,57.44,2026-02-26,57.7298,872.3737,252.82,0.5045,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-26,57.78,2026-02-27,57.9047,710.0153,88.54,0.2158,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-02-27,57.9901,2026-03-02,57.8198,867.0415,-147.66,-0.2937,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-02,57.8,2026-03-03,56.4902,868.6158,-1137.71,-2.2661,0.0,0.0,disaster_stop,
EWC,,,base,LONG,2026-03-03,56.51,2026-03-04,57.11,878.378,527.03,1.0618,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-04,57.06,2026-03-05,56.9001,874.5294,-139.84,-0.2802,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-05,57.04,2026-03-06,55.9804,873.6103,-925.68,-1.8576,0.0,0.0,disaster_stop,
EWC,,,base,LONG,2026-03-06,55.9,2026-03-09,55.5955,883.1465,-268.92,-0.5447,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-09,55.45,2026-03-10,56.6152,887.8888,1034.57,2.1014,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-10,56.67,2026-03-11,56.3153,877.9022,-311.39,-0.6259,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-11,56.45,2026-03-12,56.1403,878.5655,-272.09,-0.5486,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-12,56.32,2026-03-13,55.8804,878.1778,-386.05,-0.7805,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-13,55.815,2026-03-13,54.9558,576.4219,-495.26,-1.5394,0.0,0.0,disaster_stop,
EWC,,,base,LONG,2026-03-13,54.955,2026-03-16,55.7201,554.9734,424.61,1.3922,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-20,53.055,2026-03-23,54.266,927.9168,1123.71,2.2825,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-23,54.2,2026-03-24,54.1111,918.6804,-81.67,-0.164,0.0,0.0,max_hold,
EWC,,,base,LONG,2026-03-24,54.085,2026-03-25,54.6109,919.8788,483.77,0.9724,0.0,0.0,max_hold,
