symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
EWG,,,base,LONG,2026-01-26,43.845,2026-01-26,43.8496,431.1421,1.98,0.0105,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-01-27,44.1099,2026-01-27,44.0896,342.8849,-6.96,-0.046,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-01-27,44.1798,2026-01-28,43.9546,255.8547,-57.62,-0.5097,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-01-28,43.945,2026-01-28,43.9196,396.2578,-10.06,-0.0578,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-01-28,43.915,2026-01-28,43.9542,249.2148,9.77,0.0893,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-01-28,44.04,2026-01-29,43.3048,278.5826,-204.81,-1.6694,0.0,0.0,disaster_stop,
EWG,,,base,LONG,2026-01-29,43.3142,2026-01-29,43.1349,1151.2655,-206.42,-0.414,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-01-29,43.34,2026-01-29,43.3598,310.5021,6.15,0.0457,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-01-29,43.345,2026-01-30,43.4048,285.1339,17.05,0.138,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-01-30,43.365,2026-01-30,43.1949,297.2184,-50.56,-0.3923,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-01-30,43.1,2026-02-02,43.4298,247.6316,81.67,0.7652,0.0,0.0,signal_decay,
EWG,,,base,SHORT,2026-02-02,43.475,2026-02-02,43.4451,334.0114,9.99,0.0688,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-03,43.5,2026-02-03,43.4448,458.0499,-25.28,-0.1269,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-03,43.43,2026-02-03,43.3848,314.0468,-14.2,-0.1041,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-03,43.425,2026-02-04,43.4048,231.4886,-4.68,-0.0465,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-04,43.275,2026-02-04,43.2699,735.2914,-3.75,-0.0118,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-04,43.12,2026-02-04,43.1199,469.2916,-0.05,-0.0002,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-04,43.17,2026-02-05,42.735,423.9069,-184.4,-1.0076,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-05,42.795,2026-02-05,42.945,346.783,52.02,0.3505,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-05,42.99,2026-02-05,42.95,364.8859,-14.6,-0.093,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-12,44.0501,2026-02-12,43.9446,311.0071,-32.81,-0.2395,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-02-19,43.84,2026-02-20,43.9696,322.1912,41.76,0.2956,0.0,0.0,signal_decay,
EWG,,,base,SHORT,2026-02-27,44.5206,2026-02-27,44.4955,244.5496,6.14,0.0564,0.0,0.0,signal_decay,
EWG,,,base,SHORT,2026-03-06,40.59,2026-03-06,40.7242,363.0809,-48.73,-0.3306,0.0,0.0,signal_decay,
EWG,,,base,SHORT,2026-03-13,40.02,2026-03-13,39.8439,259.7754,45.75,0.44,0.0,0.0,signal_decay,
EWG,,,base,LONG,2026-03-20,38.455,2026-03-20,38.3466,266.0267,-28.84,-0.2819,0.0,0.0,signal_decay,
